Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:25:12	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-108.824E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:24:49	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
5.6470588E-9	70.354715E-3	6.7659072E-3	65.143389E-9	-24.587896E+0	3.1724019E+0	-44.912971E+0	18.068672E-12	-190.84837E+0
5.5294116E-9	70.870459E-3	-8.4323511E-3	65.181737E-9	-27.645735E+0	3.1552100E+0	-38.616848E+0	21.866516E-12	-189.69305E+0
5.4117648E-9	70.219420E-3	-7.1338839E-3	65.221506E-9	-28.180950E+0	3.1345241E+0	34.060570E+0	19.594160E-12	-153.47849E+0
5.2941176E-9	70.012920E-3	21.612637E-3	65.220981E-9	-24.958633E+0	3.1119695E+0	-16.610710E+0	28.110483E-12	-129.62851E+0
5.1764704E-9	70.875555E-3	-23.677075E-3	65.312705E-9	-28.773588E+0	3.0948949E+0	56.977921E+0	21.170428E-12	-127.84229E+0
5.0588236E-9	71.107991E-3	29.040264E-3	65.312818E-9	-29.833893E+0	3.0708668E+0	40.925163E+0	17.256068E-12	-116.73592E+0
4.9411764E-9	70.049539E-3	-28.898114E-3	65.387354E-9	-25.042660E+0	3.0365489E+0	-65.902924E+0	16.016084E-12	-191.75394E+0
4.8235291E-9	71.379595E-3	31.207968E-3	65.417503E-9	-27.064829E+0	3.0199733E+0	54.260792E+0	6.2308912E-12	-142.52290E+0
4.7058824E-9	71.411639E-3	-26.291158E-3	65.434008E-9	-28.343157E+0	3.0083776E+0	7.0319061E+0	13.302698E-12	-175.85767E+0
4.5882351E-9	70.544437E-3	22.821249E-3	65.468377E-9	-24.726366E+0	2.9845443E+0	-20.076412E+0	16.710206E-12	-181.52065E+0
4.4705883E-9	70.034795E-3	-14.252665E-3	65.504338E-9	-30.230593E+0	2.9615355E+0	-3.1167920E+0	24.650492E-12	-180.39693E+0
4.3529411E-9	70.403539E-3	10.026877E-3	65.563285E-9	-26.864035E+0	2.9458389E+0	3.2137172E+0	14.853922E-12	-164.92953E+0
4.2352939E-9	70.341997E-3	-2.7192750E-3	65.580458E-9	-24.926411E+0	2.9150198E+0	-19.867769E+0	20.148978E-12	-150.36110E+0
4.1176471E-9	71.201071E-3	-11.697413E-3	65.646070E-9	-30.534397E+0	2.8849430E+0	-53.157936E+0	20.286091E-12	-187.68291E+0
3.9999999E-9	70.937097E-3	-8.6948518E-3	65.650397E-9	-27.643576E+0	2.8703537E+0	-62.571114E+0	30.190631E-12	-154.71901E+0
3.8823531E-9	71.526080E-3	11.222783E-3	65.659435E-9	-27.211557E+0	2.8486876E+0	-63.458096E+0	16.785117E-12	-110.50993E+0
3.7647059E-9	70.300803E-3	-28.153662E-3	65.714843E-9	-31.532471E+0	2.8201487E+0	-83.760788E+0	14.148824E-12	-104.13355E+0
3.6470587E-9	70.148721E-3	21.640241E-3	65.699375E-9	-26.907825E+0	2.7976339E+0	22.639286E+0	15.188550E-12	-98.191200E+0
3.5294119E-9	70.938617E-3	-45.597177E-3	65.777499E-9	-28.300056E+0	2.7809627E+0	77.070328E+0	8.4105518E-12	-55.447933E+0
3.4117646E-9	70.681259E-3	11.871533E-3	65.814795E-9	-29.369061E+0	2.7504604E+0	63.410233E+0	26.778845E-12	-32.356445E+0
