Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:39:13	
User		
Date		
X (m)	5.00662E-6	
Y (m)	-1.38228E-6	
Z (m)	-78.6608E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:38:50	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	98.743755E-9	-61.645412E+0	100.88245E-9	-57.892181E+0
-992.15686E-3	98.809039E-9	-53.626228E+0	100.92857E-9	-58.812645E+0
-984.31373E-3	98.768759E-9	-63.552879E+0	100.96160E-9	-57.840260E+0
-976.47059E-3	98.823449E-9	-51.950272E+0	100.99398E-9	-57.997387E+0
-968.62745E-3	98.810723E-9	-63.180546E+0	101.03323E-9	-57.035488E+0
-960.78432E-3	98.828920E-9	-52.344086E+0	101.06615E-9	-57.777306E+0
-952.94118E-3	98.871624E-9	-60.536156E+0	101.10139E-9	-56.923599E+0
-945.09804E-3	98.849874E-9	-52.132652E+0	101.12833E-9	-56.506699E+0
-937.25491E-3	98.917305E-9	-57.313129E+0	101.16123E-9	-56.403297E+0
-929.41177E-3	98.870380E-9	-54.984627E+0	101.18342E-9	-55.902515E+0
-921.56863E-3	98.960179E-9	-53.289524E+0	101.20288E-9	-55.296860E+0
-913.72550E-3	98.912302E-9	-55.672775E+0	101.20758E-9	-54.495590E+0
-905.88236E-3	99.002065E-9	-51.998764E+0	101.23426E-9	-56.220421E+0
-898.03922E-3	98.977310E-9	-57.862911E+0	101.24652E-9	-54.015282E+0
-890.19608E-3	99.047561E-9	-49.799545E+0	101.24226E-9	-54.522766E+0
-882.35295E-3	99.037663E-9	-58.711262E+0	101.27896E-9	-54.066593E+0
-874.50981E-3	99.086364E-9	-49.781261E+0	101.29417E-9	-55.360420E+0
-866.66667E-3	99.122872E-9	-56.876209E+0	101.34463E-9	-53.882896E+0
-858.82354E-3	99.145183E-9	-49.194740E+0	101.35241E-9	-53.702240E+0
-850.98040E-3	99.207760E-9	-55.587624E+0	101.39697E-9	-53.893414E+0
-843.13726E-3	99.203746E-9	-49.943928E+0	101.42135E-9	-53.636341E+0
-835.29413E-3	99.299221E-9	-51.516739E+0	101.47313E-9	-53.405945E+0
-827.45099E-3	99.279276E-9	-52.166683E+0	101.49785E-9	-52.434731E+0
-819.60785E-3	99.367533E-9	-50.414562E+0	101.52534E-9	-53.654488E+0
-811.76472E-3	99.336994E-9	-52.723789E+0	101.55601E-9	-51.303738E+0
-803.92158E-3	99.433969E-9	-47.843609E+0	101.58643E-9	-52.920467E+0
-796.07844E-3	99.426103E-9	-55.384933E+0	101.62595E-9	-51.984371E+0
-788.23531E-3	99.484481E-9	-47.099033E+0	101.63804E-9	-52.348774E+0
-780.39217E-3	99.512256E-9	-53.478340E+0	101.67290E-9	-50.688187E+0
-772.54903E-3	99.564389E-9	-47.102257E+0	101.68479E-9	-51.605030E+0
-764.70590E-3	99.620841E-9	-53.425491E+0	101.70979E-9	-51.224407E+0
-756.86276E-3	99.627187E-9	-46.836708E+0	101.71138E-9	-50.483559E+0
-749.01962E-3	99.702731E-9	-50.430836E+0	101.74757E-9	-50.408520E+0
-741.17649E-3	99.683156E-9	-48.468502E+0	101.76205E-9	-50.306267E+0
-733.33335E-3	99.782383E-9	-48.271023E+0	101.78736E-9	-50.625961E+0
-725.49021E-3	99.763056E-9	-49.238186E+0	101.78563E-9	-48.369297E+0
-717.64708E-3	99.840044E-9	-46.655891E+0	101.79123E-9	-50.061440E+0
-709.80394E-3	99.835511E-9	-51.249222E+0	101.82730E-9	-49.271736E+0
-701.96080E-3	99.914601E-9	-44.584698E+0	101.83090E-9	-49.626141E+0
-694.11767E-3	99.932961E-9	-50.992828E+0	101.86462E-9	-48.213268E+0
-686.27453E-3	99.998324E-9	-45.059528E+0	101.86994E-9	-49.595413E+0
-678.43139E-3	100.04177E-9	-50.023975E+0	101.91973E-9	-48.315716E+0
-670.58825E-3	100.09408E-9	-43.873276E+0	101.93781E-9	-48.083225E+0
-662.74512E-3	100.15086E-9	-49.254128E+0	101.96482E-9	-47.976135E+0
-654.90198E-3	100.15800E-9	-45.460571E+0	101.96671E-9	-48.401020E+0
-647.05884E-3	100.23486E-9	-46.613720E+0	102.01324E-9	-48.386101E+0
-639.21571E-3	100.23442E-9	-45.661411E+0	102.03679E-9	-46.785809E+0
-631.37257E-3	100.32377E-9	-45.498619E+0	102.08047E-9	-48.862671E+0
-623.52937E-3	100.31379E-9	-47.504677E+0	102.09873E-9	-47.158276E+0
-615.68624E-3	100.39681E-9	-42.912205E+0	102.12014E-9	-47.129646E+0
-607.84310E-3	100.40029E-9	-48.459419E+0	102.14597E-9	-45.540165E+0
-599.99996E-3	100.46767E-9	-43.205719E+0	102.13734E-9	-47.236149E+0
-592.15683E-3	100.48426E-9	-48.372784E+0	102.15968E-9	-45.410366E+0
-584.31369E-3	100.52268E-9	-42.250710E+0	102.15344E-9	-45.793640E+0
-576.47055E-3	100.58092E-9	-47.369263E+0	102.17763E-9	-45.982758E+0
-568.62742E-3	100.60340E-9	-42.791336E+0	102.16829E-9	-45.655239E+0
-560.78428E-3	100.67784E-9	-45.047699E+0	102.21036E-9	-45.969376E+0
