Experiment	bias spectroscopy	
Saved Date	07.11.2019 11:24:20	
User		
Date		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-102.345E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 11:23:57	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	78.181031E-9	-60.319298E+0	79.024240E-9	-59.868965E+0
-992.15686E-3	78.145206E-9	-60.796364E+0	79.036198E-9	-59.517178E+0
-984.31373E-3	78.113743E-9	-60.647808E+0	79.056562E-9	-59.606319E+0
-976.47059E-3	78.091688E-9	-59.665035E+0	79.077523E-9	-58.909031E+0
-968.62745E-3	78.063891E-9	-59.110622E+0	79.085950E-9	-58.264984E+0
-960.78432E-3	78.048380E-9	-59.075974E+0	79.093134E-9	-58.490101E+0
-952.94118E-3	78.031178E-9	-58.616402E+0	79.108275E-9	-57.898678E+0
-945.09804E-3	78.032748E-9	-57.498749E+0	79.127524E-9	-56.999153E+0
-937.25491E-3	78.019134E-9	-58.036022E+0	79.134459E-9	-57.175106E+0
-929.41177E-3	78.011595E-9	-57.227623E+0	79.147767E-9	-57.455574E+0
-921.56863E-3	78.006508E-9	-56.820072E+0	79.163335E-9	-56.502296E+0
-913.72550E-3	78.000646E-9	-56.326015E+0	79.182669E-9	-56.206493E+0
-905.88236E-3	78.003708E-9	-56.557430E+0	79.201804E-9	-56.621101E+0
-898.03922E-3	78.003772E-9	-55.798973E+0	79.216427E-9	-56.548424E+0
-890.19608E-3	78.003666E-9	-55.169460E+0	79.243136E-9	-55.895931E+0
-882.35295E-3	77.991224E-9	-56.753361E+0	79.269050E-9	-55.426193E+0
-874.50981E-3	77.981738E-9	-55.833179E+0	79.298836E-9	-55.635086E+0
-866.66667E-3	77.975024E-9	-54.466908E+0	79.328494E-9	-55.595680E+0
-858.82354E-3	77.980808E-9	-53.515976E+0	79.348382E-9	-55.014603E+0
-850.98040E-3	77.986677E-9	-54.944855E+0	79.371013E-9	-55.235645E+0
-843.13726E-3	77.982904E-9	-54.389671E+0	79.400785E-9	-54.267239E+0
-835.29413E-3	77.970611E-9	-53.826511E+0	79.429384E-9	-53.869343E+0
-827.45099E-3	77.975535E-9	-53.683498E+0	79.447105E-9	-54.238392E+0
-819.60785E-3	77.977170E-9	-54.062904E+0	79.472372E-9	-53.936279E+0
-811.76472E-3	77.984161E-9	-52.827251E+0	79.498321E-9	-53.203613E+0
-803.92158E-3	77.982264E-9	-52.863670E+0	79.523659E-9	-53.152412E+0
-796.07844E-3	77.990350E-9	-52.622562E+0	79.551036E-9	-53.694801E+0
