Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:33:29	
User		
Date		
X (m)	5.06156E-6	
Y (m)	-1.36687E-6	
Z (m)	-59.6553E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:32:54	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-474.50978E-3	40.044029E-9	-50.192684E+0	40.992589E-9	-51.466587E+0
-466.66664E-3	40.055863E-9	-50.685787E+0	41.002110E-9	-50.880913E+0
-458.82350E-3	40.067921E-9	-51.276024E+0	41.008239E-9	-51.394623E+0
-450.98037E-3	40.079193E-9	-50.339272E+0	41.010949E-9	-50.331985E+0
-443.13723E-3	40.097007E-9	-49.734375E+0	41.015330E-9	-49.785046E+0
-435.29409E-3	40.109718E-9	-49.949821E+0	41.031601E-9	-50.190414E+0
-427.45095E-3	40.118881E-9	-49.735481E+0	41.041254E-9	-50.801529E+0
-419.60782E-3	40.137380E-9	-49.608517E+0	41.054697E-9	-49.313778E+0
-411.76468E-3	40.149555E-9	-48.818459E+0	41.059764E-9	-48.965431E+0
-403.92154E-3	40.163361E-9	-48.930737E+0	41.069928E-9	-50.509331E+0
-396.07841E-3	40.178168E-9	-48.516834E+0	41.088704E-9	-49.568069E+0
-388.23527E-3	40.191413E-9	-47.679085E+0	41.096175E-9	-48.171196E+0
-380.39213E-3	40.209137E-9	-48.477077E+0	41.099320E-9	-48.574558E+0
-372.54900E-3	40.225277E-9	-47.259293E+0	41.110987E-9	-48.988468E+0
-364.70586E-3	40.243012E-9	-46.878918E+0	41.126977E-9	-48.689461E+0
-356.86272E-3	40.259540E-9	-46.658695E+0	41.132537E-9	-47.618862E+0
-349.01959E-3	40.279673E-9	-46.670269E+0	41.142808E-9	-48.761730E+0
-341.17645E-3	40.296797E-9	-46.554340E+0	41.156419E-9	-47.876705E+0
-333.33331E-3	40.310631E-9	-45.957886E+0	41.164483E-9	-46.585522E+0
-325.49018E-3	40.324757E-9	-46.318817E+0	41.173589E-9	-47.322914E+0
-317.64704E-3	40.346094E-9	-46.102867E+0	41.182084E-9	-46.757427E+0
-309.80390E-3	40.359769E-9	-45.242371E+0	41.186183E-9	-46.037788E+0
-301.96077E-3	40.370164E-9	-45.671814E+0	41.193399E-9	-46.091675E+0
-294.11763E-3	40.392209E-9	-45.510120E+0	41.203069E-9	-46.535576E+0
-286.27449E-3	40.409141E-9	-45.136101E+0	41.208011E-9	-46.177471E+0
-278.43136E-3	40.424563E-9	-44.898502E+0	41.210171E-9	-44.697563E+0
-270.58822E-3	40.434500E-9	-44.789719E+0	41.219522E-9	-45.815022E+0
-262.74508E-3	40.450288E-9	-44.767723E+0	41.224432E-9	-45.591412E+0
-254.90195E-3	40.466169E-9	-43.651871E+0	41.228692E-9	-44.768787E+0
-247.05875E-3	40.479179E-9	-44.228733E+0	41.232777E-9	-44.701183E+0
-239.21561E-3	40.492491E-9	-44.483196E+0	41.238124E-9	-44.621834E+0
-231.37248E-3	40.509541E-9	-43.191643E+0	41.239751E-9	-44.463631E+0
-223.52934E-3	40.530477E-9	-42.930107E+0	41.241989E-9	-44.050915E+0
-215.68620E-3	40.545515E-9	-42.807396E+0	41.246093E-9	-44.468571E+0
-207.84307E-3	40.561854E-9	-43.424469E+0	41.253841E-9	-44.819195E+0
-199.99993E-3	40.575252E-9	-42.477993E+0	41.259977E-9	-43.936523E+0
-192.15679E-3	40.599240E-9	-41.654282E+0	41.264169E-9	-43.241146E+0
-184.31365E-3	40.611759E-9	-43.251114E+0	41.268713E-9	-44.691555E+0
-176.47052E-3	40.629686E-9	-42.257435E+0	41.279847E-9	-44.192772E+0
-168.62738E-3	40.640678E-9	-41.775375E+0	41.284856E-9	-43.775238E+0
-160.78424E-3	40.658158E-9	-41.704941E+0	41.295220E-9	-43.155022E+0
-152.94111E-3	40.673431E-9	-41.800644E+0	41.302208E-9	-44.712986E+0
-145.09797E-3	40.687826E-9	-41.229992E+0	41.315207E-9	-43.210266E+0
-137.25483E-3	40.696928E-9	-41.575581E+0	41.318422E-9	-41.797947E+0
-129.41170E-3	40.711509E-9	-42.017231E+0	41.325396E-9	-42.800903E+0
-121.56856E-3	40.720394E-9	-41.103912E+0	41.327272E-9	-42.666851E+0
-113.72542E-3	40.735735E-9	-40.044395E+0	41.330793E-9	-41.258739E+0
-105.88229E-3	40.743306E-9	-41.248688E+0	41.329095E-9	-41.785740E+0
-98.039150E-3	40.761972E-9	-41.151524E+0	41.329404E-9	-41.830650E+0
-90.196013E-3	40.772282E-9	-39.693718E+0	41.338083E-9	-41.774284E+0
-82.352877E-3	40.783000E-9	-39.981853E+0	41.338261E-9	-41.281227E+0
-74.509740E-3	40.795680E-9	-40.357307E+0	41.347377E-9	-41.947353E+0
-66.666603E-3	40.808548E-9	-40.195030E+0	41.353772E-9	-42.329025E+0
-58.823466E-3	40.821465E-9	-39.744633E+0	41.361680E-9	-40.286655E+0
-50.980330E-3	40.825345E-9	-39.449215E+0	41.372449E-9	-41.537968E+0
-43.137193E-3	40.836412E-9	-40.390560E+0	41.378627E-9	-41.341812E+0
-35.294056E-3	40.846842E-9	-39.405720E+0	41.388866E-9	-41.173618E+0
-27.450919E-3	40.856545E-9	-39.686172E+0	41.400938E-9	-40.081795E+0
-19.607782E-3	40.865942E-9	-39.367752E+0	41.404778E-9	-41.002285E+0
-11.764646E-3	40.870397E-9	-39.211155E+0	41.419671E-9	-40.813629E+0
-3.9215088E-3	40.887048E-9	-39.274231E+0	41.427555E-9	-39.660957E+0
