Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:41:19	
User		
Date		
X (m)	5.00662E-6	
Y (m)	-1.38228E-6	
Z (m)	-86.1153E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:40:48	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	58.045870E-9	-68.986343E+0	58.027695E-9	-69.345512E+0
-992.15686E-3	58.015875E-9	-68.359863E+0	58.036733E-9	-68.321503E+0
-984.31373E-3	58.005583E-9	-68.261253E+0	58.049135E-9	-67.324768E+0
-976.47059E-3	57.994040E-9	-68.236664E+0	58.064902E-9	-68.087227E+0
-968.62745E-3	57.974230E-9	-67.238503E+0	58.087110E-9	-69.209503E+0
-960.78432E-3	57.954502E-9	-67.822182E+0	58.112938E-9	-67.692795E+0
-952.94118E-3	57.938287E-9	-68.252365E+0	58.139268E-9	-67.380341E+0
-945.09804E-3	57.918154E-9	-66.538734E+0	58.175893E-9	-68.035416E+0
-937.25491E-3	57.909588E-9	-66.105766E+0	58.199952E-9	-66.740417E+0
-929.41177E-3	57.898166E-9	-66.095779E+0	58.227187E-9	-66.225807E+0
-921.56863E-3	57.898326E-9	-65.182076E+0	58.262351E-9	-67.178993E+0
-913.72550E-3	57.898106E-9	-63.658806E+0	58.290446E-9	-66.482758E+0
-905.88236E-3	57.903023E-9	-63.657654E+0	58.313923E-9	-65.007179E+0
-898.03922E-3	57.900728E-9	-64.138336E+0	58.324169E-9	-64.645645E+0
-890.19608E-3	57.900984E-9	-63.157169E+0	58.349617E-9	-65.272881E+0
-882.35295E-3	57.895956E-9	-63.167522E+0	58.375090E-9	-64.866959E+0
-874.50981E-3	57.887512E-9	-63.422749E+0	58.409078E-9	-63.582848E+0
-866.66667E-3	57.885927E-9	-62.958652E+0	58.434157E-9	-64.340385E+0
-858.82354E-3	57.873635E-9	-62.138809E+0	58.447363E-9	-63.107162E+0
-850.98040E-3	57.870732E-9	-61.649055E+0	58.460710E-9	-61.631207E+0
-843.13726E-3	57.869237E-9	-62.002506E+0	58.478516E-9	-61.709507E+0
-835.29413E-3	57.859090E-9	-61.814415E+0	58.490507E-9	-62.710377E+0
-827.45099E-3	57.851544E-9	-60.731075E+0	58.503055E-9	-61.610001E+0
-819.60785E-3	57.846169E-9	-61.537357E+0	58.512651E-9	-60.053951E+0
-811.76472E-3	57.846183E-9	-60.337795E+0	58.531729E-9	-61.617100E+0
-803.92158E-3	57.852432E-9	-59.344883E+0	58.552306E-9	-61.608681E+0
-796.07844E-3	57.863129E-9	-59.526604E+0	58.586547E-9	-60.783264E+0
-788.23531E-3	57.871272E-9	-59.065388E+0	58.609587E-9	-60.249630E+0
-780.39217E-3	57.888627E-9	-58.092613E+0	58.627414E-9	-60.181583E+0
-772.54903E-3	57.895697E-9	-58.689098E+0	58.651263E-9	-60.397320E+0
-764.70590E-3	57.896415E-9	-58.749794E+0	58.672246E-9	-58.577274E+0
-756.86276E-3	57.905098E-9	-57.631203E+0	58.689142E-9	-59.620281E+0
-749.01962E-3	57.910341E-9	-56.826279E+0	58.710434E-9	-59.920639E+0
