Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:27:12	
User		
Date		
X (m)	5.01754E-6	
Y (m)	-1.76638E-6	
Z (m)	-39.8356E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:26:40	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	58.476996E-9	-68.649292E+0	58.667371E-9	-68.836411E+0
-992.15686E-3	58.457385E-9	-67.759789E+0	58.677553E-9	-68.118408E+0
-984.31373E-3	58.455427E-9	-68.405190E+0	58.707695E-9	-67.906227E+0
-976.47059E-3	58.440239E-9	-68.076736E+0	58.733995E-9	-69.001419E+0
-968.62745E-3	58.435145E-9	-66.274284E+0	58.765089E-9	-66.932434E+0
-960.78432E-3	58.427172E-9	-67.072075E+0	58.779914E-9	-66.700256E+0
-952.94118E-3	58.419346E-9	-67.026459E+0	58.803071E-9	-67.101967E+0
-945.09804E-3	58.411331E-9	-65.564682E+0	58.828018E-9	-66.068230E+0
-937.25491E-3	58.415139E-9	-65.224258E+0	58.847796E-9	-64.835930E+0
-929.41177E-3	58.398417E-9	-66.811348E+0	58.860561E-9	-65.384163E+0
-921.56863E-3	58.386298E-9	-65.252373E+0	58.878765E-9	-65.798088E+0
-913.72550E-3	58.378024E-9	-64.277954E+0	58.902256E-9	-64.031799E+0
-905.88236E-3	58.382192E-9	-63.972683E+0	58.922897E-9	-64.349358E+0
-898.03922E-3	58.398545E-9	-63.482304E+0	58.944856E-9	-64.790367E+0
-890.19608E-3	58.405401E-9	-62.871777E+0	58.968745E-9	-63.177856E+0
-882.35295E-3	58.415075E-9	-62.023651E+0	58.980092E-9	-62.233360E+0
-874.50981E-3	58.427045E-9	-62.717613E+0	58.992757E-9	-62.393574E+0
-866.66667E-3	58.441699E-9	-62.034264E+0	59.005995E-9	-62.849400E+0
-858.82354E-3	58.436353E-9	-61.634022E+0	59.024824E-9	-62.655350E+0
-850.98040E-3	58.437475E-9	-62.184250E+0	59.049984E-9	-61.441448E+0
-843.13726E-3	58.449057E-9	-61.576607E+0	59.065506E-9	-62.048996E+0
-835.29413E-3	58.445615E-9	-60.760216E+0	59.090919E-9	-62.018383E+0
-827.45099E-3	58.435006E-9	-61.577553E+0	59.120886E-9	-60.911278E+0
-819.60785E-3	58.437124E-9	-60.596184E+0	59.142049E-9	-60.752861E+0
-811.76472E-3	58.445202E-9	-59.330734E+0	59.167576E-9	-61.412849E+0
-803.92158E-3	58.463122E-9	-58.710762E+0	59.204169E-9	-60.773743E+0
-796.07844E-3	58.464586E-9	-59.892315E+0	59.235795E-9	-60.056976E+0
-788.23531E-3	58.472679E-9	-59.104111E+0	59.261655E-9	-60.524422E+0
-780.39217E-3	58.475607E-9	-57.844112E+0	59.284737E-9	-59.198074E+0
-772.54903E-3	58.493018E-9	-57.649574E+0	59.309016E-9	-58.236633E+0
-764.70590E-3	58.509993E-9	-58.323788E+0	59.320286E-9	-58.413494E+0
-756.86276E-3	58.523636E-9	-57.808044E+0	59.332287E-9	-59.008213E+0
-749.01962E-3	58.531715E-9	-56.824684E+0	59.350672E-9	-57.625603E+0
-741.17649E-3	58.546522E-9	-57.160381E+0	59.373857E-9	-57.795322E+0
-733.33335E-3	58.561707E-9	-56.609943E+0	59.402161E-9	-58.445339E+0
-725.49021E-3	58.575402E-9	-54.941326E+0	59.424590E-9	-57.341423E+0
-717.64708E-3	58.593688E-9	-55.607452E+0	59.438474E-9	-55.987949E+0
-709.80394E-3	58.615470E-9	-56.207451E+0	59.464110E-9	-57.175049E+0
-701.96080E-3	58.629990E-9	-55.147820E+0	59.487874E-9	-56.234402E+0
-694.11767E-3	58.648045E-9	-54.428520E+0	59.504231E-9	-55.774715E+0
-686.27453E-3	58.663758E-9	-55.105900E+0	59.521607E-9	-56.389053E+0
-678.43139E-3	58.688912E-9	-54.324371E+0	59.556651E-9	-56.791218E+0
-670.58825E-3	58.714196E-9	-53.017139E+0	59.587983E-9	-55.353676E+0
-662.74512E-3	58.731707E-9	-53.505337E+0	59.615033E-9	-55.163162E+0
-654.90198E-3	58.749173E-9	-54.206413E+0	59.642780E-9	-55.862625E+0
-647.05884E-3	58.776212E-9	-52.054043E+0	59.669489E-9	-55.263470E+0
-639.21571E-3	58.795205E-9	-51.946014E+0	59.702089E-9	-53.367043E+0
-631.37257E-3	58.810546E-9	-52.661602E+0	59.726098E-9	-54.183792E+0
-623.52937E-3	58.824114E-9	-53.210503E+0	59.752161E-9	-55.010311E+0
-615.68624E-3	58.839642E-9	-51.330536E+0	59.780760E-9	-53.377075E+0
-607.84310E-3	58.855061E-9	-51.374237E+0	59.808698E-9	-52.120956E+0
-599.99996E-3	58.872736E-9	-52.024376E+0	59.818795E-9	-53.007629E+0
-592.15683E-3	58.881053E-9	-51.211124E+0	59.832288E-9	-52.122440E+0
-584.31369E-3	58.891604E-9	-50.841587E+0	59.845988E-9	-51.257915E+0
-576.47055E-3	58.902540E-9	-51.740757E+0	59.856703E-9	-51.253563E+0
-568.62742E-3	58.913340E-9	-50.533562E+0	59.871297E-9	-51.787903E+0
-560.78428E-3	58.927213E-9	-49.414932E+0	59.883000E-9	-50.978031E+0
