Experiment	bias spectroscopy	
Saved Date	07.11.2019 11:25:20	
User		
Date		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-103.014E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 11:24:57	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	58.853846E-9	-67.283310E+0	58.757283E-9	-67.967049E+0
-992.15686E-3	58.830118E-9	-68.496078E+0	58.769160E-9	-66.446358E+0
-984.31373E-3	58.798520E-9	-67.931007E+0	58.781950E-9	-66.099525E+0
-976.47059E-3	58.773654E-9	-67.210472E+0	58.795468E-9	-66.833992E+0
-968.62745E-3	58.757152E-9	-67.219627E+0	58.817403E-9	-66.483398E+0
-960.78432E-3	58.732866E-9	-67.732483E+0	58.834544E-9	-65.127640E+0
-952.94118E-3	58.706885E-9	-66.240952E+0	58.849395E-9	-64.656136E+0
-945.09804E-3	58.694351E-9	-64.978981E+0	58.859168E-9	-65.324959E+0
-937.25491E-3	58.684790E-9	-64.955170E+0	58.877074E-9	-64.697128E+0
-929.41177E-3	58.673635E-9	-64.482620E+0	58.902902E-9	-64.227287E+0
-921.56863E-3	58.662128E-9	-63.423134E+0	58.910100E-9	-64.507812E+0
-913.72550E-3	58.654361E-9	-63.799881E+0	58.924051E-9	-63.977482E+0
-905.88236E-3	58.648329E-9	-64.067177E+0	58.943947E-9	-62.761456E+0
-898.03922E-3	58.643835E-9	-62.664093E+0	58.960552E-9	-63.133461E+0
-890.19608E-3	58.637788E-9	-62.283318E+0	58.972255E-9	-63.057106E+0
-882.35295E-3	58.622128E-9	-62.596806E+0	58.990377E-9	-62.056553E+0
-874.50981E-3	58.618266E-9	-62.114849E+0	59.010873E-9	-61.487228E+0
-866.66667E-3	58.610137E-9	-60.795460E+0	59.029951E-9	-62.502636E+0
-858.82354E-3	58.606719E-9	-61.044441E+0	59.040829E-9	-61.828724E+0
-850.98040E-3	58.598935E-9	-61.319946E+0	59.061279E-9	-60.520702E+0
-843.13726E-3	58.593081E-9	-59.860023E+0	59.080229E-9	-61.368828E+0
-835.29413E-3	58.595642E-9	-59.831207E+0	59.104472E-9	-61.542061E+0
-827.45099E-3	58.590494E-9	-59.964993E+0	59.121227E-9	-59.759750E+0
-819.60785E-3	58.587265E-9	-59.470379E+0	59.132308E-9	-59.240028E+0
-811.76472E-3	58.587791E-9	-58.250729E+0	59.146704E-9	-59.906822E+0
-803.92158E-3	58.591603E-9	-58.639503E+0	59.163963E-9	-59.050137E+0
