Experiment	bias spectroscopy	
Saved Date	06.11.2019 10:19:41	
User		
Date		
X (m)	-3.0725E-6	
Y (m)	3.07822E-6	
Z (m)	-313.111E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	06.11.2019 10:19:09	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC M1 Freq. Shift (Hz)	OC M1 Freq. Shift [bwd] (Hz)
-145.09797E-3	-12.715578E+0	-12.509765E+0
-137.25483E-3	-12.701298E+0	-12.926299E+0
-129.41170E-3	-13.028550E+0	-12.896676E+0
-121.56856E-3	-12.588203E+0	-12.332057E+0
-113.72542E-3	-12.657974E+0	-12.191175E+0
-105.88229E-3	-12.891167E+0	-12.912016E+0
-98.039150E-3	-13.013742E+0	-12.816305E+0
-90.196013E-3	-12.731718E+0	-12.336204E+0
-82.352877E-3	-12.201159E+0	-11.863878E+0
-74.509740E-3	-13.083766E+0	-12.537667E+0
-66.666603E-3	-13.229574E+0	-12.982737E+0
-58.823466E-3	-13.045894E+0	-12.067791E+0
-50.980330E-3	-12.592507E+0	-12.543695E+0
-43.137193E-3	-12.879217E+0	-12.746379E+0
-35.294056E-3	-12.829367E+0	-12.942392E+0
-27.450919E-3	-12.900963E+0	-12.781307E+0
-19.607782E-3	-12.618011E+0	-12.573736E+0
-11.764646E-3	-12.844833E+0	-12.351367E+0
-3.9215088E-3	-13.059865E+0	-12.701703E+0
3.9216280E-3	-13.083494E+0	-12.056952E+0
11.764765E-3	-13.311967E+0	-12.927155E+0
19.607902E-3	-12.508027E+0	-12.491838E+0
27.451038E-3	-12.787634E+0	-12.222091E+0
35.294175E-3	-12.659539E+0	-12.349448E+0
43.137312E-3	-12.841609E+0	-12.566738E+0
50.980449E-3	-12.734334E+0	-13.049179E+0
58.823586E-3	-12.323189E+0	-12.087415E+0
66.666722E-3	-12.314813E+0	-12.332150E+0
74.509859E-3	-12.537472E+0	-12.838605E+0
82.352996E-3	-12.531761E+0	-12.519035E+0
90.196133E-3	-12.717363E+0	-12.479911E+0
98.039269E-3	-12.722616E+0	-11.947753E+0
105.88241E-3	-12.407293E+0	-12.396752E+0
113.72554E-3	-13.264408E+0	-12.807064E+0
121.56868E-3	-12.875435E+0	-12.279512E+0
129.41182E-3	-13.292023E+0	-12.386554E+0
137.25495E-3	-12.247869E+0	-12.166492E+0
145.09809E-3	-12.618545E+0	-12.170691E+0
152.94123E-3	-13.268493E+0	-13.143955E+0
160.78436E-3	-12.794201E+0	-12.666147E+0
168.62750E-3	-12.620168E+0	-12.659351E+0
176.47064E-3	-12.588532E+0	-12.354792E+0
184.31377E-3	-13.410136E+0	-12.652732E+0
192.15691E-3	-13.703731E+0	-13.214895E+0
200.00005E-3	-12.824330E+0	-12.389550E+0
207.84318E-3	-12.871882E+0	-12.654409E+0
215.68632E-3	-13.478412E+0	-13.000052E+0
223.52946E-3	-13.068903E+0	-12.799502E+0
231.37259E-3	-13.642307E+0	-13.046858E+0
239.21573E-3	-13.485134E+0	-13.104863E+0
247.05887E-3	-13.193563E+0	-12.618985E+0
254.90201E-3	-13.266944E+0	-12.978410E+0
262.74514E-3	-12.950611E+0	-12.595981E+0
270.58828E-3	-13.862358E+0	-13.363670E+0
278.43142E-3	-13.373877E+0	-13.337752E+0
286.27455E-3	-13.121604E+0	-12.376748E+0
294.11769E-3	-13.578370E+0	-13.221589E+0
301.96083E-3	-14.219628E+0	-13.079550E+0
309.80396E-3	-13.671663E+0	-12.993117E+0
317.64710E-3	-13.151191E+0	-12.522950E+0
325.49024E-3	-13.233649E+0	-12.792239E+0
333.33337E-3	-14.389260E+0	-13.670218E+0
341.17651E-3	-13.979813E+0	-12.972364E+0
349.01965E-3	-13.856291E+0	-13.047536E+0
356.86278E-3	-14.181550E+0	-13.434246E+0
364.70592E-3	-13.944260E+0	-13.502561E+0
372.54906E-3	-13.795252E+0	-13.528141E+0
380.39219E-3	-13.743850E+0	-13.086982E+0
388.23533E-3	-13.989409E+0	-13.411634E+0
396.07847E-3	-13.764050E+0	-13.387343E+0
403.92160E-3	-13.857239E+0	-12.933030E+0
411.76474E-3	-14.500276E+0	-13.825736E+0
419.60788E-3	-14.547428E+0	-13.701797E+0
427.45101E-3	-14.046759E+0	-13.384792E+0
435.29415E-3	-13.936676E+0	-12.882088E+0
443.13729E-3	-14.502559E+0	-13.496872E+0
450.98042E-3	-14.365791E+0	-14.103368E+0
458.82356E-3	-13.903877E+0	-13.676208E+0
466.66670E-3	-13.433014E+0	-13.353687E+0
474.50984E-3	-14.714225E+0	-14.216426E+0
482.35297E-3	-14.484123E+0	-14.210719E+0
490.19611E-3	-14.730555E+0	-13.917874E+0
498.03925E-3	-14.149021E+0	-13.802565E+0
505.88250E-3	-14.092256E+0	-13.788312E+0
513.72564E-3	-14.847482E+0	-14.055651E+0
521.56878E-3	-14.619870E+0	-13.794620E+0
529.41191E-3	-15.200215E+0	-14.256684E+0
537.25505E-3	-14.809899E+0	-14.450242E+0
545.09819E-3	-14.882471E+0	-13.975489E+0
552.94132E-3	-15.080273E+0	-14.678879E+0
560.78446E-3	-15.166290E+0	-14.633533E+0
568.62760E-3	-14.759352E+0	-14.886353E+0
576.47073E-3	-14.777890E+0	-14.336245E+0
584.31387E-3	-15.123719E+0	-14.548703E+0
592.15701E-3	-15.591623E+0	-15.096052E+0
600.00014E-3	-15.415239E+0	-14.835768E+0
607.84328E-3	-14.946296E+0	-14.484779E+0
615.68642E-3	-15.625407E+0	-14.891773E+0
623.52955E-3	-15.163326E+0	-14.623517E+0
631.37269E-3	-15.814223E+0	-15.489028E+0
639.21583E-3	-15.653708E+0	-15.031926E+0
647.05896E-3	-15.581366E+0	-15.108097E+0
654.90210E-3	-16.000103E+0	-15.585930E+0
662.74524E-3	-15.645670E+0	-15.253324E+0
