Experiment	Z spectroscopy	
Saved Date	05.02.2020 13:47:10	
User		
X (m)	1.12911E-6	
Y (m)	1.00575E-6	
Z (m)	-269.562E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	35E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	05.02.2020 13:46:52	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-18.137253E-9	-640.20741E-3	4.4156150E-12	-57.354790E+0	-599.86722E-3	7.1545096E-12	-86.109924E+0
-18.274509E-9	-631.63602E-3	4.3040458E-12	-88.834961E+0	-623.41917E-3	9.1877643E-12	-67.683746E+0
-18.411765E-9	-637.98219E-3	6.2625430E-12	-88.711273E+0	-705.74188E-3	4.6230120E-12	-82.974739E+0
-18.549020E-9	-700.39213E-3	5.5125652E-12	-65.218742E+0	-768.63402E-3	3.9239055E-12	-76.680107E+0
-18.686276E-9	-757.28911E-3	5.3994803E-12	-79.108078E+0	-764.43887E-3	6.4531605E-12	-70.506226E+0
-18.823531E-9	-732.37610E-3	4.6016880E-12	-85.145638E+0	-805.26477E-3	6.8147436E-12	-103.78844E+0
-18.960783E-9	-722.71985E-3	4.0998147E-12	-75.269341E+0	-885.11503E-3	5.9484431E-12	-93.975471E+0
-19.098039E-9	-771.77024E-3	3.9330076E-12	-69.077065E+0	-897.81797E-3	2.5098300E-12	-74.824394E+0
-19.235294E-9	-836.71826E-3	6.4572384E-12	-69.869812E+0	-887.21412E-3	10.135616E-12	-131.92389E+0
-19.372550E-9	-876.13326E-3	7.3234821E-12	-72.177963E+0	-953.44746E-3	9.3085756E-12	-99.550026E+0
-19.509805E-9	-949.99796E-3	4.8774743E-12	-78.451607E+0	-1.0326544E+0	5.8494724E-12	-60.005096E+0
-19.647057E-9	-999.57985E-3	8.3948942E-12	-61.255562E+0	-1.0483673E+0	4.3104192E-12	-74.190414E+0
-19.784313E-9	-998.22897E-3	6.6855172E-12	-103.23788E+0	-1.0639424E+0	8.7767588E-12	-101.31188E+0
-19.921568E-9	-1.0371408E+0	6.6717777E-12	-75.597885E+0	-1.0880834E+0	3.8624520E-12	-62.993172E+0
-20.058824E-9	-1.1261683E+0	7.1866436E-12	-77.534523E+0	-1.0913070E+0	8.2991973E-12	-82.377388E+0
-20.196076E-9	-1.1255697E+0	4.4851397E-12	-78.599808E+0	-1.1414745E+0	7.2317955E-12	-79.826424E+0
-20.333331E-9	-1.1108719E+0	8.1973534E-12	-108.09711E+0	-1.2111460E+0	5.2647665E-12	-68.298828E+0
-20.470587E-9	-1.1735617E+0	7.6191753E-12	-77.837303E+0	-1.1964340E+0	5.1646630E-12	-95.312019E+0
-20.607843E-9	-1.2463893E+0	5.0381049E-12	-65.262329E+0	-1.1823786E+0	6.4798145E-12	-85.422775E+0
-20.745098E-9	-1.2459854E+0	4.6191826E-12	-61.521927E+0	-1.2860026E+0	7.2115664E-12	-71.188126E+0
-20.882354E-9	-1.2601339E+0	4.3763491E-12	-84.161018E+0	-1.3941528E+0	6.3434371E-12	-46.644459E+0
-21.019606E-9	-1.3063664E+0	10.288798E-12	-98.460190E+0	-1.3654435E+0	5.3177992E-12	-69.176254E+0
-21.156861E-9	-1.3135396E+0	7.4934919E-12	-89.214104E+0	-1.3298452E+0	5.6930988E-12	-56.317856E+0
-21.294117E-9	-1.3263611E+0	6.0290275E-12	-76.623230E+0	-1.3884592E+0	4.6422939E-12	-83.849083E+0
-21.431372E-9	-1.3757212E+0	5.6177836E-12	-83.366760E+0	-1.4759252E+0	7.7883516E-12	-75.426376E+0
-21.568628E-9	-1.3841313E+0	4.6649737E-12	-77.856728E+0	-1.4965872E+0	6.4978457E-12	-51.914810E+0
-21.705880E-9	-1.3796625E+0	2.4246946E-12	-81.809784E+0	-1.5141139E+0	8.0509089E-12	-118.68967E+0
-21.843135E-9	-1.4593358E+0	4.5752221E-12	-95.244568E+0	-1.5516317E+0	4.7408501E-12	-79.444191E+0
-21.980391E-9	-1.5476384E+0	3.3977304E-12	-80.595749E+0	-1.5836655E+0	5.5496293E-12	-75.588165E+0
-22.117646E-9	-1.5330333E+0	5.3655344E-12	-67.568512E+0	-1.6121892E+0	9.0581431E-12	-77.567688E+0
-22.254902E-9	-1.5185924E+0	2.5024520E-12	-82.851273E+0	-1.6427511E+0	8.0242592E-12	-84.421432E+0
-22.392157E-9	-1.6024327E+0	3.4294412E-12	-77.663246E+0	-1.6338949E+0	2.9831638E-12	-65.986275E+0
-22.529409E-9	-1.6769750E+0	4.7027842E-12	-72.047546E+0	-1.6289805E+0	3.8732568E-12	-66.560562E+0
-22.666665E-9	-1.6648707E+0	5.8776443E-12	-79.049500E+0	-1.7105051E+0	3.3210420E-12	-81.786636E+0
-22.803921E-9	-1.6747345E+0	8.4848942E-12	-107.14935E+0	-1.8060812E+0	4.5014526E-12	-82.670372E+0
-22.941176E-9	-1.7362940E+0	8.0184696E-12	-87.586067E+0	-1.8142319E+0	3.1679802E-12	-74.954041E+0
-23.078432E-9	-1.7726496E+0	8.2896676E-12	-87.834053E+0	-1.8204361E+0	6.5017995E-12	-111.64751E+0
-23.215687E-9	-1.8022949E+0	6.3049600E-12	-74.790771E+0	-1.8832855E+0	5.1913669E-12	-74.190147E+0
-23.352939E-9	-1.8366287E+0	3.6176704E-12	-76.253098E+0	-1.9133682E+0	5.1362022E-12	-88.199539E+0
-23.490195E-9	-1.8600520E+0	10.313915E-12	-29.406088E+0	-1.8883566E+0	5.0028376E-12	-92.472031E+0
-23.627450E-9	-1.8772008E+0	7.8739897E-12	-81.244102E+0	-1.9198599E+0	5.8593711E-12	-75.206398E+0
-23.764706E-9	-1.9370600E+0	5.1430106E-12	-97.686844E+0	-2.0012360E+0	11.689125E-12	-52.566170E+0
-23.901961E-9	-1.9842886E+0	4.3492254E-12	-77.184586E+0	-2.0342655E+0	8.6815945E-12	-87.903412E+0
-24.039213E-9	-1.9719508E+0	9.2382907E-12	-87.495941E+0	-2.0732269E+0	6.6312689E-12	-84.057152E+0
-24.176469E-9	-1.9930546E+0	5.3405791E-12	-77.401413E+0	-2.1473668E+0	5.6883118E-12	-47.630116E+0
-24.313724E-9	-2.0922260E+0	3.4686178E-12	-62.831161E+0	-2.1613357E+0	8.2781906E-12	-81.429993E+0
-24.450980E-9	-2.1506639E+0	4.8666357E-12	-78.381325E+0	-2.1208012E+0	7.5307677E-12	-74.915459E+0
-24.588235E-9	-2.1291468E+0	9.1683163E-12	-71.439751E+0	-2.1623845E+0	4.5145341E-12	-63.468388E+0
-24.725491E-9	-2.1536498E+0	7.5819325E-12	-85.043205E+0	-2.2408111E+0	5.5924952E-12	-92.040375E+0
-24.862743E-9	-2.2608118E+0	8.3013717E-12	-90.904861E+0	-2.2705796E+0	6.2194564E-12	-93.310135E+0
-24.999999E-9	-2.3003485E+0	10.141886E-12	-75.141075E+0	-2.3215246E+0	9.9399534E-12	-119.93709E+0
