Experiment	Z spectroscopy	
Saved Date	05.02.2020 13:47:10	
User		
X (m)	1.12911E-6	
Y (m)	1.00575E-6	
Z (m)	-269.562E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	35E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	05.02.2020 13:46:52	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
3.5490197E-9	157.43001E-3	5.0718740E-9	-53.169384E+0	172.30429E-3	46.426616E-12	152.58789E+0
3.4117646E-9	157.03279E-3	5.0716760E-9	-70.313812E+0	172.54436E-3	33.674518E-12	147.49083E+0
3.2745096E-9	156.93258E-3	5.0592890E-9	-57.385929E+0	172.81087E-3	21.922228E-12	137.29588E+0
3.1372549E-9	156.76016E-3	5.0642877E-9	-56.749912E+0	172.33175E-3	15.674724E-12	118.94416E+0
2.9999998E-9	156.59077E-3	5.0568048E-9	-69.689819E+0	170.66956E-3	34.566371E-12	152.58789E+0
2.8627452E-9	157.67109E-3	5.0749325E-9	-52.088829E+0	171.11206E-3	25.286360E-12	74.352295E+0
2.7254901E-9	156.99768E-3	5.0623066E-9	-63.283520E+0	171.58966E-3	38.220531E-12	124.58598E+0
2.5882354E-9	156.97174E-3	5.0650177E-9	-66.629494E+0	168.99109E-3	53.296662E-12	152.58789E+0
2.4509808E-9	157.21843E-3	5.0601114E-9	-53.815163E+0	168.87970E-3	44.174192E-12	111.57142E+0
2.3137252E-9	156.38478E-3	5.0566751E-9	-68.153778E+0	169.97884E-3	37.216060E-12	75.904938E+0
2.1764706E-9	157.75654E-3	5.0477689E-9	-77.792465E+0	167.92957E-3	23.609906E-12	79.896179E+0
2.0392159E-9	156.92343E-3	5.0413522E-9	-60.752434E+0	172.49909E-3	31.513136E-12	87.577881E+0
1.9019604E-9	157.31761E-3	5.0416822E-9	-67.573158E+0	170.99456E-3	35.542538E-12	127.55588E+0
1.7647057E-9	156.49973E-3	5.0340878E-9	-74.527222E+0	169.94883E-3	18.699032E-12	84.270561E+0
1.6274511E-9	157.24996E-3	5.0341522E-9	-61.382538E+0	168.41277E-3	39.594047E-12	152.58789E+0
1.4901964E-9	156.71183E-3	5.0222395E-9	-70.384506E+0	167.20937E-3	37.414259E-12	110.62810E+0
1.3529409E-9	157.06278E-3	5.0137317E-9	-84.915695E+0	167.57050E-3	12.924981E-12	71.946480E+0
1.2156862E-9	158.55968E-3	5.0183928E-9	-63.525875E+0	165.73231E-3	32.398705E-12	144.39862E+0
1.0784316E-9	157.19859E-3	5.0150128E-9	-74.360802E+0	164.85392E-3	29.113035E-12	148.49782E+0
941.17603E-12	157.29828E-3	5.0062101E-9	-85.946968E+0	165.12859E-3	33.839612E-12	135.89357E+0
803.92137E-12	157.90914E-3	4.9897868E-9	-69.192375E+0	164.94243E-3	24.843816E-12	135.25766E+0
666.66672E-12	157.52715E-3	4.9888178E-9	-76.292450E+0	161.89474E-3	35.419848E-12	152.58789E+0
529.41207E-12	157.07041E-3	4.9851216E-9	-85.598381E+0	161.92271E-3	34.215086E-12	125.06787E+0
392.15653E-12	157.39594E-3	4.9909739E-9	-68.584625E+0	163.15714E-3	48.135607E-12	152.58789E+0
254.90188E-12	157.44172E-3	4.9724460E-9	-77.831650E+0	162.86163E-3	41.596043E-12	151.56866E+0
117.64723E-12	157.15332E-3	4.9560760E-9	-90.278740E+0	161.52954E-3	102.82512E-12	152.58789E+0
-19.608315E-12	157.37253E-3	4.9448428E-9	-67.342552E+0	161.21927E-3	34.536464E-12	94.090393E+0
-156.86297E-12	157.11924E-3	4.9332081E-9	-81.644501E+0	163.43944E-3	51.632140E-12	134.51959E+0
-294.11762E-12	157.80233E-3	4.9125553E-9	-93.170227E+0	162.39980E-3	77.605374E-12	152.58789E+0
-431.37227E-12	157.46613E-3	4.8946447E-9	-83.213905E+0	162.58545E-3	21.795909E-12	118.77565E+0
-568.62781E-12	157.39542E-3	4.8851070E-9	-87.332153E+0	162.65412E-3	93.529080E-12	152.58789E+0
-705.88246E-12	158.10750E-3	4.8584146E-9	-96.818260E+0	161.16841E-3	30.720052E-12	117.41214E+0
-843.13712E-12	157.80538E-3	4.8506572E-9	-81.998543E+0	161.79708E-3	123.26944E-12	152.58789E+0
-980.39177E-12	158.03578E-3	4.8376214E-9	-95.076393E+0	161.74316E-3	27.141933E-12	-7.8246436E+0
-1.1176473E-9	158.08004E-3	4.8220938E-9	-104.49489E+0	170.04241E-3	21.544240E-12	79.484200E+0
-1.2549020E-9	158.95437E-3	4.7977191E-9	-89.292679E+0	168.42702E-3	29.022557E-12	125.82650E+0
-1.3921566E-9	158.59121E-3	4.7769739E-9	-96.130699E+0	169.65586E-3	20.305787E-12	119.59425E+0
-1.5294122E-9	158.35927E-3	4.7582600E-9	-106.08635E+0	169.69860E-3	16.651033E-12	97.101463E+0
-1.6666668E-9	159.35364E-3	4.7382875E-9	-94.014137E+0	165.21098E-3	34.957919E-12	147.34674E+0
-1.8039215E-9	158.19244E-3	4.7140882E-9	-110.42722E+0	164.05894E-3	37.411664E-12	152.58789E+0
-1.9411761E-9	158.33028E-3	4.7113233E-9	-111.61100E+0	165.05432E-3	24.934107E-12	140.35764E+0
-2.0784316E-9	158.09581E-3	4.6829913E-9	-98.778526E+0	164.75932E-3	17.850619E-12	128.12686E+0
-2.2156863E-9	158.77838E-3	4.6545394E-9	-110.80505E+0	163.19376E-3	27.191782E-12	152.58789E+0
-2.3529410E-9	158.57901E-3	4.6296180E-9	-113.45190E+0	162.15616E-3	25.125428E-12	148.51476E+0
