Experiment	Z spectroscopy	
Saved Date	05.02.2020 13:47:14	
User		
X (m)	1.12911E-6	
Y (m)	1.00575E-6	
Z (m)	-269.237E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	35E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	05.02.2020 13:46:48	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
6.5686274E-9	157.00023E-3	5.0798450E-9	-52.213566E+0	160.69488E-3	494.34778E-12	152.58789E+0
6.4313728E-9	157.11977E-3	5.0829185E-9	-42.662060E+0	160.05656E-3	650.73252E-12	152.58789E+0
6.2941177E-9	157.90813E-3	5.0793880E-9	-49.764366E+0	158.21178E-3	777.42401E-12	152.58789E+0
6.1568626E-9	157.99561E-3	5.0895075E-9	-43.677494E+0	159.85057E-3	894.10790E-12	152.58789E+0
6.0196079E-9	157.62278E-3	5.0887743E-9	-40.548027E+0	160.08860E-3	984.71753E-12	152.58789E+0
5.8823528E-9	157.96965E-3	5.0985172E-9	-56.656555E+0	159.88311E-3	1.0514354E-9	152.58789E+0
5.7450982E-9	157.03125E-3	5.0985198E-9	-48.135056E+0	158.98132E-3	1.0825890E-9	152.58789E+0
5.6078431E-9	157.63551E-3	5.0950621E-9	-34.743942E+0	158.90248E-3	1.0944098E-9	152.58789E+0
5.4705880E-9	157.90303E-3	5.0943427E-9	-57.132820E+0	159.82258E-3	1.1029621E-9	152.58789E+0
5.3333333E-9	157.65381E-3	5.0976063E-9	-51.097187E+0	159.59117E-3	1.0727121E-9	152.58789E+0
5.1960782E-9	158.71735E-3	5.1040749E-9	-38.841942E+0	159.67102E-3	1.0262244E-9	152.58789E+0
5.0588236E-9	157.14671E-3	5.0999751E-9	-58.532742E+0	159.02761E-3	947.06964E-12	152.58789E+0
4.9215685E-9	157.63193E-3	5.1023417E-9	-42.890343E+0	159.04845E-3	843.57721E-12	152.07062E+0
4.7843138E-9	157.65533E-3	5.0984763E-9	-46.640766E+0	159.04847E-3	725.09604E-12	106.81759E+0
4.6470587E-9	157.01701E-3	5.1037836E-9	-60.757179E+0	158.89791E-3	570.11651E-12	-27.895029E+0
4.5098041E-9	157.47477E-3	5.1005391E-9	-42.693390E+0	159.10135E-3	439.39233E-12	-18.291342E+0
4.3725490E-9	157.02158E-3	5.1061644E-9	-51.749763E+0	158.97827E-3	315.42607E-12	-8.9349804E+0
4.2352939E-9	157.40915E-3	5.1052593E-9	-63.002888E+0	159.62626E-3	195.03944E-12	-4.3352451E+0
4.0980392E-9	157.35017E-3	5.0975992E-9	-46.568115E+0	160.28494E-3	70.116843E-12	66.227249E+0
3.9607841E-9	156.98293E-3	5.0945448E-9	-56.395348E+0	163.52692E-3	22.581065E-12	136.30402E+0
3.8235295E-9	156.91376E-3	5.0880367E-9	-57.042568E+0	162.11089E-3	51.615844E-12	152.58789E+0
3.6862744E-9	157.95085E-3	5.0920650E-9	-47.986233E+0	162.65665E-3	28.196095E-12	152.58789E+0
3.5490197E-9	157.91015E-3	5.0954450E-9	-65.513222E+0	162.73855E-3	49.053265E-12	152.58789E+0
3.4117646E-9	157.55869E-3	5.0744524E-9	-58.687843E+0	160.90800E-3	35.689868E-12	152.58789E+0
3.2745096E-9	158.57646E-3	5.0753357E-9	-53.980663E+0	161.26759E-3	75.362945E-12	152.58789E+0
3.1372549E-9	157.65737E-3	5.0682507E-9	-68.257408E+0	163.27973E-3	30.069010E-12	146.48245E+0
2.9999998E-9	158.05511E-3	5.0679048E-9	-56.786057E+0	163.07780E-3	50.067225E-12	152.58789E+0
2.8627452E-9	157.79318E-3	5.0602247E-9	-52.135342E+0	162.20856E-3	33.387373E-12	152.58789E+0
2.7254901E-9	158.66902E-3	5.0502567E-9	-71.527565E+0	163.20293E-3	50.059238E-12	152.58789E+0
2.5882354E-9	157.95338E-3	5.0418092E-9	-60.314968E+0	162.86062E-3	51.216576E-12	152.58789E+0
2.4509808E-9	157.51547E-3	5.0385514E-9	-57.366104E+0	167.77954E-3	37.857072E-12	152.58789E+0
2.3137252E-9	159.04032E-3	5.0368998E-9	-70.575562E+0	171.73868E-3	37.294796E-12	152.45642E+0
2.1764706E-9	157.71282E-3	5.0365472E-9	-62.071053E+0	172.72085E-3	30.094160E-12	109.64851E+0
2.0392159E-9	158.05613E-3	5.0295212E-9	-62.101177E+0	170.65684E-3	23.002409E-12	53.637589E+0
1.9019604E-9	158.05206E-3	5.0250355E-9	-73.148895E+0	170.73007E-3	38.027526E-12	144.38826E+0
1.7647057E-9	158.20871E-3	5.0235949E-9	-59.889656E+0	178.00191E-3	9.4613900E-12	122.92875E+0
1.6274511E-9	157.52360E-3	5.0209250E-9	-70.903793E+0	176.37786E-3	15.798045E-12	111.23595E+0
1.4901964E-9	158.08308E-3	5.0106621E-9	-74.933472E+0	172.48891E-3	12.832678E-12	106.83318E+0
1.3529409E-9	158.48388E-3	5.0053295E-9	-65.295357E+0	172.27885E-3	13.704993E-12	99.835953E+0
1.2156862E-9	157.82572E-3	4.9978390E-9	-74.643967E+0	172.01029E-3	20.216292E-12	113.49941E+0
1.0784316E-9	158.69445E-3	4.9914517E-9	-78.944839E+0	169.35119E-3	22.349251E-12	107.37504E+0
941.17603E-12	158.40098E-3	4.9809001E-9	-68.727783E+0	167.69867E-3	14.083842E-12	96.103699E+0
803.92137E-12	158.39335E-3	4.9766489E-9	-78.610268E+0	168.14677E-3	33.712741E-12	120.85129E+0
666.66672E-12	157.57598E-3	4.9773452E-9	-82.835457E+0	167.78514E-3	14.841590E-12	143.41292E+0
529.41207E-12	157.39745E-3	4.9675069E-9	-76.163025E+0	165.56752E-3	26.792051E-12	148.51814E+0
392.15653E-12	158.71735E-3	4.9551279E-9	-88.008247E+0	164.14286E-3	22.204990E-12	144.42523E+0
254.90188E-12	157.56430E-3	4.9478150E-9	-83.079559E+0	165.50598E-3	34.704510E-12	134.03392E+0
117.64723E-12	157.54496E-3	4.9382933E-9	-76.090843E+0	165.77047E-3	29.233720E-12	133.77190E+0
-19.608315E-12	158.14158E-3	4.9187530E-9	-86.729149E+0	164.51925E-3	27.049515E-12	81.697319E+0
-156.86297E-12	158.58257E-3	4.9122049E-9	-82.699440E+0	164.51161E-3	18.053017E-12	80.803696E+0
-294.11762E-12	158.81754E-3	4.8890985E-9	-75.130196E+0	165.31321E-3	19.113423E-12	104.40633E+0
-431.37227E-12	157.63193E-3	4.8768816E-9	-94.225182E+0	165.81319E-3	20.344882E-12	84.215675E+0
-568.62781E-12	158.72446E-3	4.8686464E-9	-98.861839E+0	164.54823E-3	21.328318E-12	136.22147E+0
-705.88246E-12	157.92491E-3	4.8723265E-9	-84.720650E+0	165.69774E-3	28.774658E-12	147.48300E+0
-843.13712E-12	158.53526E-3	4.8484146E-9	-95.808342E+0	164.19068E-3	36.040327E-12	152.58789E+0
-980.39177E-12	158.90960E-3	4.8347952E-9	-95.966698E+0	164.16828E-3	15.990561E-12	126.66229E+0
-1.1176473E-9	158.42031E-3	4.8174842E-9	-91.819695E+0	164.12303E-3	45.221157E-12	152.58789E+0
-1.2549020E-9	159.41417E-3	4.7969708E-9	-101.17064E+0	163.68714E-3	55.254357E-12	152.58789E+0
-1.3921566E-9	158.56017E-3	4.7815516E-9	-102.59034E+0	162.37590E-3	89.043245E-12	152.58789E+0
-1.5294122E-9	159.50419E-3	4.7703104E-9	-99.858215E+0	162.58800E-3	73.072076E-12	152.58789E+0
-1.6666668E-9	157.95848E-3	4.7512989E-9	-107.20089E+0	163.57626E-3	38.895435E-12	152.58789E+0
-1.8039215E-9	158.88774E-3	4.7352664E-9	-108.52355E+0	163.03813E-3	53.820802E-12	152.58789E+0
-1.9411761E-9	158.43557E-3	4.7107727E-9	-112.90587E+0	168.54706E-3	21.027029E-12	112.87408E+0
-2.0784316E-9	158.75956E-3	4.6936530E-9	-102.85670E+0	167.82583E-3	19.041256E-12	88.526314E+0
-2.2156863E-9	159.28192E-3	4.6681503E-9	-111.41486E+0	168.51908E-3	30.064642E-12	152.58789E+0
-2.3529410E-9	159.14816E-3	4.6389013E-9	-118.10498E+0	167.08882E-3	25.641215E-12	144.43597E+0
-2.4901965E-9	159.21478E-3	4.6183404E-9	-102.53439E+0	166.38286E-3	30.230624E-12	57.377525E+0
-2.6274511E-9	158.76414E-3	4.5860542E-9	-111.61180E+0	166.46016E-3	20.130560E-12	86.598648E+0
-2.7647058E-9	158.73311E-3	4.5640096E-9	-116.23667E+0	165.68756E-3	32.996064E-12	148.51854E+0
-2.9019604E-9	158.12378E-3	4.5392778E-9	-111.04910E+0	165.42409E-3	50.594702E-12	152.58789E+0
-3.0392160E-9	158.68479E-3	4.5049982E-9	-122.89876E+0	166.06191E-3	35.203937E-12	139.25943E+0
-3.1764706E-9	158.07547E-3	4.4665511E-9	-123.45405E+0	174.20146E-3	8.9834720E-12	121.88934E+0
-3.3137253E-9	158.73769E-3	4.4421502E-9	-128.26947E+0	171.06476E-3	12.788148E-12	109.36653E+0
-3.4509808E-9	159.38975E-3	4.4128514E-9	-127.01326E+0	171.27889E-3	21.798389E-12	128.03813E+0
-3.5882355E-9	159.17002E-3	4.3750092E-9	-132.92581E+0	172.59318E-3	19.340413E-12	112.13488E+0
-3.7254901E-9	158.45388E-3	4.3411044E-9	-151.95787E+0	169.97477E-3	17.507037E-12	103.23386E+0
-3.8627448E-9	158.33791E-3	4.2986388E-9	-134.51326E+0	168.29886E-3	32.009777E-12	146.14880E+0
-4.0000003E-9	159.20207E-3	4.2556558E-9	-144.88385E+0	168.60148E-3	15.870055E-12	65.096573E+0
-4.1372550E-9	160.10284E-3	4.2232116E-9	-152.58789E+0	168.65896E-3	31.587885E-12	141.35568E+0
-4.2745096E-9	159.09271E-3	4.1875059E-9	-152.54840E+0	168.41686E-3	44.494505E-12	120.15511E+0
-4.4117652E-9	160.11149E-3	4.1412367E-9	-152.58789E+0	166.21551E-3	32.846219E-12	99.455894E+0
-4.5490198E-9	159.28294E-3	4.0924615E-9	-152.38533E+0	166.35437E-3	15.277536E-12	88.920174E+0
-4.6862745E-9	159.58048E-3	4.0391357E-9	-152.58789E+0	166.37269E-3	21.030197E-12	127.01575E+0
-4.8235291E-9	160.00569E-3	4.0019836E-9	-152.58789E+0	165.43528E-3	23.994896E-12	150.55107E+0
-4.9607847E-9	159.88871E-3	3.9395718E-9	-152.58789E+0	166.19466E-3	33.873765E-12	152.58789E+0
-5.0980384E-9	160.19642E-3	3.8817163E-9	-152.58789E+0	165.28930E-3	40.172816E-12	152.58789E+0
-5.2352940E-9	159.55149E-3	3.8135042E-9	-152.58789E+0	165.26236E-3	21.729141E-12	60.467155E+0
-5.3725495E-9	160.21170E-3	3.7509857E-9	-152.58789E+0	164.38650E-3	75.318529E-12	140.97037E+0
-5.5098033E-9	159.56624E-3	3.6755683E-9	-152.58789E+0	164.15355E-3	79.851507E-12	152.58789E+0
-5.6470588E-9	160.40292E-3	3.5876164E-9	-152.58789E+0	164.21153E-3	141.27532E-12	152.58789E+0
-5.7843144E-9	160.35564E-3	3.4854426E-9	-152.58789E+0	163.91449E-3	96.929090E-12	152.58789E+0
-5.9215681E-9	160.05808E-3	3.3805867E-9	-152.58789E+0	166.62648E-3	27.645665E-12	152.58789E+0
-6.0588237E-9	159.60439E-3	3.2707821E-9	-152.58789E+0	165.30150E-3	23.598986E-12	125.90414E+0
-6.1960792E-9	160.49856E-3	3.1433118E-9	-152.58789E+0	164.88189E-3	91.009346E-12	152.58789E+0
-6.3333330E-9	160.97412E-3	3.0029270E-9	-152.58789E+0	164.16727E-3	18.541795E-12	123.04337E+0
-6.4705885E-9	160.98887E-3	2.8391902E-9	-152.58789E+0	166.00850E-3	72.674186E-12	152.58789E+0
-6.6078440E-9	160.68369E-3	2.6610154E-9	-152.58789E+0	165.63162E-3	43.084532E-12	135.05286E+0
-6.7450978E-9	160.47516E-3	2.4685121E-9	-152.58789E+0	175.05850E-3	11.934082E-12	122.89792E+0
-6.8823534E-9	160.02248E-3	2.2584856E-9	-152.58789E+0	176.43432E-3	11.661260E-12	103.34525E+0
-7.0196071E-9	160.80932E-3	2.0246598E-9	-152.58789E+0	179.09393E-3	13.689992E-12	94.536774E+0
-7.1568627E-9	161.56413E-3	1.7879449E-9	-152.58789E+0	174.85200E-3	15.347000E-12	108.99106E+0
-7.2941182E-9	161.00617E-3	1.5408524E-9	-152.58789E+0	175.11901E-3	13.094280E-12	103.08802E+0
-7.4313720E-9	161.11603E-3	1.2960027E-9	-152.58789E+0	174.11397E-3	11.511680E-12	72.872223E+0
-7.5686275E-9	159.99095E-3	1.0624696E-9	-152.58789E+0	172.68778E-3	20.751173E-12	76.167595E+0
-7.7058830E-9	161.84083E-3	874.70464E-12	47.553947E+0	177.60111E-3	10.784120E-12	70.059273E+0
-7.8431368E-9	160.64554E-3	785.24076E-12	140.33728E+0	177.22626E-3	14.218665E-12	97.109383E+0
-7.9803923E-9	160.77016E-3	843.84366E-12	152.58789E+0	172.10388E-3	27.374339E-12	67.851662E+0
-8.1176479E-9	161.01938E-3	969.17996E-12	-113.48453E+0	171.34705E-3	14.722520E-12	96.660378E+0
-8.2549017E-9	161.83014E-3	1.0322925E-9	-134.21550E+0	171.92535E-3	13.920086E-12	116.08878E+0
-8.3921572E-9	161.56718E-3	803.59819E-12	-152.58789E+0	175.42471E-3	10.714821E-12	94.940811E+0
-8.5294110E-9	161.39984E-3	462.40034E-12	-152.58789E+0	176.30158E-3	7.9849729E-12	47.436783E+0
-8.6666665E-9	161.94864E-3	217.31260E-12	34.961891E+0	173.85508E-3	12.771810E-12	14.043118E+0
-8.8039220E-9	160.56265E-3	211.78689E-12	99.929787E+0	175.61595E-3	10.419941E-12	4.9468646E+0
-8.9411758E-9	163.03508E-3	226.69447E-12	-152.58789E+0	182.57955E-3	35.319053E-12	-18.717552E+0
-9.0784313E-9	163.57321E-3	62.919836E-12	-96.393730E+0	202.54008E-3	9.6188031E-12	11.384233E+0
-9.2156869E-9	164.25933E-3	102.83215E-12	-152.58789E+0	201.06964E-3	5.8288565E-12	-28.018059E+0
-9.3529406E-9	164.36717E-3	135.80323E-12	-152.58789E+0	200.97962E-3	5.4881715E-12	-15.635431E+0
-9.4901962E-9	168.28714E-3	62.633926E-12	-152.58789E+0	205.19918E-3	5.9410875E-12	-57.190353E+0
-9.6274517E-9	168.61114E-3	63.377373E-12	-152.58789E+0	199.86318E-3	5.2266902E-12	-54.775299E+0
-9.7647055E-9	167.50184E-3	70.946131E-12	-152.58789E+0	193.88987E-3	6.1319144E-12	-47.679836E+0
-9.9019610E-9	168.20170E-3	58.550657E-12	-152.58789E+0	198.26406E-3	5.6888188E-12	-57.838833E+0
-10.039217E-9	168.53282E-3	52.216922E-12	-135.28584E+0	197.45280E-3	4.9481344E-12	-41.627686E+0
-10.176470E-9	168.70524E-3	43.728823E-12	-60.723217E+0	198.22490E-3	5.8159016E-12	-76.139023E+0
-10.313726E-9	167.37823E-3	16.172801E-12	-13.286795E+0	195.67159E-3	9.6838449E-12	-23.056339E+0
-10.450980E-9	168.76730E-3	27.330639E-12	53.873451E+0	192.58931E-3	4.7945372E-12	-80.003067E+0
-10.588235E-9	168.73780E-3	46.422269E-12	-56.538952E+0	187.93589E-3	6.9037176E-12	-47.654690E+0
-10.725491E-9	168.25561E-3	19.445449E-12	-20.935747E+0	193.75764E-3	8.8914180E-12	-58.138767E+0
-10.862744E-9	167.35789E-3	10.487717E-12	-284.91846E-3	206.84306E-3	5.9957317E-12	-95.480515E+0
-11.000000E-9	170.66701E-3	6.4762449E-12	-18.220688E+0	200.89823E-3	4.0719750E-12	-82.685982E+0
-11.137256E-9	173.21371E-3	5.3630737E-12	-57.838737E+0	198.24575E-3	5.7927925E-12	-55.438766E+0
-11.274509E-9	170.07904E-3	7.6453826E-12	-69.992325E+0	206.72047E-3	5.5885205E-12	-25.692350E+0
-11.411765E-9	154.31264E-3	8.4633090E-12	-30.161663E+0	226.14796E-3	6.0915075E-12	-80.203987E+0
-11.549020E-9	152.08384E-3	4.9896567E-12	-33.053047E+0	237.46338E-3	8.8927138E-12	-50.092171E+0
-11.686274E-9	146.35366E-3	5.6570152E-12	-59.429985E+0	244.96002E-3	5.6649403E-12	-76.892433E+0
-11.823530E-9	109.71375E-3	8.0678736E-12	-50.033714E+0	237.09716E-3	2.9381458E-12	-76.881203E+0
-11.960783E-9	61.785378E-3	6.9808178E-12	-57.444073E+0	233.27841E-3	8.3918697E-12	-64.436722E+0
-12.098039E-9	8.3755488E-3	6.8198754E-12	-48.558086E+0	242.43927E-3	6.1334991E-12	-89.383568E+0
-12.235295E-9	-10.406495E-3	4.0420080E-12	-40.845711E+0	251.28582E-3	5.6167484E-12	-81.044411E+0
-12.372548E-9	22.897847E-3	6.7304539E-12	-42.148949E+0	267.96415E-3	9.7884817E-12	-79.870964E+0
-12.509804E-9	26.690166E-3	6.0265582E-12	-32.098328E+0	275.08393E-3	7.6601728E-12	-65.553970E+0
-12.647059E-9	-24.458820E-3	7.9723337E-12	-47.477081E+0	293.45754E-3	5.0967659E-12	-78.714096E+0
-12.784313E-9	-47.222391E-3	6.2839430E-12	-42.665421E+0	293.28257E-3	7.9319953E-12	-91.994476E+0
-12.921569E-9	-15.631104E-3	6.0791563E-12	-71.363525E+0	300.73649E-3	7.2147193E-12	-82.294373E+0
-13.058824E-9	6.1614998E-3	6.7608814E-12	-57.659660E+0	360.05351E-3	7.2843467E-12	-73.534843E+0
-13.196078E-9	-19.679261E-3	3.6188847E-12	-62.162613E+0	519.56230E-3	5.9529170E-12	-82.466339E+0
-13.333334E-9	-29.079691E-3	5.9684584E-12	-68.823349E+0	484.59882E-3	5.8948050E-12	-86.848442E+0
-13.470589E-9	-26.069133E-3	5.1870622E-12	-56.032497E+0	504.41587E-3	4.2690894E-12	-78.185997E+0
-13.607843E-9	-27.460225E-3	8.4142849E-12	-63.921497E+0	516.52730E-3	5.9911442E-12	-92.581512E+0
-13.745098E-9	-53.384401E-3	6.1964665E-12	-75.435303E+0	450.02443E-3	4.8549424E-12	-82.046211E+0
-13.882352E-9	-61.123148E-3	8.7937409E-12	-59.963306E+0	400.88910E-3	3.8902761E-12	-57.901951E+0
-14.019608E-9	-73.751323E-3	2.7581704E-12	-56.328106E+0	423.18013E-3	7.2477298E-12	-90.058746E+0
-14.156863E-9	-119.84405E-3	4.1134366E-12	-56.762901E+0	431.57655E-3	4.6837803E-12	-68.173393E+0
-14.294117E-9	-195.08208E-3	7.8279380E-12	-71.602448E+0	386.17098E-3	8.6862201E-12	-105.37121E+0
-14.431373E-9	-244.96408E-3	6.5238778E-12	-77.320908E+0	360.01384E-3	5.7099460E-12	-49.318962E+0
-14.568628E-9	-309.21224E-3	7.6941760E-12	-55.467197E+0	352.27814E-3	6.5218772E-12	-94.019447E+0
-14.705882E-9	-345.42745E-3	4.8749893E-12	-61.490360E+0	336.43290E-3	6.8025429E-12	-85.128693E+0
-14.843137E-9	-336.63839E-3	4.8462358E-12	-48.701717E+0	304.40521E-3	6.2070397E-12	-87.160347E+0
-14.980394E-9	-346.18783E-3	6.4474693E-12	-63.486546E+0	253.52937E-3	4.4694474E-12	-92.227226E+0
-15.117646E-9	-394.95188E-3	4.5224445E-12	-56.783375E+0	181.95902E-3	5.5648602E-12	-73.280334E+0
-15.254901E-9	-418.23629E-3	7.0643756E-12	-69.069435E+0	153.76079E-3	5.7691772E-12	-93.196846E+0
-15.392157E-9	-421.74834E-3	9.0615692E-12	-63.078854E+0	183.58155E-3	6.8879004E-12	-53.944027E+0
-15.529412E-9	-456.48041E-3	6.1907788E-12	-46.453526E+0	174.48069E-3	4.7726458E-12	-91.083450E+0
-15.666668E-9	-475.18718E-3	5.0568985E-12	-58.867405E+0	60.372923E-3	5.3012005E-12	-77.334404E+0
-15.803920E-9	-452.83866E-3	4.9671977E-12	-62.683403E+0	-38.597614E-3	5.5164714E-12	-84.111038E+0
-15.941175E-9	-464.81425E-3	5.3831830E-12	-46.978607E+0	-18.655395E-3	7.2726534E-12	-87.202095E+0
-16.078431E-9	-539.82598E-3	6.7502809E-12	-42.041992E+0	-15.179952E-3	5.3931594E-12	-56.042675E+0
-16.215687E-9	-565.16874E-3	5.0341146E-12	-50.967213E+0	-100.84788E-3	6.7670630E-12	-106.30260E+0
-16.352942E-9	-555.49878E-3	6.7149836E-12	-63.478664E+0	-174.07684E-3	8.0386964E-12	-87.856262E+0
-16.490198E-9	-587.00103E-3	5.8428102E-12	-56.750397E+0	-176.74306E-3	5.3796021E-12	-81.952568E+0
-16.627450E-9	-653.45258E-3	6.3891431E-12	-68.810760E+0	-168.16865E-3	5.9582057E-12	-92.535164E+0
-16.764705E-9	-701.38651E-3	5.9384823E-12	-60.929596E+0	-191.04360E-3	7.4152472E-12	-97.519081E+0
-16.901961E-9	-754.69768E-3	5.6823925E-12	-63.636826E+0	-236.91559E-3	4.6540007E-12	-63.328037E+0
-17.039216E-9	-790.87830E-3	8.6017894E-12	-41.239548E+0	-310.74828E-3	4.7116499E-12	-68.230087E+0
-17.176472E-9	-797.64712E-3	5.4761894E-12	-58.428173E+0	-332.42798E-3	9.4837731E-12	-80.544846E+0
-17.313724E-9	-842.11630E-3	3.0703825E-12	-54.218624E+0	-282.39390E-3	6.6881049E-12	-76.148064E+0
-17.450979E-9	-900.09665E-3	6.1221358E-12	-46.847832E+0	-305.29329E-3	9.5703463E-12	-79.016365E+0
-17.588235E-9	-896.75903E-3	8.7417946E-12	-55.714020E+0	-420.08209E-3	6.8952916E-12	-79.837402E+0
-17.725490E-9	-881.29628E-3	6.5441914E-12	-80.551323E+0	-444.22811E-3	9.5716924E-12	-80.061157E+0
-17.862746E-9	-951.99943E-3	8.4563918E-12	-66.157799E+0	-367.62595E-3	4.9437468E-12	-78.120758E+0
-18.000001E-9	-1.0539546E+0	5.3802505E-12	-70.656235E+0	-380.26938E-3	5.8449118E-12	-68.365677E+0
-18.137253E-9	-1.0580734E+0	6.7279927E-12	-42.590042E+0	-476.22019E-3	5.8519001E-12	-78.824577E+0
-18.274509E-9	-995.56988E-3	3.4103894E-12	-78.153900E+0	-511.77573E-3	8.5825774E-12	-95.890160E+0
-18.411765E-9	-985.16184E-3	4.7655252E-12	-87.842087E+0	-515.59502E-3	6.1114555E-12	-101.47320E+0
-18.549020E-9	-1.0505362E+0	6.4153969E-12	-77.821533E+0	-568.66658E-3	3.7802469E-12	-69.161270E+0
-18.686276E-9	-1.0848312E+0	5.6090865E-12	-60.555527E+0	-615.53597E-3	5.0830238E-12	-60.313686E+0
-18.823531E-9	-1.0777166E+0	5.1786418E-12	-85.031021E+0	-625.02342E-3	6.7803263E-12	-73.378799E+0
-18.960783E-9	-1.0727834E+0	3.9309463E-12	-72.511757E+0	-672.65320E-3	5.6280731E-12	-91.374016E+0
-19.098039E-9	-1.0975479E+0	5.2331069E-12	-84.081734E+0	-726.46791E-3	8.2588797E-12	-62.205189E+0
-19.235294E-9	-1.1551229E+0	5.2407926E-12	-91.223167E+0	-746.63800E-3	4.5394938E-12	-79.315247E+0
-19.372550E-9	-1.1972661E+0	6.5874563E-12	-65.802048E+0	-806.02372E-3	7.5724644E-12	-109.33324E+0
-19.509805E-9	-1.1918803E+0	5.7628416E-12	-65.146805E+0	-883.87042E-3	7.0105879E-12	-91.577026E+0
-19.647057E-9	-1.1970444E+0	4.6971038E-12	-90.337952E+0	-911.12876E-3	4.6236253E-12	-81.935501E+0
-19.784313E-9	-1.2991099E+0	4.6657348E-12	-63.355377E+0	-913.00356E-3	5.6817099E-12	-92.924149E+0
-19.921568E-9	-1.3990885E+0	6.5852428E-12	-73.349953E+0	-958.27788E-3	9.9435729E-12	-83.942856E+0
-20.058824E-9	-1.3790293E+0	6.0310611E-12	-82.481026E+0	-1.0188603E+0	6.3912820E-12	-96.208694E+0
-20.196076E-9	-1.3407527E+0	4.4313936E-12	-85.107491E+0	-1.0489740E+0	8.5539510E-12	-74.169159E+0
