Experiment	Z spectroscopy	
Saved Date	05.02.2020 13:47:14	
User		
X (m)	1.12911E-6	
Y (m)	1.00575E-6	
Z (m)	-269.237E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	35E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	05.02.2020 13:46:48	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
9.9999999E-9	157.03480E-3	4.9101323E-9	-35.915916E+0	158.93148E-3	79.226126E-12	130.23917E+0
9.8627453E-9	156.85679E-3	4.9278563E-9	-33.642815E+0	159.94516E-3	72.727671E-12	152.58789E+0
9.7254897E-9	156.91376E-3	4.9352402E-9	-32.565506E+0	159.78494E-3	188.94290E-12	152.58789E+0
9.5882351E-9	156.57857E-3	4.9478817E-9	-26.026943E+0	158.88824E-3	195.57234E-12	152.58789E+0
9.4509804E-9	156.46057E-3	4.9553419E-9	-34.001934E+0	159.74630E-3	86.443373E-12	-36.821781E+0
9.3137258E-9	156.24949E-3	4.9755364E-9	-40.029808E+0	159.89736E-3	213.66316E-12	152.58789E+0
9.1764703E-9	156.04198E-3	4.9874642E-9	-34.577930E+0	159.39026E-3	235.66799E-12	152.58789E+0
9.0392156E-9	156.75811E-3	4.9954028E-9	-22.444996E+0	158.84145E-3	112.10736E-12	-42.849697E+0
8.9019609E-9	156.37156E-3	5.0075681E-9	-43.928932E+0	159.93449E-3	219.76147E-12	152.58789E+0
8.7647063E-9	157.65940E-3	5.0092188E-9	-38.125420E+0	158.74735E-3	301.90669E-12	152.58789E+0
8.6274508E-9	156.32935E-3	5.0233329E-9	-26.934870E+0	158.48286E-3	234.29825E-12	152.58789E+0
8.4901961E-9	157.12738E-3	5.0307589E-9	-44.476406E+0	159.45943E-3	98.113316E-12	-42.375145E+0
8.3529414E-9	156.43056E-3	5.0363362E-9	-39.703358E+0	161.90134E-3	202.01603E-12	152.58789E+0
8.2156859E-9	156.46160E-3	5.0355746E-9	-44.494743E+0	159.38823E-3	264.58499E-12	152.58789E+0
8.0784313E-9	159.03778E-3	5.0395825E-9	-37.130470E+0	159.90041E-3	232.08943E-12	152.58789E+0
7.9411766E-9	157.02820E-3	5.0442881E-9	-34.618610E+0	160.16287E-3	115.92330E-12	-61.479290E+0
7.8039211E-9	157.22656E-3	5.0532876E-9	-49.474194E+0	159.82819E-3	181.19677E-12	151.56824E+0
7.6666664E-9	157.25961E-3	5.0624638E-9	-34.635998E+0	159.09119E-3	344.06639E-12	152.58789E+0
7.5294118E-9	158.09429E-3	5.0580300E-9	-32.635639E+0	160.18167E-3	475.57880E-12	152.58789E+0
7.3921571E-9	156.49414E-3	5.0724420E-9	-46.006847E+0	159.88719E-3	555.23675E-12	152.58789E+0
7.2549020E-9	156.04961E-3	5.0783102E-9	-43.233765E+0	159.21071E-3	549.81353E-12	152.58789E+0
7.1176469E-9	157.32931E-3	5.0809885E-9	-23.810547E+0	159.09933E-3	470.86535E-12	152.58789E+0
6.9803923E-9	156.87460E-3	5.0840909E-9	-48.432499E+0	159.68323E-3	335.61437E-12	16.117126E+0
6.8431372E-9	157.57701E-3	5.0835083E-9	-41.395409E+0	159.62830E-3	223.24460E-12	-99.616737E+0
6.7058821E-9	157.23164E-3	5.0786739E-9	-38.905575E+0	160.08961E-3	323.11157E-12	30.190081E+0
