Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:36:24	
User		
Date		
X (m)	5.00662E-6	
Y (m)	-1.38228E-6	
Z (m)	-71.9364E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:35:50	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	18.260595E-9	-91.879524E+0	18.339509E-9	-98.749931E+0
-992.15686E-3	18.254278E-9	-91.436844E+0	18.381723E-9	-95.189865E+0
-984.31373E-3	18.251800E-9	-89.044167E+0	18.409727E-9	-96.596733E+0
-976.47059E-3	18.249645E-9	-88.620377E+0	18.446952E-9	-96.563187E+0
-968.62745E-3	18.254037E-9	-87.159805E+0	18.482378E-9	-95.190094E+0
-960.78432E-3	18.264265E-9	-86.585289E+0	18.518561E-9	-94.823494E+0
-952.94118E-3	18.270535E-9	-84.929893E+0	18.552452E-9	-93.797668E+0
-945.09804E-3	18.277758E-9	-86.975212E+0	18.591837E-9	-94.669548E+0
-937.25491E-3	18.278490E-9	-87.627220E+0	18.633813E-9	-93.605576E+0
-929.41177E-3	18.276591E-9	-86.912781E+0	18.668327E-9	-91.688187E+0
-921.56863E-3	18.270851E-9	-87.647858E+0	18.698442E-9	-91.744812E+0
-913.72550E-3	18.270674E-9	-85.874146E+0	18.726562E-9	-86.580399E+0
-905.88236E-3	18.273797E-9	-84.351662E+0	18.734456E-9	-85.556252E+0
-898.03922E-3	18.271720E-9	-82.946136E+0	18.750841E-9	-85.814964E+0
-890.19608E-3	18.277845E-9	-83.109322E+0	18.769134E-9	-86.754730E+0
-882.35295E-3	18.283655E-9	-83.328781E+0	18.786457E-9	-87.337463E+0
-874.50981E-3	18.285855E-9	-83.167244E+0	18.815996E-9	-88.321655E+0
-866.66667E-3	18.293852E-9	-82.321678E+0	18.849498E-9	-86.862717E+0
-858.82354E-3	18.293095E-9	-82.733513E+0	18.882792E-9	-88.728775E+0
-850.98040E-3	18.298586E-9	-81.795532E+0	18.913834E-9	-86.700478E+0
-843.13726E-3	18.298854E-9	-81.219604E+0	18.948645E-9	-88.669930E+0
-835.29413E-3	18.303089E-9	-80.560692E+0	18.985183E-9	-84.353325E+0
-827.45099E-3	18.308892E-9	-79.444298E+0	19.012713E-9	-83.038223E+0
-819.60785E-3	18.314799E-9	-79.538048E+0	19.036239E-9	-86.460670E+0
-811.76472E-3	18.318930E-9	-79.974419E+0	19.078138E-9	-85.101532E+0
-803.92158E-3	18.321122E-9	-79.012505E+0	19.104721E-9	-82.610130E+0
-796.07844E-3	18.332196E-9	-75.611267E+0	19.122442E-9	-80.073410E+0
-788.23531E-3	18.347627E-9	-75.719429E+0	19.142437E-9	-81.437424E+0
-780.39217E-3	18.364293E-9	-74.232101E+0	19.169514E-9	-79.892639E+0
-772.54903E-3	18.374751E-9	-74.559547E+0	19.188212E-9	-78.870369E+0
-764.70590E-3	18.392230E-9	-73.778572E+0	19.203531E-9	-80.392609E+0
-756.86276E-3	18.412283E-9	-73.633873E+0	19.234955E-9	-78.540939E+0
-749.01962E-3	18.428542E-9	-73.809250E+0	19.255742E-9	-79.136017E+0
-741.17649E-3	18.435774E-9	-74.102943E+0	19.277062E-9	-77.764389E+0
-733.33335E-3	18.439204E-9	-74.615135E+0	19.294552E-9	-76.418213E+0
-725.49021E-3	18.450379E-9	-72.131905E+0	19.307226E-9	-74.055809E+0
