Experiment	bias spectroscopy	
Saved Date	07.11.2019 11:22:43	
User		
Date		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-97.8664E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 11:22:18	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	98.363635E-9	-56.129826E+0	98.835436E-9	-56.006950E+0
-992.15686E-3	98.351208E-9	-56.700848E+0	98.861811E-9	-56.248611E+0
-984.31373E-3	98.348551E-9	-55.291229E+0	98.886240E-9	-57.167732E+0
-976.47059E-3	98.345275E-9	-55.480934E+0	98.913354E-9	-56.220547E+0
-968.62745E-3	98.343016E-9	-55.509113E+0	98.932574E-9	-54.839935E+0
-960.78432E-3	98.338006E-9	-55.058739E+0	98.939772E-9	-55.110336E+0
-952.94118E-3	98.351322E-9	-53.836697E+0	98.955709E-9	-55.557175E+0
-945.09804E-3	98.365710E-9	-53.985371E+0	98.984465E-9	-54.764130E+0
-937.25491E-3	98.378145E-9	-53.807812E+0	99.000552E-9	-53.441486E+0
-929.41177E-3	98.386913E-9	-53.638195E+0	99.000793E-9	-54.172737E+0
-921.56863E-3	98.396434E-9	-52.873295E+0	99.016304E-9	-53.507820E+0
-913.72550E-3	98.425929E-9	-53.088493E+0	99.024817E-9	-53.019650E+0
-905.88236E-3	98.446975E-9	-52.263599E+0	99.034423E-9	-53.059406E+0
-898.03922E-3	98.474750E-9	-51.766937E+0	99.032448E-9	-52.995670E+0
-890.19608E-3	98.497125E-9	-52.158958E+0	99.035425E-9	-52.451447E+0
-882.35295E-3	98.526399E-9	-51.886086E+0	99.056720E-9	-52.906464E+0
-874.50981E-3	98.558345E-9	-51.055931E+0	99.086350E-9	-53.023022E+0
-866.66667E-3	98.582454E-9	-51.151432E+0	99.091274E-9	-51.410595E+0
-858.82354E-3	98.596537E-9	-51.820801E+0	99.089846E-9	-50.850262E+0
-850.98040E-3	98.613306E-9	-51.201546E+0	99.094841E-9	-51.683662E+0
-843.13726E-3	98.627801E-9	-50.327126E+0	99.119440E-9	-52.179638E+0
-835.29413E-3	98.640513E-9	-51.072556E+0	99.131555E-9	-51.072021E+0
-827.45099E-3	98.657928E-9	-50.902634E+0	99.128421E-9	-50.219303E+0
-819.60785E-3	98.676253E-9	-49.596230E+0	99.147400E-9	-51.465160E+0
-811.76472E-3	98.697512E-9	-49.151962E+0	99.169206E-9	-50.880135E+0
-803.92158E-3	98.721159E-9	-49.714756E+0	99.169391E-9	-49.823399E+0
-796.07844E-3	98.744579E-9	-49.259853E+0	99.183787E-9	-50.288055E+0
-788.23531E-3	98.763380E-9	-48.437649E+0	99.191581E-9	-50.209656E+0
-780.39217E-3	98.783872E-9	-49.198650E+0	99.223698E-9	-50.091904E+0
