Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:38:07	
User		
Date		
X (m)	5.00662E-6	
Y (m)	-1.38228E-6	
Z (m)	-79.2844E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:37:34	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-498.03919E-3	8.7041698E-9	-65.891945E+0	9.2864010E-9	-59.362553E+0
-490.19605E-3	8.7108756E-9	-65.071426E+0	9.2931476E-9	-57.292927E+0
-482.35291E-3	8.7203471E-9	-61.240372E+0	9.3000301E-9	-55.252502E+0
-474.50978E-3	8.7247747E-9	-63.622326E+0	9.2978096E-9	-56.552364E+0
-466.66664E-3	8.7272456E-9	-61.224125E+0	9.2989332E-9	-59.545815E+0
-458.82350E-3	8.7386764E-9	-63.860203E+0	9.3069286E-9	-57.477108E+0
-450.98037E-3	8.7463210E-9	-61.963898E+0	9.3063717E-9	-54.377621E+0
-443.13723E-3	8.7498240E-9	-60.630123E+0	9.3100763E-9	-56.295719E+0
-435.29409E-3	8.7580920E-9	-59.529789E+0	9.3134043E-9	-52.847057E+0
-427.45095E-3	8.7613561E-9	-64.044601E+0	9.3115258E-9	-56.284943E+0
-419.60782E-3	8.7696854E-9	-62.840809E+0	9.3086445E-9	-63.360085E+0
-411.76468E-3	8.7829894E-9	-60.978699E+0	9.3112336E-9	-54.548813E+0
-403.92154E-3	8.7887893E-9	-60.386204E+0	9.3118073E-9	-50.084496E+0
-396.07841E-3	8.7919894E-9	-59.429199E+0	9.3105275E-9	-48.372311E+0
-388.23527E-3	8.7993914E-9	-60.954754E+0	9.3138031E-9	-46.026291E+0
-380.39213E-3	8.8031893E-9	-59.151463E+0	9.3133234E-9	-54.742790E+0
-372.54900E-3	8.8130347E-9	-60.275211E+0	9.3163726E-9	-45.570736E+0
-364.70586E-3	8.8127328E-9	-61.870697E+0	9.3246690E-9	-50.495037E+0
-356.86272E-3	8.8241023E-9	-60.314465E+0	9.3267447E-9	-46.315857E+0
-349.01959E-3	8.8292742E-9	-60.125156E+0	9.3301313E-9	-54.522247E+0
-341.17645E-3	8.8373797E-9	-59.431461E+0	9.3370547E-9	-48.178936E+0
-333.33331E-3	8.8405017E-9	-61.445648E+0	9.3347579E-9	-48.394821E+0
-325.49018E-3	8.8490015E-9	-60.126732E+0	9.3388222E-9	-51.192802E+0
-317.64704E-3	8.8535863E-9	-56.680962E+0	9.3426031E-9	-48.510983E+0
-309.80390E-3	8.8611527E-9	-58.223606E+0	9.3405648E-9	-46.933777E+0
-301.96077E-3	8.8719716E-9	-58.437065E+0	9.3400514E-9	-49.988041E+0
-294.11763E-3	8.8802485E-9	-57.379162E+0	9.3440278E-9	-43.734348E+0
-286.27449E-3	8.8851779E-9	-54.513020E+0	9.3436876E-9	-48.830105E+0
-278.43136E-3	8.8983496E-9	-55.745747E+0	9.3449533E-9	-47.227795E+0
-270.58822E-3	8.9027656E-9	-57.677959E+0	9.3427497E-9	-46.069927E+0
-262.74508E-3	8.9136254E-9	-59.471085E+0	9.3425605E-9	-49.041641E+0
-254.90195E-3	8.9176755E-9	-59.053291E+0	9.3417416E-9	-49.292675E+0
-247.05875E-3	8.9216092E-9	-57.670979E+0	9.3488168E-9	-49.700588E+0
-239.21561E-3	8.9267749E-9	-58.840290E+0	9.3481995E-9	-48.714947E+0
-231.37248E-3	8.9326750E-9	-53.236233E+0	9.3523624E-9	-49.183105E+0
-223.52934E-3	8.9353218E-9	-56.452778E+0	9.3534238E-9	-47.444519E+0
-215.68620E-3	8.9396277E-9	-54.115459E+0	9.3586703E-9	-47.348629E+0
-207.84307E-3	8.9467997E-9	-56.777668E+0	9.3632844E-9	-49.964172E+0
-199.99993E-3	8.9491543E-9	-57.552654E+0	9.3649302E-9	-51.965599E+0
-192.15679E-3	8.9530419E-9	-54.161324E+0	9.3730597E-9	-48.249313E+0
-184.31365E-3	8.9575298E-9	-54.520287E+0	9.3744763E-9	-45.741783E+0
-176.47052E-3	8.9611412E-9	-51.809650E+0	9.3772847E-9	-46.760830E+0
-168.62738E-3	8.9678664E-9	-53.605034E+0	9.3737196E-9	-40.248390E+0
-160.78424E-3	8.9766621E-9	-54.318184E+0	9.3752925E-9	-43.666332E+0
-152.94111E-3	8.9840793E-9	-53.711647E+0	9.3759569E-9	-49.005070E+0
-145.09797E-3	8.9876258E-9	-52.198975E+0	9.3799795E-9	-49.800701E+0
-137.25483E-3	8.9929344E-9	-54.532177E+0	9.3787751E-9	-41.412022E+0
-129.41170E-3	8.9999448E-9	-52.636600E+0	9.3755528E-9	-48.961819E+0
-121.56856E-3	9.0080512E-9	-53.303524E+0	9.3757793E-9	-45.861855E+0
-113.72542E-3	9.0120649E-9	-54.208511E+0	9.3746246E-9	-39.740311E+0
-105.88229E-3	9.0181125E-9	-52.852905E+0	9.3814734E-9	-44.089020E+0
-98.039150E-3	9.0250882E-9	-53.447857E+0	9.3790646E-9	-47.058887E+0
-90.196013E-3	9.0266301E-9	-53.747173E+0	9.3845491E-9	-43.241219E+0
-82.352877E-3	9.0365866E-9	-52.992023E+0	9.3876258E-9	-42.404778E+0
-74.509740E-3	9.0421217E-9	-50.862473E+0	9.3852135E-9	-40.614666E+0
-66.666603E-3	9.0464107E-9	-52.677631E+0	9.3934807E-9	-47.908482E+0
-58.823466E-3	9.0514991E-9	-52.021469E+0	9.3908810E-9	-42.797955E+0
-50.980330E-3	9.0553192E-9	-48.010403E+0	9.3941690E-9	-40.357651E+0
-43.137193E-3	9.0592698E-9	-50.709221E+0	9.3976738E-9	-39.766388E+0
-35.294056E-3	9.0615817E-9	-50.584827E+0	9.3955386E-9	-40.392345E+0
-27.450919E-3	9.0666266E-9	-50.459175E+0	9.3988932E-9	-42.368614E+0
-19.607782E-3	9.0731884E-9	-49.800911E+0	9.4027062E-9	-45.226101E+0
-11.764646E-3	9.0733350E-9	-50.831516E+0	9.4070840E-9	-40.682182E+0
-3.9215088E-3	9.0817718E-9	-49.999352E+0	9.4097432E-9	-37.036522E+0
3.9216280E-3	9.0862313E-9	-49.874958E+0	9.4093293E-9	-40.367031E+0
11.764765E-3	9.0897014E-9	-48.009697E+0	9.4155812E-9	-43.065891E+0
19.607902E-3	9.0923544E-9	-49.687057E+0	9.4135597E-9	-44.503063E+0
27.451038E-3	9.0968184E-9	-49.328274E+0	9.4090158E-9	-34.058449E+0
35.294175E-3	9.1010648E-9	-45.880688E+0	9.4125943E-9	-43.821064E+0
43.137312E-3	9.1081676E-9	-46.922306E+0	9.4072448E-9	-45.264481E+0
50.980449E-3	9.1115702E-9	-45.769333E+0	9.4065467E-9	-42.974102E+0
58.823586E-3	9.1112256E-9	-49.314674E+0	9.4125649E-9	-37.039650E+0
66.666722E-3	9.1131991E-9	-51.604893E+0	9.4105959E-9	-42.280338E+0
74.509859E-3	9.1135233E-9	-48.737755E+0	9.4117549E-9	-41.870537E+0
82.352996E-3	9.1197450E-9	-48.123711E+0	9.4169534E-9	-46.147858E+0
90.196133E-3	9.1163708E-9	-47.662212E+0	9.4158548E-9	-44.155777E+0
98.039269E-3	9.1209591E-9	-45.066174E+0	9.4177368E-9	-42.743931E+0
105.88241E-3	9.1258086E-9	-50.674164E+0	9.4250270E-9	-38.638245E+0
113.72554E-3	9.1282271E-9	-46.959621E+0	9.4233519E-9	-41.660023E+0
121.56868E-3	9.1341699E-9	-44.854794E+0	9.4219326E-9	-37.477512E+0
129.41182E-3	9.1354870E-9	-44.423122E+0	9.4226182E-9	-38.132957E+0
137.25495E-3	9.1374339E-9	-46.213005E+0	9.4196162E-9	-41.522739E+0
145.09809E-3	9.1404271E-9	-43.820789E+0	9.4206154E-9	-40.590851E+0
152.94123E-3	9.1447321E-9	-45.595253E+0	9.4210124E-9	-40.347168E+0
160.78436E-3	9.1535473E-9	-47.624218E+0	9.4167563E-9	-40.342205E+0
168.62750E-3	9.1565369E-9	-47.883728E+0	9.4209955E-9	-44.690823E+0
176.47064E-3	9.1602237E-9	-46.578251E+0	9.4191375E-9	-39.871799E+0
184.31377E-3	9.1605585E-9	-41.276348E+0	9.4189723E-9	-41.242973E+0
192.15691E-3	9.1681134E-9	-44.986919E+0	9.4159525E-9	-41.961201E+0
200.00005E-3	9.1724921E-9	-41.995667E+0	9.4159240E-9	-38.423759E+0
207.84318E-3	9.1764090E-9	-44.060833E+0	9.4196562E-9	-42.030483E+0
215.68632E-3	9.1777652E-9	-41.309639E+0	9.4175689E-9	-44.054169E+0
223.52946E-3	9.1792156E-9	-45.916615E+0	9.4166932E-9	-42.412018E+0
231.37259E-3	9.1851833E-9	-46.671764E+0	9.4174260E-9	-39.581917E+0
239.21573E-3	9.1883869E-9	-44.388428E+0	9.4167545E-9	-38.198875E+0
247.05887E-3	9.1930978E-9	-39.668541E+0	9.4164134E-9	-43.799038E+0
254.90201E-3	9.1960421E-9	-45.951324E+0	9.4201660E-9	-42.043118E+0
262.74514E-3	9.1982164E-9	-42.019482E+0	9.4143306E-9	-40.304317E+0
270.58828E-3	9.2005070E-9	-46.665314E+0	9.4175956E-9	-37.584015E+0
278.43142E-3	9.2040979E-9	-43.582695E+0	9.4129033E-9	-35.241821E+0
286.27455E-3	9.2022923E-9	-45.720089E+0	9.4138919E-9	-33.991154E+0
294.11769E-3	9.2030854E-9	-43.590141E+0	9.4063957E-9	-42.100601E+0
301.96083E-3	9.2017132E-9	-39.058311E+0	9.4125561E-9	-38.354568E+0
309.80396E-3	9.2030596E-9	-43.791622E+0	9.4087893E-9	-36.707550E+0
317.64710E-3	9.2067056E-9	-42.633625E+0	9.4090788E-9	-39.232025E+0
325.49024E-3	9.2136814E-9	-40.539539E+0	9.4069428E-9	-42.247253E+0
333.33337E-3	9.2131041E-9	-42.620384E+0	9.4029424E-9	-39.115360E+0
341.17651E-3	9.2162740E-9	-38.232792E+0	9.4028811E-9	-37.919487E+0
349.01965E-3	9.2166745E-9	-42.911793E+0	9.3954817E-9	-39.116520E+0
356.86278E-3	9.2221857E-9	-42.039845E+0	9.3939416E-9	-45.747475E+0
364.70592E-3	9.2243475E-9	-40.539719E+0	9.3920178E-9	-37.425125E+0
372.54906E-3	9.2257304E-9	-39.579746E+0	9.3901953E-9	-40.447708E+0
380.39219E-3	9.2321129E-9	-40.842716E+0	9.3864987E-9	-36.030277E+0
388.23533E-3	9.2344319E-9	-42.504086E+0	9.3929682E-9	-38.915020E+0
396.07847E-3	9.2374357E-9	-41.907204E+0	9.3860546E-9	-40.925663E+0
403.92160E-3	9.2410559E-9	-42.272972E+0	9.3825570E-9	-35.412560E+0
411.76474E-3	9.2355146E-9	-40.999619E+0	9.3843529E-9	-36.521965E+0
