Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:26:56	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-108.776E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:26:48	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
9.9999999E-9	73.823549E-3	34.126773E-3	20.561997E-9	-24.010904E+0	255.77140E-3	-760.57762E-3	1.8148347E-9	-150.40179E+0
9.8823527E-9	74.446611E-3	87.593503E-3	20.605770E-9	-23.807955E+0	265.66517E-3	6.5756240E-3	1.5724704E-9	-130.80934E+0
9.7647055E-9	74.366763E-3	62.250365E-3	20.629722E-9	-19.771078E+0	277.99630E-3	295.16178E-3	1.3127637E-9	-122.05370E+0
9.6470592E-9	74.699402E-3	67.014955E-3	20.679511E-9	-24.591114E+0	283.87046E-3	939.17859E-3	1.0331593E-9	-128.19357E+0
9.5294119E-9	74.515283E-3	36.871374E-3	20.699698E-9	-24.791767E+0	306.40209E-3	4.0647678E+0	581.11377E-12	-122.34328E+0
9.4117647E-9	74.792989E-3	55.636011E-3	20.757007E-9	-19.275593E+0	519.30338E-3	-58.531040E+0	140.51531E-12	-124.69582E+0
9.2941175E-9	74.842833E-3	37.667789E-3	20.760520E-9	-28.059988E+0	3.3718624E+0	22.074104E+0	17.040112E-12	-130.56509E+0
9.1764703E-9	75.190738E-3	12.750667E-3	20.811962E-9	-27.093258E+0	3.3848810E+0	64.462646E+0	22.552068E-12	-88.889526E+0
9.0588230E-9	75.320438E-3	48.055876E-3	20.872381E-9	-23.383377E+0	3.3912532E+0	41.821602E+0	25.819560E-12	-87.523071E+0
8.9411767E-9	76.137796E-3	15.566328E-3	20.885436E-9	-27.416185E+0	3.3809066E+0	-37.553310E+0	22.672447E-12	-96.503204E+0
