Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:04:32	
User		
Date		
X (m)	4.83449E-6	
Y (m)	-1.66286E-6	
Z (m)	-278.163E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:00:32	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	99.331011E-9	-53.534313E+0	105.28036E-9	-63.892998E+0
-992.15686E-3	99.384138E-9	-78.305290E+0	105.29297E-9	-61.658504E+0
-984.31373E-3	99.408922E-9	-52.280125E+0	105.31821E-9	-64.480011E+0
-976.47059E-3	99.464472E-9	-73.171791E+0	105.32924E-9	-61.189331E+0
-968.62745E-3	99.456358E-9	-53.940865E+0	105.33926E-9	-62.737694E+0
-960.78432E-3	99.542007E-9	-63.260956E+0	105.35550E-9	-59.922005E+0
-952.94118E-3	99.495189E-9	-60.848114E+0	105.36267E-9	-63.256157E+0
-945.09804E-3	99.598886E-9	-56.435745E+0	105.38965E-9	-60.058552E+0
-937.25491E-3	99.559479E-9	-66.048958E+0	105.38552E-9	-62.041916E+0
-929.41177E-3	99.667126E-9	-51.040054E+0	105.40929E-9	-60.057560E+0
-921.56863E-3	99.655971E-9	-71.867767E+0	105.41589E-9	-61.093071E+0
-913.72550E-3	99.744689E-9	-49.504841E+0	105.46301E-9	-61.256786E+0
-905.88236E-3	99.763213E-9	-72.676682E+0	105.46734E-9	-60.460236E+0
-898.03922E-3	99.825137E-9	-48.628777E+0	105.50396E-9	-61.876919E+0
-890.19608E-3	99.874441E-9	-70.212585E+0	105.52333E-9	-57.611588E+0
-882.35295E-3	99.897200E-9	-49.915836E+0	105.54981E-9	-61.072037E+0
-874.50981E-3	99.977356E-9	-62.453403E+0	105.56426E-9	-57.844093E+0
-866.66667E-3	99.987837E-9	-52.549404E+0	105.56958E-9	-60.471699E+0
-858.82354E-3	100.08822E-9	-55.114491E+0	105.59494E-9	-56.403137E+0
-850.98040E-3	100.06978E-9	-58.607792E+0	105.60982E-9	-60.079247E+0
-843.13726E-3	100.17560E-9	-50.773472E+0	105.64437E-9	-58.920864E+0
-835.29413E-3	100.17690E-9	-63.758190E+0	105.65966E-9	-58.692619E+0
-827.45099E-3	100.27839E-9	-46.591385E+0	105.69293E-9	-57.344143E+0
-819.60785E-3	100.28267E-9	-67.442307E+0	105.69870E-9	-56.516953E+0
-811.76472E-3	100.35100E-9	-47.333149E+0	105.72092E-9	-58.650127E+0
-803.92158E-3	100.39995E-9	-66.424408E+0	105.73959E-9	-55.662502E+0
-796.07844E-3	100.45076E-9	-45.921280E+0	105.75447E-9	-58.392696E+0
-788.23531E-3	100.51893E-9	-61.809124E+0	105.78551E-9	-55.454159E+0
-780.39217E-3	100.53173E-9	-48.961960E+0	105.80541E-9	-58.583969E+0
-772.54903E-3	100.62966E-9	-54.781231E+0	105.82924E-9	-54.880901E+0
-764.70590E-3	100.62839E-9	-52.196022E+0	105.83782E-9	-57.699638E+0
-756.86276E-3	100.73367E-9	-50.101566E+0	105.87262E-9	-53.560131E+0
-749.01962E-3	100.70524E-9	-57.596405E+0	105.88076E-9	-55.777416E+0
-741.17649E-3	100.81178E-9	-46.576172E+0	105.90703E-9	-55.659512E+0
-733.33335E-3	100.80687E-9	-62.829880E+0	105.90409E-9	-55.715397E+0
-725.49021E-3	100.89281E-9	-44.396282E+0	105.94154E-9	-54.797684E+0
-717.64708E-3	100.91704E-9	-62.704655E+0	105.94603E-9	-52.408592E+0
-709.80394E-3	100.98228E-9	-44.431057E+0	105.96454E-9	-55.773502E+0
-701.96080E-3	101.04496E-9	-59.946049E+0	105.97281E-9	-51.965282E+0
-694.11767E-3	101.08656E-9	-44.287098E+0	105.97007E-9	-54.526970E+0
-686.27453E-3	101.16565E-9	-54.084393E+0	105.99246E-9	-50.873981E+0
-678.43139E-3	101.19263E-9	-47.949345E+0	105.99733E-9	-55.558746E+0
-670.58825E-3	101.28486E-9	-49.868950E+0	106.02886E-9	-52.044247E+0
-662.74512E-3	101.28034E-9	-50.528446E+0	106.03930E-9	-54.386074E+0
-654.90198E-3	101.37740E-9	-45.295223E+0	106.07691E-9	-51.878197E+0
-647.05884E-3	101.37813E-9	-56.695839E+0	106.08279E-9	-51.900978E+0
-639.21571E-3	101.47185E-9	-43.306194E+0	106.10756E-9	-52.097523E+0
-631.37257E-3	101.48817E-9	-58.711617E+0	106.11174E-9	-51.359074E+0
-623.52937E-3	101.54866E-9	-42.351482E+0	106.13576E-9	-52.481457E+0
-615.68624E-3	101.59982E-9	-57.828701E+0	106.14681E-9	-48.980473E+0
-607.84310E-3	101.65166E-9	-42.214577E+0	106.16466E-9	-53.034760E+0
-599.99996E-3	101.71887E-9	-54.077579E+0	106.18340E-9	-49.787285E+0
-592.15683E-3	101.74623E-9	-43.694706E+0	106.19544E-9	-53.247875E+0
-584.31369E-3	101.82822E-9	-48.714500E+0	106.22522E-9	-47.592476E+0
-576.47055E-3	101.85196E-9	-46.136215E+0	106.22162E-9	-51.879448E+0
-568.62742E-3	101.94345E-9	-45.839634E+0	106.25418E-9	-49.321297E+0
-560.78428E-3	101.94879E-9	-50.360031E+0	106.25563E-9	-50.549305E+0
-552.94114E-3	102.03463E-9	-41.323761E+0	106.28083E-9	-48.301090E+0
-545.09801E-3	102.06156E-9	-53.273815E+0	106.27739E-9	-48.572090E+0
-537.25487E-3	102.13873E-9	-41.523956E+0	106.29483E-9	-49.741249E+0
-529.41173E-3	102.17141E-9	-53.760525E+0	106.29142E-9	-47.222584E+0
-521.56860E-3	102.23359E-9	-39.641914E+0	106.31008E-9	-49.662861E+0
-513.72546E-3	102.29664E-9	-52.255981E+0	106.31475E-9	-45.786602E+0
-505.88232E-3	102.33749E-9	-41.227249E+0	106.31182E-9	-49.129417E+0
-498.03919E-3	102.40193E-9	-48.774773E+0	106.32113E-9	-46.105465E+0
-490.19605E-3	102.42280E-9	-42.720551E+0	106.33195E-9	-50.108006E+0
-482.35291E-3	102.50646E-9	-44.863110E+0	106.34867E-9	-45.194000E+0
-474.50978E-3	102.52309E-9	-45.462811E+0	106.34301E-9	-47.906101E+0
-466.66664E-3	102.60307E-9	-41.696026E+0	106.37138E-9	-46.164371E+0
-458.82350E-3	102.61909E-9	-48.610703E+0	106.36701E-9	-47.750019E+0
-450.98037E-3	102.69789E-9	-39.294247E+0	106.38765E-9	-46.291832E+0
-443.13723E-3	102.72940E-9	-49.590126E+0	106.38107E-9	-44.724308E+0
-435.29409E-3	102.79428E-9	-38.940376E+0	106.39685E-9	-48.188610E+0
-427.45095E-3	102.83446E-9	-50.876396E+0	106.40422E-9	-44.982468E+0
-419.60782E-3	102.89649E-9	-38.444839E+0	106.41725E-9	-47.636780E+0
-411.76468E-3	102.95215E-9	-46.463547E+0	106.41438E-9	-43.139164E+0
-403.92154E-3	102.98696E-9	-39.834358E+0	106.42442E-9	-46.837460E+0
-396.07841E-3	103.06053E-9	-44.192345E+0	106.43403E-9	-43.367935E+0
-388.23527E-3	103.08818E-9	-41.179802E+0	106.42577E-9	-46.517948E+0
-380.39213E-3	103.16813E-9	-40.365417E+0	106.43944E-9	-43.561760E+0
-372.54900E-3	103.18069E-9	-44.655804E+0	106.43087E-9	-45.233578E+0
-364.70586E-3	103.25302E-9	-39.067940E+0	106.45941E-9	-43.734241E+0
-356.86272E-3	103.27241E-9	-46.964153E+0	106.44946E-9	-44.324043E+0
-349.01959E-3	103.34158E-9	-37.593792E+0	106.45302E-9	-45.048725E+0
-341.17645E-3	103.36504E-9	-49.131641E+0	106.45420E-9	-42.162632E+0
-333.33331E-3	103.40962E-9	-36.764503E+0	106.46990E-9	-44.706642E+0
-325.49018E-3	103.45870E-9	-47.403568E+0	106.47091E-9	-42.390686E+0
-317.64704E-3	103.50299E-9	-37.608685E+0	106.47099E-9	-46.352425E+0
-309.80390E-3	103.56394E-9	-43.132816E+0	106.48372E-9	-40.822540E+0
-301.96077E-3	103.59054E-9	-37.996300E+0	106.48491E-9	-45.414501E+0
-294.11763E-3	103.66787E-9	-40.529213E+0	106.50958E-9	-42.113689E+0
-286.27449E-3	103.69590E-9	-40.992260E+0	106.51335E-9	-45.269104E+0
-278.43136E-3	103.76549E-9	-37.430717E+0	106.53182E-9	-42.482826E+0
-270.58822E-3	103.78095E-9	-43.007683E+0	106.53369E-9	-42.758419E+0
-262.74508E-3	103.84568E-9	-37.150784E+0	106.55769E-9	-43.256287E+0
-254.90195E-3	103.87070E-9	-46.196434E+0	106.54687E-9	-41.290432E+0
-247.05875E-3	103.92785E-9	-35.604015E+0	106.55518E-9	-43.266014E+0
-239.21561E-3	103.95969E-9	-44.889263E+0	106.56432E-9	-40.059258E+0
-231.37248E-3	104.00784E-9	-35.752506E+0	106.56204E-9	-42.681698E+0
-223.52934E-3	104.05680E-9	-43.136158E+0	106.56248E-9	-39.524338E+0
-215.68620E-3	104.09204E-9	-36.436752E+0	106.55749E-9	-44.504684E+0
-207.84307E-3	104.14601E-9	-40.999355E+0	106.56869E-9	-40.104134E+0
-199.99993E-3	104.15935E-9	-38.171623E+0	106.56839E-9	-42.895153E+0
-192.15679E-3	104.22529E-9	-37.752861E+0	106.59360E-9	-39.958752E+0
-184.31365E-3	104.23789E-9	-41.576450E+0	106.58458E-9	-42.807297E+0
