Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:43:01	
User		
Date		
X (m)	5.00662E-6	
Y (m)	-1.38228E-6	
Z (m)	-91.7526E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:42:37	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	18.181696E-9	-92.434456E+0	18.803899E-9	-90.792809E+0
-992.15686E-3	18.157730E-9	-90.588844E+0	18.831503E-9	-91.072525E+0
-984.31373E-3	18.148899E-9	-89.595894E+0	18.854738E-9	-89.692795E+0
-976.47059E-3	18.129899E-9	-91.503799E+0	18.874744E-9	-89.649071E+0
-968.62745E-3	18.114276E-9	-90.726852E+0	18.898364E-9	-89.156036E+0
-960.78432E-3	18.103593E-9	-88.881058E+0	18.920311E-9	-88.002853E+0
-952.94118E-3	18.097076E-9	-88.453743E+0	18.938534E-9	-88.251671E+0
-945.09804E-3	18.083037E-9	-86.764397E+0	18.960503E-9	-87.644325E+0
-937.25491E-3	18.071209E-9	-87.413162E+0	18.985647E-9	-88.035187E+0
-929.41177E-3	18.065528E-9	-86.762047E+0	19.011910E-9	-89.488518E+0
-921.56863E-3	18.054100E-9	-85.533455E+0	19.048827E-9	-87.757950E+0
-913.72550E-3	18.050690E-9	-84.126244E+0	19.073946E-9	-85.046890E+0
-905.88236E-3	18.052752E-9	-83.573845E+0	19.087372E-9	-85.588837E+0
-898.03922E-3	18.056888E-9	-81.693794E+0	19.112461E-9	-86.631966E+0
-890.19608E-3	18.055001E-9	-81.588463E+0	19.141018E-9	-85.017357E+0
-882.35295E-3	18.055079E-9	-81.804863E+0	19.170587E-9	-84.887909E+0
-874.50981E-3	18.056996E-9	-81.120979E+0	19.192299E-9	-83.002220E+0
-866.66667E-3	18.060323E-9	-80.229164E+0	19.209876E-9	-82.845184E+0
-858.82354E-3	18.071484E-9	-78.916557E+0	19.235197E-9	-82.851051E+0
-850.98040E-3	18.080804E-9	-78.327087E+0	19.260515E-9	-83.171730E+0
-843.13726E-3	18.090034E-9	-77.974190E+0	19.291921E-9	-82.804192E+0
-835.29413E-3	18.096586E-9	-78.289810E+0	19.318678E-9	-80.834160E+0
-827.45099E-3	18.100643E-9	-77.775589E+0	19.342677E-9	-80.625969E+0
-819.60785E-3	18.103185E-9	-78.002731E+0	19.367027E-9	-80.670151E+0
-811.76472E-3	18.105922E-9	-76.990051E+0	19.392790E-9	-79.790047E+0
-803.92158E-3	18.110125E-9	-77.942421E+0	19.416534E-9	-81.164093E+0
-796.07844E-3	18.113040E-9	-77.054482E+0	19.449562E-9	-79.480423E+0
-788.23531E-3	18.114356E-9	-76.086975E+0	19.473424E-9	-78.994049E+0
-780.39217E-3	18.121060E-9	-75.580330E+0	19.504748E-9	-80.396744E+0
-772.54903E-3	18.124080E-9	-72.840744E+0	19.537387E-9	-80.769966E+0
-764.70590E-3	18.137182E-9	-72.497063E+0	19.573399E-9	-79.827995E+0
-756.86276E-3	18.151145E-9	-72.093178E+0	19.605798E-9	-79.206230E+0
-749.01962E-3	18.170464E-9	-70.918823E+0	19.638481E-9	-78.305382E+0
-741.17649E-3	18.186842E-9	-71.249924E+0	19.661478E-9	-77.140724E+0
-733.33335E-3	18.202281E-9	-70.133110E+0	19.691162E-9	-76.135895E+0
-725.49021E-3	18.212599E-9	-71.101860E+0	19.719771E-9	-77.048080E+0
-717.64708E-3	18.220558E-9	-72.467194E+0	19.752081E-9	-75.840576E+0
-709.80394E-3	18.224673E-9	-70.254395E+0	19.778900E-9	-73.970604E+0
-701.96080E-3	18.242055E-9	-69.350235E+0	19.795612E-9	-72.489876E+0
-694.11767E-3	18.257941E-9	-68.881432E+0	19.816225E-9	-72.887291E+0
-686.27453E-3	18.273880E-9	-69.223473E+0	19.839954E-9	-72.743866E+0
-678.43139E-3	18.289150E-9	-67.857788E+0	19.864460E-9	-73.222916E+0
-670.58825E-3	18.300502E-9	-67.019096E+0	19.894463E-9	-73.272514E+0
-662.74512E-3	18.318170E-9	-66.425049E+0	19.925141E-9	-73.858612E+0
-654.90198E-3	18.338547E-9	-66.106697E+0	19.956090E-9	-70.280800E+0
-647.05884E-3	18.354744E-9	-65.848373E+0	19.973697E-9	-72.235313E+0
-639.21571E-3	18.374884E-9	-65.190338E+0	20.000847E-9	-71.832169E+0
-631.37257E-3	18.391894E-9	-66.349297E+0	20.028168E-9	-69.722519E+0
-623.52937E-3	18.412617E-9	-64.245857E+0	20.047151E-9	-68.167435E+0
-615.68624E-3	18.434468E-9	-63.491009E+0	20.054838E-9	-67.711731E+0
-607.84310E-3	18.454147E-9	-64.517113E+0	20.066555E-9	-66.573448E+0
-599.99996E-3	18.472514E-9	-63.666733E+0	20.076033E-9	-67.079849E+0
-592.15683E-3	18.497429E-9	-63.334526E+0	20.098208E-9	-67.719360E+0
-584.31369E-3	18.515605E-9	-63.714962E+0	20.108981E-9	-66.792999E+0
-576.47055E-3	18.532624E-9	-62.217785E+0	20.124563E-9	-66.309769E+0
-568.62742E-3	18.550677E-9	-62.991547E+0	20.140993E-9	-64.246742E+0
-560.78428E-3	18.567935E-9	-62.782249E+0	20.154095E-9	-63.972832E+0
-552.94114E-3	18.589056E-9	-63.072929E+0	20.160694E-9	-63.462688E+0
-545.09801E-3	18.598316E-9	-62.141541E+0	20.167017E-9	-63.880848E+0
-537.25487E-3	18.612985E-9	-60.916412E+0	20.172845E-9	-63.235046E+0
-529.41173E-3	18.630242E-9	-60.708359E+0	20.185144E-9	-63.329903E+0
-521.56860E-3	18.651193E-9	-60.692753E+0	20.199300E-9	-62.477535E+0
-513.72546E-3	18.670331E-9	-60.530773E+0	20.207125E-9	-62.515343E+0
-505.88232E-3	18.687842E-9	-59.065487E+0	20.216127E-9	-62.322678E+0
-498.03919E-3	18.710237E-9	-59.771336E+0	20.232594E-9	-62.696213E+0
-490.19605E-3	18.727581E-9	-58.642860E+0	20.249711E-9	-61.720314E+0
-482.35291E-3	18.746164E-9	-57.883663E+0	20.258977E-9	-62.069359E+0
-474.50978E-3	18.764696E-9	-57.757942E+0	20.269864E-9	-59.948292E+0
-466.66664E-3	18.781536E-9	-58.802380E+0	20.280527E-9	-59.568935E+0
-458.82350E-3	18.794909E-9	-58.760849E+0	20.287565E-9	-60.341557E+0
-450.98037E-3	18.815054E-9	-58.184406E+0	20.297055E-9	-59.730453E+0
-443.13723E-3	18.824997E-9	-57.790291E+0	20.303421E-9	-59.167366E+0
-435.29409E-3	18.840195E-9	-57.875652E+0	20.309914E-9	-59.254639E+0
-427.45095E-3	18.855216E-9	-57.863571E+0	20.318732E-9	-58.695770E+0
-419.60782E-3	18.865970E-9	-57.985195E+0	20.323133E-9	-57.969788E+0
-411.76468E-3	18.877905E-9	-56.834881E+0	20.329855E-9	-57.871075E+0
-403.92154E-3	18.894868E-9	-55.827843E+0	20.333850E-9	-57.120838E+0
-396.07841E-3	18.914898E-9	-56.141556E+0	20.349749E-9	-57.308022E+0
-388.23527E-3	18.929528E-9	-56.462795E+0	20.352298E-9	-56.299515E+0
-380.39213E-3	18.939780E-9	-56.200665E+0	20.363427E-9	-56.932415E+0
-372.54900E-3	18.959668E-9	-54.116421E+0	20.367011E-9	-55.650333E+0
-364.70586E-3	18.977037E-9	-54.688046E+0	20.371616E-9	-54.760601E+0
-356.86272E-3	18.998618E-9	-54.484013E+0	20.375355E-9	-54.423626E+0
-349.01959E-3	19.012532E-9	-54.384579E+0	20.376339E-9	-54.305798E+0
-341.17645E-3	19.024045E-9	-54.051449E+0	20.379407E-9	-54.684063E+0
-333.33331E-3	19.035664E-9	-53.839378E+0	20.379117E-9	-54.225311E+0
-325.49018E-3	19.061140E-9	-53.484241E+0	20.385512E-9	-54.956871E+0
-317.64704E-3	19.071475E-9	-53.732277E+0	20.390754E-9	-54.593258E+0
-309.80390E-3	19.088681E-9	-52.870842E+0	20.395465E-9	-53.962955E+0
-301.96077E-3	19.103716E-9	-52.048573E+0	20.405446E-9	-53.222023E+0
-294.11763E-3	19.124286E-9	-52.804039E+0	20.407922E-9	-53.418102E+0
-286.27449E-3	19.137548E-9	-53.839233E+0	20.414008E-9	-54.377514E+0
-278.43136E-3	19.145103E-9	-54.178997E+0	20.422071E-9	-54.147343E+0
-270.58822E-3	19.151779E-9	-52.669033E+0	20.432633E-9	-52.053772E+0
-262.74508E-3	19.166572E-9	-51.222683E+0	20.436300E-9	-52.194603E+0
-254.90195E-3	19.178016E-9	-52.466610E+0	20.438883E-9	-52.786118E+0
-247.05875E-3	19.187882E-9	-50.956940E+0	20.450909E-9	-50.703926E+0
-239.21561E-3	19.201217E-9	-50.430813E+0	20.455571E-9	-50.982391E+0
-231.37248E-3	19.212973E-9	-50.262794E+0	20.453310E-9	-51.105274E+0
-223.52934E-3	19.223510E-9	-51.753448E+0	20.457195E-9	-51.374378E+0
-215.68620E-3	19.232775E-9	-50.976177E+0	20.467963E-9	-52.237011E+0
-207.84307E-3	19.241892E-9	-49.727005E+0	20.474904E-9	-51.747009E+0
-199.99993E-3	19.262117E-9	-49.257423E+0	20.480192E-9	-51.728554E+0
-192.15679E-3	19.278511E-9	-49.288551E+0	20.489493E-9	-50.327606E+0
-184.31365E-3	19.296872E-9	-48.580978E+0	20.494076E-9	-50.555939E+0
-176.47052E-3	19.309576E-9	-48.188206E+0	20.500822E-9	-50.721199E+0
-168.62738E-3	19.326270E-9	-48.036072E+0	20.509217E-9	-49.569263E+0
-160.78424E-3	19.345675E-9	-47.593243E+0	20.513994E-9	-49.982002E+0
-152.94111E-3	19.365187E-9	-48.061504E+0	20.517065E-9	-49.652000E+0
-145.09797E-3	19.374621E-9	-48.904228E+0	20.522195E-9	-48.940262E+0
-137.25483E-3	19.388887E-9	-48.094357E+0	20.527853E-9	-48.100586E+0
-129.41170E-3	19.402323E-9	-47.954769E+0	20.525631E-9	-47.442940E+0
-121.56856E-3	19.417158E-9	-47.222294E+0	20.525198E-9	-47.546059E+0
-113.72542E-3	19.434122E-9	-47.748478E+0	20.519819E-9	-47.839108E+0
-105.88229E-3	19.447373E-9	-46.635029E+0	20.526633E-9	-47.020267E+0
-98.039150E-3	19.468537E-9	-45.945011E+0	20.522153E-9	-47.818081E+0
-90.196013E-3	19.479842E-9	-46.324047E+0	20.526590E-9	-47.801987E+0
-82.352877E-3	19.498119E-9	-45.892960E+0	20.531855E-9	-47.727039E+0
-74.509740E-3	19.516611E-9	-44.936554E+0	20.536403E-9	-47.382000E+0
-66.666603E-3	19.538438E-9	-44.632710E+0	20.543631E-9	-47.483974E+0
-58.823466E-3	19.555703E-9	-45.162346E+0	20.548073E-9	-46.040565E+0
-50.980330E-3	19.574095E-9	-44.814896E+0	20.550919E-9	-46.419090E+0
-43.137193E-3	19.592708E-9	-44.713947E+0	20.554031E-9	-46.274982E+0
-35.294056E-3	19.611106E-9	-45.063984E+0	20.556499E-9	-44.972805E+0
-27.450919E-3	19.626812E-9	-44.956821E+0	20.550537E-9	-45.904228E+0
-19.607782E-3	19.640746E-9	-43.323780E+0	20.556952E-9	-46.625252E+0
-11.764646E-3	19.656499E-9	-44.416599E+0	20.563418E-9	-45.108425E+0
-3.9215088E-3	19.674674E-9	-44.312286E+0	20.566887E-9	-45.167561E+0
3.9216280E-3	19.688756E-9	-43.877926E+0	20.565176E-9	-45.010956E+0
11.764765E-3	19.709841E-9	-44.403069E+0	20.568059E-9	-45.107914E+0
19.607902E-3	19.724553E-9	-43.430676E+0	20.569336E-9	-45.894283E+0
27.451038E-3	19.738280E-9	-44.618225E+0	20.577847E-9	-44.634697E+0
35.294175E-3	19.750976E-9	-43.430462E+0	20.575989E-9	-45.236885E+0
43.137312E-3	19.766587E-9	-42.286304E+0	20.583560E-9	-44.605743E+0
50.980449E-3	19.780252E-9	-43.365021E+0	20.586459E-9	-44.382370E+0
58.823586E-3	19.796756E-9	-42.517357E+0	20.591340E-9	-44.827248E+0
66.666722E-3	19.811962E-9	-43.216312E+0	20.595865E-9	-44.319695E+0
74.509859E-3	19.820110E-9	-43.535286E+0	20.597840E-9	-43.583069E+0
82.352996E-3	19.833610E-9	-43.618755E+0	20.601185E-9	-43.556515E+0
90.196133E-3	19.844089E-9	-42.518051E+0	20.604096E-9	-43.971611E+0
98.039269E-3	19.857829E-9	-42.269344E+0	20.610315E-9	-44.533066E+0
105.88241E-3	19.866082E-9	-43.611530E+0	20.615682E-9	-42.670715E+0
113.72554E-3	19.880465E-9	-42.187031E+0	20.616815E-9	-42.550323E+0
121.56868E-3	19.893568E-9	-41.462578E+0	20.621131E-9	-43.899822E+0
129.41182E-3	19.907716E-9	-42.704731E+0	20.621385E-9	-44.147190E+0
137.25495E-3	19.918444E-9	-41.320408E+0	20.623164E-9	-42.763622E+0
145.09809E-3	19.935962E-9	-41.517025E+0	20.637103E-9	-44.045155E+0
152.94123E-3	19.949704E-9	-41.100433E+0	20.642911E-9	-43.002296E+0
160.78436E-3	19.963787E-9	-41.803097E+0	20.639845E-9	-42.373791E+0
168.62750E-3	19.969200E-9	-42.467907E+0	20.644684E-9	-42.389420E+0
176.47064E-3	19.987223E-9	-41.249142E+0	20.645995E-9	-42.727123E+0
184.31377E-3	19.990553E-9	-41.059105E+0	20.643673E-9	-41.673595E+0
192.15691E-3	19.997776E-9	-41.538609E+0	20.638732E-9	-41.483433E+0
200.00005E-3	20.005208E-9	-40.723824E+0	20.640528E-9	-42.601006E+0
207.84318E-3	20.018049E-9	-40.773582E+0	20.642691E-9	-42.469040E+0
215.68632E-3	20.027576E-9	-40.719818E+0	20.645698E-9	-42.450886E+0
223.52946E-3	20.035202E-9	-41.158173E+0	20.644519E-9	-41.521214E+0
231.37259E-3	20.041186E-9	-40.669327E+0	20.642750E-9	-40.915745E+0
239.21573E-3	20.052589E-9	-40.819859E+0	20.636408E-9	-40.250710E+0
247.05887E-3	20.057676E-9	-41.711227E+0	20.633509E-9	-40.221474E+0
254.90201E-3	20.060506E-9	-40.789600E+0	20.631147E-9	-40.665344E+0
262.74514E-3	20.065889E-9	-40.244629E+0	20.625686E-9	-41.187901E+0
270.58828E-3	20.068862E-9	-40.736782E+0	20.626068E-9	-41.184032E+0
278.43142E-3	20.080135E-9	-40.341728E+0	20.629473E-9	-41.545952E+0
286.27455E-3	20.087315E-9	-39.946011E+0	20.631507E-9	-42.292084E+0
294.11769E-3	20.098430E-9	-38.961395E+0	20.632624E-9	-41.958641E+0
301.96083E-3	20.109644E-9	-39.858215E+0	20.638716E-9	-41.051643E+0
309.80396E-3	20.118218E-9	-39.754379E+0	20.639124E-9	-41.352432E+0
317.64710E-3	20.128367E-9	-39.200268E+0	20.636154E-9	-41.135597E+0
325.49024E-3	20.141048E-9	-39.425220E+0	20.636996E-9	-41.214554E+0
333.33337E-3	20.151452E-9	-39.537773E+0	20.641162E-9	-41.925613E+0
341.17651E-3	20.163485E-9	-39.111126E+0	20.644960E-9	-42.083279E+0
349.01965E-3	20.176259E-9	-39.255474E+0	20.654060E-9	-42.094742E+0
356.86278E-3	20.186354E-9	-39.218750E+0	20.660451E-9	-41.865849E+0
364.70592E-3	20.195612E-9	-39.186363E+0	20.669763E-9	-42.834042E+0
372.54906E-3	20.209100E-9	-39.241398E+0	20.680684E-9	-41.782093E+0
380.39219E-3	20.219327E-9	-39.826763E+0	20.683505E-9	-40.734802E+0
388.23533E-3	20.227837E-9	-39.798557E+0	20.684974E-9	-40.353924E+0
396.07847E-3	20.237842E-9	-38.687820E+0	20.683839E-9	-40.034428E+0
403.92160E-3	20.247816E-9	-38.352562E+0	20.687875E-9	-40.981567E+0
411.76474E-3	20.259943E-9	-39.519009E+0	20.687816E-9	-40.098309E+0
419.60788E-3	20.272033E-9	-39.814690E+0	20.689244E-9	-40.184868E+0
427.45101E-3	20.277968E-9	-38.705051E+0	20.684697E-9	-40.065151E+0
435.29415E-3	20.289388E-9	-38.431255E+0	20.683910E-9	-40.104530E+0
