Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:22:35	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-98.1261E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:21:39	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
5.6470588E-9	69.450885E-3	24.031237E-3	108.46590E-9	-24.725992E+0	335.74370E-3	597.74965E-3	7.2348652E-9	-139.85316E+0
5.5294116E-9	69.322713E-3	-27.563391E-3	108.54863E-9	-29.314907E+0	345.61616E-3	551.33802E-3	6.8743522E-9	-149.42984E+0
5.4117648E-9	68.648279E-3	34.002073E-3	108.66091E-9	-24.743717E+0	350.05850E-3	617.49971E-3	6.5549703E-9	-150.08759E+0
5.2941176E-9	68.982445E-3	-19.369595E-3	108.71577E-9	-27.016876E+0	356.94733E-3	851.01306E-3	6.1414474E-9	-135.97600E+0
5.1764704E-9	68.372093E-3	13.272485E-3	108.84527E-9	-28.621195E+0	364.25933E-3	1.2153759E+0	5.8210885E-9	-130.40753E+0
5.0588236E-9	68.822227E-3	7.8037134E-3	108.83344E-9	-22.939144E+0	371.80531E-3	1.0806489E+0	5.4100679E-9	-143.87614E+0
4.9411764E-9	69.091797E-3	-5.8118068E-3	108.92102E-9	-28.426498E+0	378.59192E-3	1.4857972E+0	4.8813580E-9	-132.22014E+0
4.8235291E-9	69.868468E-3	4.1634152E-3	108.96625E-9	-28.652979E+0	386.51019E-3	1.8657809E+0	4.2596673E-9	-128.38300E+0
4.7058824E-9	69.316611E-3	5.5112508E-3	109.03057E-9	-26.240141E+0	395.61158E-3	2.6258049E+0	3.1917233E-9	-77.056000E+0
4.5882351E-9	68.766274E-3	-19.940916E-3	109.13246E-9	-29.538252E+0	414.71455E-3	20.406422E+0	1.3045471E-9	-106.46364E+0
4.4705883E-9	69.688417E-3	23.169834E-3	109.14175E-9	-27.286798E+0	3.2531850E+0	-4.3929343E+0	18.673603E-12	-138.67868E+0
4.3529411E-9	69.429524E-3	-20.064088E-3	109.24563E-9	-23.102440E+0	3.2731655E+0	32.042465E+0	26.337122E-12	-141.79622E+0
4.2352939E-9	69.918826E-3	26.780190E-3	109.27611E-9	-28.402439E+0	3.2901042E+0	22.767097E+0	12.535787E-12	-146.60979E+0
4.1176471E-9	70.174657E-3	-32.958895E-3	109.31084E-9	-27.671703E+0	3.2918010E+0	-23.030756E+0	24.813377E-12	-161.73944E+0
3.9999999E-9	70.233658E-3	29.987812E-3	109.34819E-9	-24.892422E+0	3.2758620E+0	44.317516E+0	12.898335E-12	-141.25098E+0
3.8823531E-9	70.753992E-3	-33.132251E-3	109.39211E-9	-30.170000E+0	3.2630987E+0	19.391329E+0	13.714845E-12	-192.94716E+0
3.7647059E-9	69.746912E-3	20.395329E-3	109.47620E-9	-24.515656E+0	3.2674115E+0	-50.451813E+0	29.161534E-12	-196.07181E+0
3.6470587E-9	70.263669E-3	-13.570402E-3	109.46548E-9	-26.229555E+0	3.2583706E+0	-388.49387E-3	25.344326E-12	-162.11165E+0
3.5294119E-9	70.086159E-3	-9.3697282E-3	109.56148E-9	-31.449821E+0	3.2330837E+0	18.151224E+0	30.035748E-12	-224.77023E+0
3.4117646E-9	69.631450E-3	-4.2215385E-3	109.55712E-9	-26.985828E+0	3.2146838E+0	-48.492039E+0	34.479704E-12	-244.44910E+0
3.2941174E-9	70.164993E-3	-4.1369065E-3	109.57238E-9	-28.198246E+0	3.2000275E+0	-39.551411E+0	43.320549E-12	-221.59210E+0
3.1764706E-9	71.250409E-3	-23.265880E-3	109.63363E-9	-29.702154E+0	3.1778259E+0	-60.235737E+0	24.371371E-12	-177.86461E+0
3.0588234E-9	70.527650E-3	19.064637E-3	109.62346E-9	-25.313890E+0	3.1554408E+0	-127.45706E+0	28.919431E-12	-228.40459E+0
2.9411762E-9	70.555627E-3	-41.040007E-3	109.73250E-9	-28.919636E+0	3.1312010E+0	-7.6298566E+0	20.710307E-12	-163.80807E+0
2.8235294E-9	70.950828E-3	19.785658E-3	109.78917E-9	-30.463047E+0	3.1133204E+0	-81.795944E+0	21.130622E-12	-224.43782E+0
2.7058822E-9	70.733137E-3	-35.500482E-3	109.82689E-9	-26.161352E+0	3.0962336E+0	-92.951324E+0	11.717318E-12	-135.16376E+0
2.5882354E-9	70.881650E-3	11.018661E-3	109.86871E-9	-28.520494E+0	3.0762386E+0	-50.520145E+0	25.330483E-12	-184.14923E+0
2.4705882E-9	70.280969E-3	-28.430119E-3	109.84427E-9	-29.998831E+0	3.0491755E+0	-17.035662E+0	16.548461E-12	-159.43658E+0
2.3529410E-9	70.439145E-3	-4.2523383E-3	109.92876E-9	-24.928719E+0	3.0195088E+0	-33.390182E+0	19.374904E-12	-175.09576E+0
2.2352937E-9	70.793152E-3	-18.928893E-3	109.91090E-9	-30.270197E+0	2.9992366E+0	-101.72158E+0	16.792619E-12	-146.63394E+0
2.1176474E-9	70.967101E-3	-16.771365E-3	110.00434E-9	-29.809114E+0	2.9866054E+0	-26.698540E+0	27.855598E-12	-175.07117E+0
2.0000002E-9	69.660440E-3	-8.7568322E-3	110.00647E-9	-27.391333E+0	2.9696305E+0	-2.8154068E+0	19.215369E-12	-169.28192E+0
1.8823529E-9	70.766196E-3	-25.669688E-3	109.99175E-9	-32.072613E+0	2.9414551E+0	5.7013869E+0	21.918353E-12	-134.92618E+0
1.7647057E-9	69.908142E-3	-13.384232E-3	110.03960E-9	-28.650591E+0	2.9143987E+0	-39.813839E+0	12.669323E-12	-127.71301E+0
1.6470585E-9	70.477299E-3	-1.6777621E-3	110.04144E-9	-26.850769E+0	2.8993776E+0	-55.018639E+0	22.659033E-12	-189.92395E+0
1.5294122E-9	69.753520E-3	-40.093690E-3	110.17698E-9	-33.597878E+0	2.8783305E+0	-100.82893E+0	29.386098E-12	-209.84673E+0
1.4117649E-9	71.205139E-3	4.7188192E-3	110.14261E-9	-28.387281E+0	2.8464036E+0	1.2356771E+0	7.7304786E-12	-125.27313E+0
1.2941177E-9	70.743307E-3	-33.345468E-3	110.18540E-9	-29.311491E+0	2.8284540E+0	-18.261017E+0	27.685168E-12	-182.80457E+0
1.1764705E-9	71.123250E-3	-16.534489E-3	110.23577E-9	-30.522188E+0	2.8133769E+0	-75.839027E+0	9.7564222E-12	-167.81630E+0
1.0588233E-9	70.962012E-3	-12.530321E-3	110.25345E-9	-27.791962E+0	2.7829773E+0	-69.812759E+0	15.946671E-12	-188.48976E+0
941.17603E-12	73.292032E-3	-56.907192E-3	110.25216E-9	-30.422363E+0	2.7545564E+0	16.850475E+0	22.057363E-12	-126.84757E+0
823.52969E-12	75.203963E-3	-43.990582E-3	110.08878E-9	-37.366657E+0	2.7439203E+0	-4.9400511E+0	24.145493E-12	-156.40063E+0
705.88246E-12	76.196283E-3	-83.205186E-3	109.83248E-9	-32.705444E+0	2.7208688E+0	9.2940884E+0	28.366715E-12	-149.58286E+0
588.23524E-12	76.096088E-3	-69.297962E-3	109.57707E-9	-37.544312E+0	2.6916804E+0	52.468163E+0	23.416552E-12	-162.60040E+0
470.58801E-12	77.901714E-3	-108.09073E-3	109.14548E-9	-39.511997E+0	2.6742091E+0	-14.918296E+0	29.029569E-12	-175.24736E+0
352.94079E-12	75.834148E-3	-55.198926E-3	108.75514E-9	-34.136612E+0	2.6527660E+0	8.1278877E+0	24.380938E-12	-181.80614E+0
235.29445E-12	77.518210E-3	-106.13711E-3	108.15572E-9	-39.986881E+0	2.6183579E+0	108.40434E+0	13.933578E-12	-85.684746E+0
117.64723E-12	77.611290E-3	-74.207023E-3	107.72209E-9	-41.332745E+0	2.6049109E+0	-52.975605E+0	21.573545E-12	-186.73195E+0
0.0000000E+0	78.675844E-3	-87.865911E-3	107.06027E-9	-37.109119E+0	2.5937119E+0	-39.162930E+0	10.269549E-12	-171.67194E+0
-117.64723E-12	79.682924E-3	-122.82286E-3	106.21680E-9	-44.380302E+0	2.5564096E+0	-102.91022E+0	17.692129E-12	-203.04344E+0
-235.29445E-12	82.043454E-3	-134.25809E-3	105.34865E-9	-44.297203E+0	2.5254848E+0	-105.16847E+0	27.443509E-12	-234.60760E+0
-352.94168E-12	82.763672E-3	-152.34290E-3	104.53785E-9	-47.612568E+0	2.5140426E+0	-15.966538E+0	11.432539E-12	-128.36827E+0
-470.58801E-12	87.187193E-3	-266.85119E-3	103.74347E-9	-58.354515E+0	2.4861126E+0	13.301389E+0	24.374374E-12	-141.82423E+0
-588.23524E-12	90.296432E-3	-285.79092E-3	102.70375E-9	-65.447433E+0	2.4518514E+0	-60.853207E+0	42.535846E-12	-253.23615E+0
-705.88246E-12	92.555746E-3	-371.88783E-3	101.66828E-9	-65.821320E+0	2.4356930E+0	-51.704884E+0	23.400898E-12	-193.44087E+0
-823.52969E-12	94.322205E-3	-400.20171E-3	100.56424E-9	-76.303665E+0	2.4183216E+0	-40.734436E+0	21.200880E-12	-208.42216E+0
-941.17691E-12	97.629800E-3	-530.60704E-3	99.293871E-9	-90.653275E+0	2.3866012E+0	-53.373455E+0	16.240204E-12	-169.23494E+0
-1.0588233E-9	100.59103E-3	-544.56270E-3	97.779335E-9	-91.779457E+0	2.3621984E+0	-55.642422E+0	17.783438E-12	-151.32681E+0
-1.1764705E-9	94.312035E-3	-448.34998E-3	96.228277E-9	-83.766006E+0	2.3509872E+0	28.882698E+0	27.670539E-12	-117.36924E+0
-1.2941177E-9	92.338055E-3	-372.91849E-3	94.960015E-9	-79.228233E+0	2.3215511E+0	-48.264641E+0	33.979191E-12	-196.04414E+0
-1.4117649E-9	91.747537E-3	-301.98890E-3	93.781082E-9	-71.978798E+0	2.2888467E+0	-52.619240E+0	25.447028E-12	-217.94623E+0
-1.5294122E-9	92.351273E-3	-340.47028E-3	92.535991E-9	-75.007462E+0	2.2692938E+0	9.4514246E+0	30.638523E-12	-197.50984E+0
-1.6470585E-9	90.916954E-3	-248.05076E-3	91.092758E-9	-75.168320E+0	2.2441156E+0	-79.701126E+0	24.088856E-12	-225.89757E+0
-1.7647057E-9	93.449913E-3	-299.14236E-3	89.813526E-9	-72.833466E+0	2.2186193E+0	31.539415E+0	10.204097E-12	-158.99966E+0
-1.8823529E-9	98.556012E-3	-375.52422E-3	88.210655E-9	-84.234299E+0	2.2019038E+0	-79.288101E+0	28.665655E-12	-221.35266E+0
-2.0000002E-9	101.42720E-3	-481.34449E-3	86.068333E-9	-97.057350E+0	2.1843755E+0	-35.029633E+0	18.071912E-12	-184.09125E+0
-2.1176474E-9	103.60260E-3	-474.96611E-3	83.754912E-9	-100.19868E+0	2.1520615E+0	-43.190491E+0	28.442236E-12	-180.93852E+0
-2.2352937E-9	101.97652E-3	-422.63383E-3	82.056893E-9	-92.174202E+0	2.1218791E+0	-14.366763E+0	26.266812E-12	-157.59099E+0
-2.3529410E-9	103.12296E-3	-387.01791E-3	80.796539E-9	-92.105499E+0	2.0956790E+0	78.526932E+0	12.918099E-12	-141.78688E+0
-2.4705882E-9	105.71238E-3	-499.71017E-3	79.406632E-9	-107.79224E+0	2.0781362E+0	-47.902172E+0	24.274291E-12	-219.87817E+0
-2.5882354E-9	108.75499E-3	-580.59496E-3	77.824026E-9	-112.95182E+0	2.0613520E+0	-34.537136E+0	19.171883E-12	-196.09700E+0
-2.7058826E-9	109.47317E-3	-603.17665E-3	76.100847E-9	-119.70087E+0	2.0337555E+0	-65.728043E+0	23.564227E-12	-189.37613E+0
-2.8235299E-9	108.93962E-3	-622.14452E-3	74.439718E-9	-123.78379E+0	2.0110815E+0	-12.979494E+0	23.788381E-12	-189.89568E+0
-2.9411762E-9	111.98731E-3	-669.78300E-3	72.653499E-9	-128.96663E+0	1.9966909E+0	-116.29937E+0	14.939697E-12	-193.34366E+0
-3.0588234E-9	113.32296E-3	-751.67263E-3	70.582935E-9	-138.52682E+0	1.9648900E+0	19.529556E+0	22.449344E-12	-165.80667E+0
-3.1764706E-9	110.70862E-3	-617.95259E-3	67.925178E-9	-130.29532E+0	1.9296335E+0	-35.815418E+0	31.929862E-12	-202.06633E+0
-3.2941179E-9	105.21952E-3	-463.09435E-3	65.853030E-9	-118.78686E+0	1.9177150E+0	444.43384E-3	18.356828E-12	-150.00864E+0
-3.4117651E-9	101.27207E-3	-302.39299E-3	64.282638E-9	-97.280678E+0	1.9002243E+0	-70.473503E+0	17.852924E-12	-174.77359E+0
-3.5294114E-9	103.05633E-3	-321.32784E-3	62.730464E-9	-105.44180E+0	1.8677475E+0	-34.612213E+0	16.934145E-12	-161.15984E+0
-3.6470587E-9	103.05024E-3	-315.92941E-3	60.745208E-9	-108.64133E+0	1.8489685E+0	-76.648132E+0	25.254996E-12	-230.75421E+0
-3.7647059E-9	104.51050E-3	-334.34239E-3	59.148409E-9	-107.49641E+0	1.8278351E+0	-40.487221E+0	25.040784E-12	-169.44327E+0
-3.8823531E-9	110.70608E-3	-468.37074E-3	57.281991E-9	-120.99213E+0	1.7984325E+0	-76.332024E+0	33.176087E-12	-230.61513E+0
-4.0000003E-9	119.43919E-3	-783.25498E-3	54.494688E-9	-150.03976E+0	1.7767751E+0	37.462837E+0	22.850780E-12	-118.70798E+0
-4.1176476E-9	122.31089E-3	-1.0718713E+0	51.431616E-9	-181.67192E+0	1.7542399E+0	-92.681900E+0	24.324029E-12	-213.85011E+0
-4.2352939E-9	119.33848E-3	-973.61410E-3	49.544425E-9	-169.58308E+0	1.7123077E+0	-40.485195E+0	21.487626E-12	-199.74283E+0
-4.3529411E-9	116.54001E-3	-832.42697E-3	48.434504E-9	-163.70531E+0	1.6821767E+0	24.599024E+0	11.104548E-12	-150.25053E+0
-4.4705883E-9	118.10506E-3	-919.40534E-3	47.224695E-9	-178.39218E+0	1.6818655E+0	-60.700397E+0	26.960021E-12	-217.22397E+0
-4.5882356E-9	125.28686E-3	-1.3099161E+0	45.180219E-9	-206.03271E+0	1.6737584E+0	-47.160084E+0	22.961463E-12	-177.24730E+0
-4.7058828E-9	121.37451E-3	-1.2057128E+0	42.631232E-9	-196.83156E+0	1.6348491E+0	-35.592770E+0	18.528038E-12	-161.91551E+0
