Experiment	bias spectroscopy	
Saved Date	07.11.2019 11:26:17	
User		
Date		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-103.605E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 11:25:49	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	39.189718E-9	-76.755272E+0	39.499191E-9	-75.398788E+0
-992.15686E-3	39.166178E-9	-75.586647E+0	39.526448E-9	-74.870926E+0
-984.31373E-3	39.152070E-9	-74.024467E+0	39.539639E-9	-75.219307E+0
-976.47059E-3	39.136811E-9	-74.543930E+0	39.548755E-9	-73.131935E+0
-968.62745E-3	39.126657E-9	-74.830879E+0	39.566970E-9	-73.503120E+0
-960.78432E-3	39.116433E-9	-72.219955E+0	39.588826E-9	-74.189713E+0
-952.94118E-3	39.110592E-9	-71.948311E+0	39.603890E-9	-72.948074E+0
-945.09804E-3	39.104027E-9	-72.962265E+0	39.608789E-9	-72.039200E+0
-937.25491E-3	39.098374E-9	-72.160866E+0	39.622549E-9	-71.999191E+0
-929.41177E-3	39.088601E-9	-70.155785E+0	39.642888E-9	-72.345268E+0
-921.56863E-3	39.079655E-9	-71.280251E+0	39.654083E-9	-70.960587E+0
-913.72550E-3	39.078571E-9	-70.196594E+0	39.659319E-9	-70.722359E+0
-905.88236E-3	39.073146E-9	-69.557144E+0	39.674493E-9	-70.759407E+0
-898.03922E-3	39.063849E-9	-69.597343E+0	39.693170E-9	-69.717453E+0
-890.19608E-3	39.061110E-9	-70.155334E+0	39.710670E-9	-69.033989E+0
-882.35295E-3	39.060804E-9	-67.954666E+0	39.718550E-9	-69.248917E+0
-874.50981E-3	39.055880E-9	-68.446487E+0	39.730431E-9	-68.840393E+0
-866.66667E-3	39.045961E-9	-69.766396E+0	39.745309E-9	-67.078026E+0
-858.82354E-3	39.044519E-9	-67.692177E+0	39.759904E-9	-67.275536E+0
-850.98040E-3	39.040764E-9	-66.622185E+0	39.767862E-9	-67.844566E+0
-843.13726E-3	39.041815E-9	-66.811081E+0	39.776360E-9	-66.060265E+0
-835.29413E-3	39.038689E-9	-67.124069E+0	39.795303E-9	-65.174026E+0
-827.45099E-3	39.038536E-9	-65.221748E+0	39.799438E-9	-65.652580E+0
-819.60785E-3	39.044959E-9	-64.887329E+0	39.805879E-9	-65.570511E+0
-811.76472E-3	39.045815E-9	-65.948769E+0	39.812097E-9	-64.550354E+0
-803.92158E-3	39.042838E-9	-65.201912E+0	39.824052E-9	-64.765862E+0
-796.07844E-3	39.042074E-9	-63.570621E+0	39.836227E-9	-65.484116E+0
-788.23531E-3	39.041346E-9	-64.174278E+0	39.842313E-9	-64.185867E+0
-780.39217E-3	39.045538E-9	-64.265884E+0	39.849812E-9	-63.808849E+0
-772.54903E-3	39.046682E-9	-62.186340E+0	39.862055E-9	-64.177910E+0
-764.70590E-3	39.056079E-9	-62.205914E+0	39.875214E-9	-63.797791E+0
-756.86276E-3	39.061213E-9	-62.759621E+0	39.886825E-9	-62.901661E+0
-749.01962E-3	39.062538E-9	-62.279358E+0	39.894029E-9	-62.672073E+0
-741.17649E-3	39.069675E-9	-60.867760E+0	39.902666E-9	-63.019375E+0
-733.33335E-3	39.073353E-9	-61.865501E+0	39.921076E-9	-61.326782E+0
-725.49021E-3	39.081847E-9	-61.556915E+0	39.924757E-9	-60.587250E+0
-717.64708E-3	39.083623E-9	-60.263950E+0	39.926785E-9	-62.100811E+0
-709.80394E-3	39.092470E-9	-59.704571E+0	39.938730E-9	-60.902031E+0
-701.96080E-3	39.096800E-9	-60.373001E+0	39.946947E-9	-59.728203E+0
-694.11767E-3	39.106840E-9	-59.275627E+0	39.952209E-9	-60.064236E+0
-686.27453E-3	39.121776E-9	-57.644119E+0	39.960643E-9	-60.109322E+0
-678.43139E-3	39.126036E-9	-59.143242E+0	39.963492E-9	-59.548035E+0
-670.58825E-3	39.128647E-9	-59.091839E+0	39.976904E-9	-58.971085E+0
-662.74512E-3	39.137078E-9	-57.620487E+0	39.984666E-9	-59.647606E+0
-654.90198E-3	39.145878E-9	-57.820686E+0	39.993328E-9	-59.521931E+0
-647.05884E-3	39.148933E-9	-57.939846E+0	40.006203E-9	-58.821365E+0
-639.21571E-3	39.148944E-9	-57.262302E+0	40.021025E-9	-58.238491E+0
-631.37257E-3	39.161154E-9	-56.274586E+0	40.035651E-9	-57.748856E+0
-623.52937E-3	39.166622E-9	-56.942745E+0	40.042107E-9	-57.276398E+0
-615.68624E-3	39.173234E-9	-57.042820E+0	40.050310E-9	-57.102428E+0
-607.84310E-3	39.176033E-9	-55.830235E+0	40.061320E-9	-57.472450E+0
-599.99996E-3	39.186222E-9	-55.618664E+0	40.075065E-9	-56.320503E+0
-592.15683E-3	39.196166E-9	-55.937565E+0	40.078366E-9	-55.546246E+0
-584.31369E-3	39.205059E-9	-54.962677E+0	40.088118E-9	-55.936241E+0
-576.47055E-3	39.208206E-9	-54.044369E+0	40.095291E-9	-55.734314E+0
-568.62742E-3	39.213912E-9	-54.799438E+0	40.108141E-9	-54.838688E+0
-560.78428E-3	39.226308E-9	-54.444241E+0	40.114472E-9	-54.427387E+0
-552.94114E-3	39.233747E-9	-52.903091E+0	40.118927E-9	-54.866676E+0
-545.09801E-3	39.242849E-9	-53.466785E+0	40.125936E-9	-54.787102E+0
-537.25487E-3	39.248505E-9	-53.865883E+0	40.143355E-9	-53.532089E+0
-529.41173E-3	39.254537E-9	-52.733315E+0	40.149928E-9	-53.801197E+0
-521.56860E-3	39.261742E-9	-51.529884E+0	40.151296E-9	-54.102131E+0
-513.72546E-3	39.272383E-9	-52.230675E+0	40.164764E-9	-53.575672E+0
-505.88232E-3	39.284689E-9	-52.428886E+0	40.179458E-9	-52.840637E+0
-498.03919E-3	39.294502E-9	-50.737629E+0	40.187125E-9	-52.879925E+0
-490.19605E-3	39.307533E-9	-50.987015E+0	40.193871E-9	-52.686054E+0
-482.35291E-3	39.313001E-9	-51.214008E+0	40.199986E-9	-52.333786E+0
-474.50978E-3	39.321900E-9	-51.346497E+0	40.217898E-9	-52.247612E+0
-466.66664E-3	39.333603E-9	-50.352245E+0	40.227981E-9	-51.677326E+0
-458.82350E-3	39.341039E-9	-50.900406E+0	40.230859E-9	-50.742962E+0
-450.98037E-3	39.352443E-9	-50.197197E+0	40.240938E-9	-51.065491E+0
-443.13723E-3	39.355850E-9	-49.485096E+0	40.260247E-9	-51.785744E+0
-435.29409E-3	39.365620E-9	-49.376095E+0	40.268997E-9	-50.892597E+0
-427.45095E-3	39.376612E-9	-49.646191E+0	40.274035E-9	-49.718540E+0
-419.60782E-3	39.385803E-9	-48.670654E+0	40.284657E-9	-50.074265E+0
-411.76468E-3	39.392049E-9	-48.144123E+0	40.299796E-9	-50.407280E+0
-403.92154E-3	39.405329E-9	-48.514359E+0	40.308876E-9	-49.076122E+0
-396.07841E-3	39.416513E-9	-48.677814E+0	40.311431E-9	-48.474098E+0
-388.23527E-3	39.424137E-9	-47.770767E+0	40.321112E-9	-49.024734E+0
-380.39213E-3	39.431210E-9	-47.810089E+0	40.327937E-9	-49.198547E+0
-372.54900E-3	39.436873E-9	-48.933865E+0	40.334665E-9	-48.539772E+0
-364.70586E-3	39.446125E-9	-47.368401E+0	40.335436E-9	-48.771267E+0
-356.86272E-3	39.449787E-9	-47.079105E+0	40.346986E-9	-48.970322E+0
-349.01959E-3	39.461536E-9	-47.031292E+0	40.362234E-9	-48.315643E+0
-341.17645E-3	39.475751E-9	-46.778545E+0	40.370416E-9	-47.843315E+0
-333.33331E-3	39.481545E-9	-45.742912E+0	40.376467E-9	-47.890385E+0
