Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:40:23	
User		
Date		
X (m)	5.00662E-6	
Y (m)	-1.38228E-6	
Z (m)	-83.2779E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:39:55	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	78.487695E-9	-64.104805E+0	78.266496E-9	-63.740646E+0
-992.15686E-3	78.461696E-9	-64.271515E+0	78.285971E-9	-64.224968E+0
-984.31373E-3	78.429487E-9	-63.605251E+0	78.304581E-9	-63.629303E+0
-976.47059E-3	78.411325E-9	-63.421268E+0	78.332484E-9	-62.726063E+0
-968.62745E-3	78.395836E-9	-62.616447E+0	78.357218E-9	-62.627892E+0
-960.78432E-3	78.381383E-9	-62.833447E+0	78.377880E-9	-62.671547E+0
-952.94118E-3	78.358511E-9	-62.369724E+0	78.397214E-9	-62.142498E+0
-945.09804E-3	78.343064E-9	-61.866177E+0	78.416711E-9	-61.858097E+0
-937.25491E-3	78.336200E-9	-61.409908E+0	78.437431E-9	-62.334595E+0
-929.41177E-3	78.326764E-9	-61.387497E+0	78.463806E-9	-61.877724E+0
-921.56863E-3	78.310698E-9	-60.483574E+0	78.485350E-9	-61.022362E+0
-913.72550E-3	78.294562E-9	-60.121559E+0	78.512912E-9	-61.456917E+0
-905.88236E-3	78.289183E-9	-59.844440E+0	78.538456E-9	-60.498764E+0
-898.03922E-3	78.290192E-9	-59.585522E+0	78.555210E-9	-59.761559E+0
-890.19608E-3	78.285787E-9	-59.485256E+0	78.573450E-9	-59.655266E+0
-882.35295E-3	78.277147E-9	-58.967628E+0	78.590325E-9	-59.763180E+0
-874.50981E-3	78.279101E-9	-58.508522E+0	78.614285E-9	-58.902996E+0
-866.66667E-3	78.280650E-9	-58.120182E+0	78.625455E-9	-58.284180E+0
-858.82354E-3	78.279477E-9	-58.009884E+0	78.649727E-9	-58.715614E+0
-850.98040E-3	78.277729E-9	-58.182034E+0	78.661870E-9	-58.879887E+0
-843.13726E-3	78.269224E-9	-57.441727E+0	78.684089E-9	-57.796162E+0
-835.29413E-3	78.279093E-9	-57.368454E+0	78.697354E-9	-56.979656E+0
-827.45099E-3	78.282078E-9	-56.965115E+0	78.708936E-9	-57.525764E+0
-819.60785E-3	78.282923E-9	-56.571087E+0	78.719438E-9	-56.653244E+0
-811.76472E-3	78.280316E-9	-55.990349E+0	78.731233E-9	-55.790443E+0
-803.92158E-3	78.286789E-9	-55.562252E+0	78.745572E-9	-56.159454E+0
-796.07844E-3	78.291905E-9	-55.645473E+0	78.756919E-9	-56.664562E+0
-788.23531E-3	78.281232E-9	-55.693516E+0	78.765908E-9	-55.969875E+0
-780.39217E-3	78.279108E-9	-55.667023E+0	78.786606E-9	-56.026783E+0
-772.54903E-3	78.278454E-9	-55.065002E+0	78.807624E-9	-55.862324E+0
-764.70590E-3	78.271768E-9	-55.164467E+0	78.820193E-9	-55.492435E+0
-756.86276E-3	78.269132E-9	-54.758106E+0	78.837800E-9	-54.868683E+0
-749.01962E-3	78.271867E-9	-54.222210E+0	78.852786E-9	-55.062763E+0
-741.17649E-3	78.279584E-9	-53.531231E+0	78.861810E-9	-54.693260E+0
-733.33335E-3	78.290931E-9	-53.327335E+0	78.878074E-9	-53.670315E+0
-725.49021E-3	78.299351E-9	-53.475800E+0	78.885051E-9	-53.713272E+0
-717.64708E-3	78.303280E-9	-53.492149E+0	78.905146E-9	-54.252884E+0
-709.80394E-3	78.307359E-9	-52.582542E+0	78.921595E-9	-53.612667E+0
-701.96080E-3	78.315011E-9	-52.603851E+0	78.942165E-9	-52.830189E+0
-694.11767E-3	78.317186E-9	-52.343067E+0	78.960163E-9	-53.482819E+0
-686.27453E-3	78.321349E-9	-52.288090E+0	78.982858E-9	-53.807049E+0
-678.43139E-3	78.327922E-9	-51.996334E+0	79.002994E-9	-52.579258E+0
-670.58825E-3	78.340349E-9	-51.701187E+0	79.018292E-9	-51.787231E+0
-662.74512E-3	78.341472E-9	-51.422615E+0	79.027110E-9	-52.174282E+0
-654.90198E-3	78.347476E-9	-51.136620E+0	79.040262E-9	-52.100849E+0
-647.05884E-3	78.359442E-9	-50.454063E+0	79.057216E-9	-51.716534E+0
-639.21571E-3	78.369432E-9	-50.485107E+0	79.071825E-9	-51.573341E+0
-631.37257E-3	78.379905E-9	-50.104198E+0	79.081445E-9	-51.376423E+0
-623.52937E-3	78.385632E-9	-49.881172E+0	79.095699E-9	-51.190701E+0
-615.68624E-3	78.404518E-9	-49.620556E+0	79.119026E-9	-51.295067E+0
-607.84310E-3	78.420172E-9	-49.395218E+0	79.144215E-9	-51.477303E+0
-599.99996E-3	78.434041E-9	-49.162067E+0	79.154951E-9	-50.314140E+0
-592.15683E-3	78.448103E-9	-48.798916E+0	79.181213E-9	-49.708641E+0
-584.31369E-3	78.473846E-9	-48.610634E+0	79.200255E-9	-50.077541E+0
-576.47055E-3	78.495532E-9	-47.942207E+0	79.215340E-9	-50.119919E+0
-568.62742E-3	78.506169E-9	-47.669373E+0	79.228315E-9	-49.278183E+0
-560.78428E-3	78.519108E-9	-47.480022E+0	79.243463E-9	-49.354614E+0
-552.94114E-3	78.534669E-9	-47.367199E+0	79.275587E-9	-49.888264E+0
-545.09801E-3	78.556347E-9	-47.558254E+0	79.300015E-9	-49.028793E+0
-537.25487E-3	78.573969E-9	-47.186150E+0	79.312414E-9	-48.288651E+0
-529.41173E-3	78.586595E-9	-47.029663E+0	79.330803E-9	-48.342499E+0
-521.56860E-3	78.601644E-9	-46.628380E+0	79.354990E-9	-48.508266E+0
-513.72546E-3	78.619045E-9	-46.340595E+0	79.371176E-9	-47.911301E+0
-505.88232E-3	78.640191E-9	-46.024616E+0	79.383632E-9	-47.541924E+0
-498.03919E-3	78.651588E-9	-46.127819E+0	79.397793E-9	-47.690823E+0
-490.19605E-3	78.665252E-9	-45.464783E+0	79.409340E-9	-47.194305E+0
-482.35291E-3	78.688565E-9	-45.588001E+0	79.430905E-9	-46.754990E+0
-474.50978E-3	78.704296E-9	-45.438469E+0	79.439666E-9	-47.126339E+0
-466.66664E-3	78.714521E-9	-45.373680E+0	79.456250E-9	-47.223869E+0
-458.82350E-3	78.741401E-9	-44.752743E+0	79.478511E-9	-46.811562E+0
-450.98037E-3	78.759044E-9	-44.847382E+0	79.498413E-9	-46.569916E+0
-443.13723E-3	78.777603E-9	-44.862129E+0	79.516461E-9	-46.562775E+0
-435.29409E-3	78.786449E-9	-44.841702E+0	79.528597E-9	-45.904217E+0
-427.45095E-3	78.797676E-9	-44.103119E+0	79.541593E-9	-45.169243E+0
-419.60782E-3	78.819397E-9	-44.071163E+0	79.560344E-9	-45.176140E+0
-411.76468E-3	78.843037E-9	-43.932175E+0	79.563399E-9	-45.262558E+0
-403.92154E-3	78.853304E-9	-43.599602E+0	79.571940E-9	-44.488918E+0
-396.07841E-3	78.874145E-9	-43.452152E+0	79.578001E-9	-44.429546E+0
-388.23527E-3	78.897280E-9	-43.160576E+0	79.595779E-9	-44.756130E+0
-380.39213E-3	78.917367E-9	-43.597118E+0	79.606473E-9	-44.417194E+0
-372.54900E-3	78.924074E-9	-43.464798E+0	79.616441E-9	-43.919731E+0
-364.70586E-3	78.937667E-9	-43.108311E+0	79.627291E-9	-43.660984E+0
-356.86272E-3	78.960596E-9	-42.680515E+0	79.638440E-9	-43.877197E+0
-349.01959E-3	78.983163E-9	-42.276485E+0	79.648061E-9	-43.137676E+0
-341.17645E-3	78.994553E-9	-42.722317E+0	79.651180E-9	-43.119289E+0
-333.33331E-3	79.010121E-9	-42.081047E+0	79.663565E-9	-43.653164E+0
-325.49018E-3	79.033427E-9	-42.087086E+0	79.668673E-9	-43.102074E+0
-317.64704E-3	79.052036E-9	-42.358761E+0	79.677029E-9	-42.294357E+0
-309.80390E-3	79.054537E-9	-42.598282E+0	79.682444E-9	-43.015202E+0
-301.96077E-3	79.059696E-9	-42.261543E+0	79.697777E-9	-43.308388E+0
-294.11763E-3	79.068066E-9	-42.160500E+0	79.708833E-9	-42.472485E+0
-286.27449E-3	79.078191E-9	-41.813622E+0	79.713793E-9	-41.660919E+0
-278.43136E-3	79.083705E-9	-41.776615E+0	79.719854E-9	-42.453800E+0
-270.58822E-3	79.094498E-9	-41.433262E+0	79.728494E-9	-42.277435E+0
-262.74508E-3	79.110485E-9	-40.910770E+0	79.742911E-9	-41.816196E+0
-254.90195E-3	79.130345E-9	-40.986103E+0	79.757910E-9	-41.633808E+0
-247.05875E-3	79.136299E-9	-40.866093E+0	79.763218E-9	-41.617443E+0
-239.21561E-3	79.147824E-9	-40.933975E+0	79.770700E-9	-41.338856E+0
-231.37248E-3	79.161723E-9	-40.545986E+0	79.786496E-9	-41.340538E+0
-223.52934E-3	79.172771E-9	-40.370670E+0	79.803741E-9	-41.472672E+0
-215.68620E-3	79.184098E-9	-40.155605E+0	79.810370E-9	-41.209213E+0
-207.84307E-3	79.192489E-9	-40.436768E+0	79.819237E-9	-40.509617E+0
-199.99993E-3	79.203836E-9	-40.345509E+0	79.832681E-9	-40.846859E+0
-192.15679E-3	79.221451E-9	-40.031574E+0	79.834429E-9	-40.673706E+0
-184.31365E-3	79.222609E-9	-39.806503E+0	79.834486E-9	-39.831146E+0
-176.47052E-3	79.232862E-9	-39.903049E+0	79.843232E-9	-40.063129E+0
-168.62738E-3	79.240920E-9	-39.709965E+0	79.851645E-9	-40.908905E+0
-160.78424E-3	79.258733E-9	-39.402100E+0	79.864243E-9	-40.650829E+0
-152.94111E-3	79.262598E-9	-39.217297E+0	79.868698E-9	-39.847462E+0
-145.09797E-3	79.273676E-9	-39.019707E+0	79.870333E-9	-39.963272E+0
-137.25483E-3	79.293926E-9	-39.171585E+0	79.886654E-9	-40.271008E+0
-129.41170E-3	79.299284E-9	-39.422607E+0	79.893688E-9	-39.400757E+0
-121.56856E-3	79.299923E-9	-39.308357E+0	79.885723E-9	-38.741848E+0
-113.72542E-3	79.306815E-9	-38.454567E+0	79.895209E-9	-39.555592E+0
-105.88229E-3	79.328423E-9	-38.015457E+0	79.897887E-9	-39.616909E+0
-98.039150E-3	79.348339E-9	-38.078037E+0	79.915345E-9	-38.944733E+0
-90.196013E-3	79.359161E-9	-38.221302E+0	79.921463E-9	-39.092770E+0
-82.352877E-3	79.373677E-9	-37.880993E+0	79.938218E-9	-39.880146E+0
-74.509740E-3	79.389643E-9	-37.820148E+0	79.954525E-9	-39.203522E+0
-66.666603E-3	79.402149E-9	-38.026699E+0	79.970199E-9	-38.827541E+0
-58.823466E-3	79.411187E-9	-38.094654E+0	79.980282E-9	-39.360500E+0
-50.980330E-3	79.422271E-9	-37.604336E+0	79.991757E-9	-39.236347E+0
-43.137193E-3	79.437370E-9	-36.996578E+0	80.010075E-9	-38.125702E+0
-35.294056E-3	79.459269E-9	-37.090649E+0	80.009983E-9	-37.690140E+0
-27.450919E-3	79.477246E-9	-37.336514E+0	80.012697E-9	-38.478424E+0
-19.607782E-3	79.480436E-9	-36.849041E+0	80.015901E-9	-38.250828E+0
-11.764646E-3	79.505490E-9	-36.534676E+0	80.029096E-9	-37.661110E+0
-3.9215088E-3	79.532064E-9	-36.648529E+0	80.044664E-9	-37.794102E+0
3.9216280E-3	79.540236E-9	-36.658138E+0	80.044366E-9	-37.967651E+0
11.764765E-3	79.552521E-9	-36.993347E+0	80.061696E-9	-37.742184E+0
19.607902E-3	79.565382E-9	-36.685215E+0	80.078493E-9	-38.066620E+0
27.451038E-3	79.583870E-9	-36.438457E+0	80.101529E-9	-38.051903E+0
35.294175E-3	79.589988E-9	-36.365971E+0	80.111285E-9	-37.569656E+0
