Experiment	bias spectroscopy	
Saved Date	07.11.2019 11:27:29	
User		
Date		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-103.169E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 11:27:02	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-474.50978E-3	19.447159E-9	-54.981735E+0	20.085821E-9	-54.504478E+0
-466.66664E-3	19.457515E-9	-54.219456E+0	20.095326E-9	-54.950420E+0
-458.82350E-3	19.464414E-9	-53.700741E+0	20.096619E-9	-55.476437E+0
-450.98037E-3	19.469406E-9	-53.155323E+0	20.100828E-9	-54.867966E+0
-443.13723E-3	19.478041E-9	-53.466599E+0	20.110489E-9	-54.275497E+0
-435.29409E-3	19.483746E-9	-52.805809E+0	20.119082E-9	-54.620438E+0
-427.45095E-3	19.491013E-9	-52.870876E+0	20.119161E-9	-53.626030E+0
-419.60782E-3	19.501712E-9	-52.266754E+0	20.119737E-9	-51.773380E+0
-411.76468E-3	19.502375E-9	-51.791218E+0	20.123299E-9	-52.498520E+0
-403.92154E-3	19.518508E-9	-51.820248E+0	20.126883E-9	-52.326542E+0
-396.07841E-3	19.524091E-9	-51.268005E+0	20.131852E-9	-51.596272E+0
-388.23527E-3	19.528450E-9	-51.245350E+0	20.132918E-9	-51.774818E+0
-380.39213E-3	19.539558E-9	-50.756802E+0	20.133271E-9	-51.970932E+0
-372.54900E-3	19.542465E-9	-51.569279E+0	20.141949E-9	-51.898510E+0
-364.70586E-3	19.553401E-9	-49.730522E+0	20.141918E-9	-50.367744E+0
-356.86272E-3	19.558373E-9	-49.686234E+0	20.144633E-9	-49.719540E+0
-349.01959E-3	19.563965E-9	-50.257862E+0	20.146361E-9	-51.031200E+0
-341.17645E-3	19.576222E-9	-50.218212E+0	20.149553E-9	-48.603218E+0
-333.33331E-3	19.583048E-9	-49.771214E+0	20.155396E-9	-48.972176E+0
-325.49018E-3	19.587615E-9	-48.659645E+0	20.156364E-9	-49.768291E+0
-317.64704E-3	19.596746E-9	-49.723446E+0	20.160872E-9	-49.486912E+0
