Experiment	Experiment	
Saved Date	16.03.2020 14:15:09	
User		
f_res (Hz)	294654.420	
Q	1160	
Phase (deg)	-235.90	
Amp/Exc (nm/mV)	0.043191	
Number of points	512	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-610.00000E+0	294.65687E+3	737.45210E-12	85.994446E+0
-607.61255E+0	294.65687E+3	736.47732E-12	85.702278E+0
-605.22510E+0	294.65687E+3	737.13741E-12	85.288254E+0
-602.83765E+0	294.65687E+3	736.90837E-12	85.027321E+0
-600.45020E+0	294.65687E+3	734.90852E-12	84.472153E+0
-598.06274E+0	294.65687E+3	733.96555E-12	84.264290E+0
-595.67529E+0	294.65687E+3	733.25562E-12	83.853851E+0
-593.28784E+0	294.65687E+3	732.21618E-12	83.591316E+0
-590.90039E+0	294.65687E+3	731.38368E-12	83.127693E+0
-588.51294E+0	294.65687E+3	729.66527E-12	82.817444E+0
-586.12549E+0	294.65687E+3	729.43313E-12	82.486404E+0
-583.73804E+0	294.65687E+3	728.12906E-12	82.188400E+0
-581.35059E+0	294.65687E+3	727.30211E-12	81.888084E+0
-578.96313E+0	294.65687E+3	726.77542E-12	81.504951E+0
-576.57568E+0	294.65687E+3	724.19892E-12	81.176987E+0
-574.18823E+0	294.65687E+3	723.56771E-12	80.822411E+0
-571.80078E+0	294.65687E+3	722.09733E-12	80.616814E+0
-569.41333E+0	294.65687E+3	721.03523E-12	80.392982E+0
-567.02588E+0	294.65687E+3	717.70201E-12	80.158943E+0
-564.63843E+0	294.65687E+3	716.34776E-12	79.864464E+0
-562.25098E+0	294.65687E+3	716.52029E-12	79.474419E+0
-559.86353E+0	294.65687E+3	714.98102E-12	79.457039E+0
-557.47607E+0	294.65687E+3	713.52296E-12	79.199387E+0
-555.08862E+0	294.65687E+3	710.79209E-12	78.840508E+0
-552.70117E+0	294.65687E+3	710.43277E-12	78.708580E+0
-550.31372E+0	294.65687E+3	710.32830E-12	78.504158E+0
-547.92627E+0	294.65687E+3	707.66565E-12	78.328018E+0
-545.53882E+0	294.65687E+3	706.82388E-12	78.102089E+0
-543.15137E+0	294.65687E+3	706.93007E-12	78.013855E+0
-540.76392E+0	294.65687E+3	707.44355E-12	77.798691E+0
-538.37646E+0	294.65687E+3	705.03764E-12	77.614044E+0
-535.98901E+0	294.65687E+3	704.75031E-12	77.389214E+0
-533.60156E+0	294.65687E+3	703.35976E-12	77.306221E+0
-531.21411E+0	294.65687E+3	702.68125E-12	76.959488E+0
-528.82666E+0	294.65687E+3	700.78493E-12	76.895950E+0
-526.43921E+0	294.65687E+3	700.08305E-12	76.768791E+0
-524.05176E+0	294.65687E+3	700.66547E-12	76.782738E+0
-521.66431E+0	294.65687E+3	698.95917E-12	76.436600E+0
-519.27686E+0	294.65687E+3	700.39885E-12	76.364105E+0
-516.88940E+0	294.65687E+3	699.13814E-12	76.167892E+0
-514.50195E+0	294.65687E+3	699.68165E-12	76.034103E+0
-512.11450E+0	294.65687E+3	698.28904E-12	76.044014E+0
-509.72702E+0	294.65687E+3	698.66946E-12	75.670151E+0
-507.33954E+0	294.65687E+3	698.99758E-12	75.597755E+0
-504.95206E+0	294.65687E+3	697.57788E-12	75.354851E+0
-502.56458E+0	294.65687E+3	698.64398E-12	75.235733E+0
-500.17709E+0	294.65687E+3	696.89254E-12	75.163223E+0
-497.78961E+0	294.65687E+3	696.94300E-12	74.941315E+0
-495.40213E+0	294.65687E+3	697.92089E-12	74.776001E+0
-493.01465E+0	294.65687E+3	698.27927E-12	74.719986E+0
-490.62717E+0	294.65687E+3	698.15742E-12	74.640076E+0
-488.23969E+0	294.65687E+3	699.22473E-12	74.444893E+0
-485.85220E+0	294.65687E+3	700.43593E-12	74.333641E+0
-483.46472E+0	294.65687E+3	696.88721E-12	74.189926E+0
-481.07724E+0	294.65687E+3	697.90795E-12	74.124947E+0
-478.68976E+0	294.65687E+3	697.49395E-12	74.092361E+0
-476.30228E+0	294.65687E+3	698.62433E-12	73.873863E+0
-473.91479E+0	294.65687E+3	698.91587E-12	73.734978E+0
-471.52731E+0	294.65687E+3	699.13764E-12	73.658630E+0
-469.13983E+0	294.65687E+3	698.88983E-12	73.381889E+0
-466.75235E+0	294.65687E+3	698.79924E-12	73.466507E+0
-464.36487E+0	294.65687E+3	698.44230E-12	73.296982E+0
-461.97739E+0	294.65687E+3	699.11893E-12	73.209396E+0
-459.58990E+0	294.65687E+3	699.11416E-12	73.315903E+0
-457.20242E+0	294.65687E+3	700.31964E-12	73.320068E+0
-454.81494E+0	294.65687E+3	701.21242E-12	72.999710E+0
-452.42746E+0	294.65687E+3	702.16910E-12	72.955719E+0
-450.03998E+0	294.65687E+3	704.22668E-12	72.947403E+0
-447.65250E+0	294.65687E+3	705.86126E-12	72.834686E+0
-445.26501E+0	294.65687E+3	704.83014E-12	72.786293E+0
-442.87753E+0	294.65687E+3	706.17978E-12	72.713333E+0
-440.49005E+0	294.65687E+3	708.82067E-12	72.522682E+0
-438.10257E+0	294.65687E+3	711.42942E-12	72.707275E+0
-435.71509E+0	294.65687E+3	709.39127E-12	72.432632E+0
-433.32761E+0	294.65687E+3	714.40459E-12	72.256706E+0
-430.94012E+0	294.65687E+3	714.94555E-12	72.355026E+0
-428.55264E+0	294.65687E+3	718.40434E-12	72.009132E+0
-426.16516E+0	294.65687E+3	719.31089E-12	71.992004E+0
-423.77768E+0	294.65687E+3	721.55981E-12	71.583099E+0
-421.39020E+0	294.65687E+3	722.88392E-12	71.789299E+0
-419.00272E+0	294.65687E+3	726.01708E-12	71.493736E+0
-416.61523E+0	294.65687E+3	727.95414E-12	71.348900E+0
-414.22775E+0	294.65687E+3	730.85443E-12	71.083221E+0
-411.84027E+0	294.65687E+3	733.62816E-12	71.046921E+0
-409.45279E+0	294.65687E+3	734.07480E-12	70.948082E+0
-407.06531E+0	294.65687E+3	735.91044E-12	70.862503E+0
-404.67783E+0	294.65687E+3	737.26958E-12	70.527466E+0
-402.29034E+0	294.65687E+3	739.86844E-12	70.448730E+0
-399.90286E+0	294.65687E+3	740.59481E-12	70.137856E+0
-397.51538E+0	294.65687E+3	743.72641E-12	69.840271E+0
-395.12790E+0	294.65687E+3	746.23985E-12	69.681747E+0
-392.74042E+0	294.65687E+3	747.03854E-12	69.525085E+0
-390.35294E+0	294.65687E+3	747.01983E-12	69.431343E+0
-387.96545E+0	294.65687E+3	748.36759E-12	69.133942E+0
-385.57797E+0	294.65687E+3	750.10037E-12	68.914803E+0
-383.19049E+0	294.65687E+3	751.02163E-12	68.660019E+0
-380.80301E+0	294.65687E+3	751.93130E-12	68.652817E+0
-378.41553E+0	294.65687E+3	752.35090E-12	68.356987E+0
-376.02805E+0	294.65687E+3	751.73806E-12	68.423485E+0
-373.64056E+0	294.65687E+3	755.78105E-12	68.161743E+0
-371.25308E+0	294.65687E+3	756.22797E-12	68.197250E+0
-368.86560E+0	294.65687E+3	757.43062E-12	67.915939E+0
-366.47812E+0	294.65687E+3	758.60768E-12	67.811829E+0
-364.09064E+0	294.65687E+3	761.68538E-12	67.631622E+0
-361.70316E+0	294.65687E+3	763.02642E-12	67.615059E+0
-359.31567E+0	294.65687E+3	763.09470E-12	67.330154E+0
-356.92819E+0	294.65687E+3	763.14705E-12	67.317619E+0
-354.54071E+0	294.65687E+3	764.49641E-12	67.123856E+0
-352.15323E+0	294.65687E+3	766.03923E-12	67.036324E+0
-349.76575E+0	294.65687E+3	767.53232E-12	67.051079E+0
-347.37827E+0	294.65687E+3	767.21035E-12	66.784470E+0
-344.99078E+0	294.65687E+3	771.44163E-12	66.882721E+0
-342.60330E+0	294.65687E+3	771.93879E-12	66.859955E+0
-340.21582E+0	294.65687E+3	773.19490E-12	66.748917E+0
-337.82834E+0	294.65687E+3	775.82979E-12	66.451614E+0
-335.44086E+0	294.65687E+3	777.31316E-12	66.456673E+0
-333.05338E+0	294.65687E+3	779.43269E-12	66.737907E+0
-330.66589E+0	294.65687E+3	781.20421E-12	66.476463E+0
-328.27841E+0	294.65687E+3	784.79223E-12	66.429695E+0
-325.89093E+0	294.65687E+3	788.62772E-12	66.397049E+0
-323.50345E+0	294.65687E+3	791.31574E-12	66.361206E+0
-321.11597E+0	294.65687E+3	792.65616E-12	66.128868E+0
-318.72849E+0	294.65687E+3	796.66984E-12	66.252533E+0
-316.34100E+0	294.65687E+3	801.69904E-12	66.015900E+0
-313.95352E+0	294.65687E+3	802.21740E-12	66.276520E+0
-311.56604E+0	294.65687E+3	804.58434E-12	66.090622E+0
-309.17856E+0	294.65687E+3	810.70284E-12	65.953484E+0
-306.79108E+0	294.65687E+3	815.24310E-12	65.913300E+0
-304.40359E+0	294.65687E+3	818.05795E-12	66.004066E+0
-302.01611E+0	294.65687E+3	823.21538E-12	65.898911E+0
-299.62863E+0	294.65687E+3	829.07786E-12	65.745087E+0
-297.24115E+0	294.65687E+3	833.60796E-12	65.650436E+0
-294.85367E+0	294.65687E+3	839.28708E-12	65.571999E+0
-292.46619E+0	294.65687E+3	842.76724E-12	65.668602E+0
-290.07870E+0	294.65687E+3	847.88726E-12	65.476120E+0
-287.69122E+0	294.65687E+3	856.74212E-12	65.362000E+0
-285.30374E+0	294.65687E+3	857.92945E-12	65.277809E+0
-282.91626E+0	294.65687E+3	865.42179E-12	65.149467E+0
-280.52878E+0	294.65687E+3	873.04569E-12	64.816963E+0
-278.14130E+0	294.65687E+3	874.13832E-12	64.617279E+0
-275.75381E+0	294.65687E+3	878.62723E-12	64.355873E+0
-273.36633E+0	294.65687E+3	884.76909E-12	64.322258E+0
-270.97885E+0	294.65687E+3	891.88895E-12	64.148109E+0
-268.59137E+0	294.65687E+3	898.50533E-12	64.135536E+0
-266.20389E+0	294.65687E+3	903.65182E-12	63.640247E+0
-263.81641E+0	294.65687E+3	910.46692E-12	63.397755E+0
-261.42892E+0	294.65687E+3	914.10179E-12	63.061062E+0
-259.04144E+0	294.65687E+3	920.56635E-12	62.956211E+0
-256.65396E+0	294.65687E+3	927.27831E-12	62.628429E+0
-254.26648E+0	294.65687E+3	928.09060E-12	62.438728E+0
-251.87900E+0	294.65687E+3	935.84529E-12	62.069180E+0
-249.49152E+0	294.65687E+3	938.76706E-12	61.799328E+0
-247.10403E+0	294.65687E+3	948.56634E-12	61.602108E+0
-244.71655E+0	294.65687E+3	948.22228E-12	61.390881E+0
-242.32907E+0	294.65687E+3	955.27231E-12	61.014679E+0
-239.94159E+0	294.65687E+3	960.95676E-12	61.065865E+0
-237.55411E+0	294.65687E+3	966.90955E-12	60.696522E+0
-235.16663E+0	294.65687E+3	968.32020E-12	60.281803E+0
-232.77914E+0	294.65687E+3	974.96444E-12	60.343231E+0
-230.39166E+0	294.65687E+3	983.89541E-12	60.126404E+0
-228.00418E+0	294.65687E+3	988.30766E-12	59.895210E+0
-225.61670E+0	294.65687E+3	993.71711E-12	59.546272E+0
-223.22922E+0	294.65687E+3	1.0027662E-9	59.218636E+0
-220.84174E+0	294.65687E+3	1.0007114E-9	59.102200E+0
-218.45425E+0	294.65687E+3	1.0116468E-9	59.000565E+0
-216.06677E+0	294.65687E+3	1.0155413E-9	58.653824E+0
-213.67929E+0	294.65687E+3	1.0231446E-9	58.302723E+0
-211.29181E+0	294.65687E+3	1.0252057E-9	58.251419E+0
-208.90433E+0	294.65687E+3	1.0345791E-9	57.905472E+0
-206.51685E+0	294.65687E+3	1.0428406E-9	57.602016E+0
-204.12936E+0	294.65687E+3	1.0468033E-9	57.328487E+0
-201.74188E+0	294.65687E+3	1.0527617E-9	57.166721E+0
-199.35440E+0	294.65687E+3	1.0609102E-9	56.921265E+0
-196.96692E+0	294.65687E+3	1.0651561E-9	56.658680E+0
-194.57944E+0	294.65687E+3	1.0734819E-9	56.455593E+0
-192.19196E+0	294.65687E+3	1.0819037E-9	56.370232E+0
-189.80447E+0	294.65687E+3	1.0865074E-9	56.096691E+0
-187.41699E+0	294.65687E+3	1.0946781E-9	55.882404E+0
-185.02951E+0	294.65687E+3	1.0900414E-9	55.712803E+0
-182.64203E+0	294.65687E+3	1.1089605E-9	55.430016E+0
-180.25455E+0	294.65687E+3	1.1154554E-9	55.168518E+0
-177.86707E+0	294.65687E+3	1.1264987E-9	54.919193E+0
-175.47958E+0	294.65687E+3	1.1327383E-9	54.774757E+0
-173.09210E+0	294.65687E+3	1.1431084E-9	54.479069E+0
-170.70462E+0	294.65687E+3	1.1514358E-9	54.337814E+0
-168.31714E+0	294.65687E+3	1.1567260E-9	54.268192E+0
-165.92966E+0	294.65687E+3	1.1703726E-9	54.127647E+0
-163.54218E+0	294.65687E+3	1.1766398E-9	53.494534E+0
-161.15469E+0	294.65687E+3	1.1899832E-9	53.351810E+0
-158.76721E+0	294.65687E+3	1.2014227E-9	53.340927E+0
-156.37973E+0	294.65687E+3	1.2139526E-9	52.787708E+0
