Experiment	Experiment	
Saved Date	19.09.2019 15:12:58	
User		
f_res (Hz)	383230.788	
Q	18725	
Phase (deg)	-207.72	
Amp/Exc (nm/mV)	2.932	
Number of points	128	
Fit length	 	
Comment01	2nd resonance - dumped and standing free	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-305.00000E+0	383.23037E+3	1.5850353E-9	94.878998E+0
-300.19684E+0	383.23037E+3	1.6080417E-9	94.505829E+0
-295.39368E+0	383.23037E+3	1.6326074E-9	94.117508E+0
-290.59052E+0	383.23037E+3	1.6575243E-9	93.756401E+0
-285.78735E+0	383.23037E+3	1.6821585E-9	93.400780E+0
-280.98419E+0	383.23037E+3	1.7053663E-9	93.045029E+0
-276.18103E+0	383.23037E+3	1.7310628E-9	92.737305E+0
-271.37787E+0	383.23037E+3	1.7565268E-9	92.440125E+0
-266.57471E+0	383.23037E+3	1.7844747E-9	92.191132E+0
-261.77155E+0	383.23037E+3	1.8108592E-9	91.898087E+0
-256.96838E+0	383.23037E+3	1.8384212E-9	91.674530E+0
-252.16524E+0	383.23037E+3	1.8672994E-9	91.448151E+0
-247.36209E+0	383.23037E+3	1.8983339E-9	91.228981E+0
-242.55894E+0	383.23037E+3	1.9301936E-9	91.062263E+0
-237.75580E+0	383.23037E+3	1.9630355E-9	90.857521E+0
-232.95265E+0	383.23037E+3	1.9985582E-9	90.674820E+0
-228.14951E+0	383.23037E+3	2.0344333E-9	90.536079E+0
-223.34636E+0	383.23037E+3	2.0735524E-9	90.386787E+0
-218.54321E+0	383.23037E+3	2.1127833E-9	90.203003E+0
-213.74007E+0	383.23037E+3	2.1559292E-9	90.071808E+0
-208.93692E+0	383.23037E+3	2.1994691E-9	89.925819E+0
-204.13377E+0	383.23037E+3	2.2458677E-9	89.787735E+0
-199.33063E+0	383.23037E+3	2.2954780E-9	89.698212E+0
-194.52748E+0	383.23037E+3	2.3447593E-9	89.576416E+0
-189.72433E+0	383.23037E+3	2.4009035E-9	89.472168E+0
-184.92119E+0	383.23037E+3	2.4575633E-9	89.397591E+0
-180.11804E+0	383.23037E+3	2.5209768E-9	89.247757E+0
-175.31490E+0	383.23037E+3	2.5869844E-9	89.158546E+0
-170.51175E+0	383.23037E+3	2.6556013E-9	89.092384E+0
-165.70860E+0	383.23037E+3	2.7314628E-9	88.983917E+0
-160.90546E+0	383.23037E+3	2.8097347E-9	88.892143E+0
-156.10231E+0	383.23037E+3	2.8946439E-9	88.778419E+0
-151.29916E+0	383.23037E+3	2.9890246E-9	88.639580E+0
-146.49602E+0	383.23037E+3	3.0884681E-9	88.505508E+0
-141.69287E+0	383.23037E+3	3.1953680E-9	88.353394E+0
-136.88972E+0	383.23037E+3	3.3116188E-9	88.145973E+0
-132.08658E+0	383.23037E+3	3.4333967E-9	87.963722E+0
-127.28343E+0	383.23037E+3	3.5677949E-9	87.776047E+0
-122.48029E+0	383.23037E+3	3.7052779E-9	87.396111E+0
-117.67714E+0	383.23037E+3	3.8591894E-9	87.102585E+0
-112.87399E+0	383.23037E+3	4.0271337E-9	86.760384E+0
-108.07085E+0	383.23037E+3	4.2215067E-9	86.495567E+0
-103.26770E+0	383.23037E+3	4.4114672E-9	85.979355E+0
-98.464554E+0	383.23037E+3	4.6324797E-9	85.564056E+0
-93.661407E+0	383.23037E+3	4.8656097E-9	85.054337E+0
-88.858261E+0	383.23037E+3	5.1287348E-9	84.540382E+0
-84.055115E+0	383.23037E+3	5.4342664E-9	84.095879E+0
-79.251968E+0	383.23037E+3	5.7472271E-9	83.410164E+0
-74.448822E+0	383.23037E+3	6.1134457E-9	82.785126E+0
-69.645676E+0	383.23037E+3	6.5352141E-9	82.026169E+0
-64.842529E+0	383.23037E+3	7.0058190E-9	81.249222E+0
-60.039379E+0	383.23037E+3	7.5436715E-9	80.291000E+0
-55.236229E+0	383.23037E+3	8.1747160E-9	79.282875E+0
-50.433079E+0	383.23037E+3	8.9111474E-9	78.084915E+0
