Experiment	Experiment	
Saved Date	06.05.2019 10:54:55	
User		
f_res (Hz)	60928.1423	
Q	236	
Phase (deg)	1.73	
Amp/Exc (nm/mV)	32861008.000	
Number of points	128	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-610.00000E+0	60.944746E+3	122.87976E-3	99.166756E+0
-600.39368E+0	60.944746E+3	122.30112E-3	98.142776E+0
-590.78735E+0	60.944746E+3	121.81778E-3	97.633911E+0
-581.18103E+0	60.944746E+3	120.77897E-3	97.081200E+0
-571.57471E+0	60.944746E+3	119.49811E-3	97.610069E+0
-561.96838E+0	60.944746E+3	120.72791E-3	97.516937E+0
-552.36206E+0	60.944746E+3	121.45772E-3	98.257660E+0
-542.75574E+0	60.944746E+3	122.80279E-3	98.888458E+0
-533.14941E+0	60.944746E+3	125.14359E-3	99.892632E+0
-523.54309E+0	60.944746E+3	128.24892E-3	100.06187E+0
-513.93677E+0	60.944746E+3	130.52405E-3	100.60625E+0
-504.33047E+0	60.944746E+3	134.68985E-3	100.94656E+0
-494.72418E+0	60.944746E+3	139.23670E-3	101.44656E+0
-485.11789E+0	60.944746E+3	143.24030E-3	101.41000E+0
-475.51160E+0	60.944746E+3	148.28062E-3	101.58299E+0
-465.90530E+0	60.944746E+3	153.41614E-3	101.33652E+0
-456.29901E+0	60.944746E+3	159.50777E-3	101.55527E+0
-446.69272E+0	60.944746E+3	165.68743E-3	101.01507E+0
-437.08643E+0	60.944746E+3	172.35592E-3	100.78364E+0
-427.48013E+0	60.944746E+3	180.05504E-3	100.14888E+0
-417.87384E+0	60.944746E+3	186.90263E-3	99.417160E+0
-408.26755E+0	60.944746E+3	196.06745E-3	98.881447E+0
-398.66125E+0	60.944746E+3	205.03004E-3	97.897491E+0
-389.05496E+0	60.944746E+3	214.79157E-3	96.669769E+0
-379.44867E+0	60.944746E+3	224.81869E-3	95.791161E+0
-369.84238E+0	60.944746E+3	234.42595E-3	94.217224E+0
-360.23608E+0	60.944746E+3	244.39083E-3	93.178841E+0
-350.62979E+0	60.944746E+3	255.84182E-3	91.286400E+0
-341.02350E+0	60.944746E+3	266.72572E-3	89.606743E+0
-331.41721E+0	60.944746E+3	277.98930E-3	87.935501E+0
-321.81091E+0	60.944746E+3	290.60799E-3	86.028481E+0
-312.20462E+0	60.944746E+3	299.33682E-3	84.378342E+0
-302.59833E+0	60.944746E+3	312.26298E-3	82.723907E+0
-292.99203E+0	60.944746E+3	325.56507E-3	80.885696E+0
-283.38574E+0	60.944746E+3	338.65869E-3	78.806404E+0
-273.77945E+0	60.944746E+3	352.83807E-3	77.245369E+0
-264.17316E+0	60.944746E+3	368.71287E-3	75.160126E+0
-254.56686E+0	60.944746E+3	385.37461E-3	73.126671E+0
-244.96057E+0	60.944746E+3	404.34092E-3	70.856804E+0
-235.35428E+0	60.944746E+3	424.01481E-3	68.353729E+0
-225.74799E+0	60.944746E+3	445.59985E-3	65.510971E+0
-216.14169E+0	60.944746E+3	463.17184E-3	62.520691E+0
-206.53540E+0	60.944746E+3	481.03818E-3	59.377602E+0
-196.92911E+0	60.944746E+3	501.19406E-3	56.415375E+0
-187.32281E+0	60.944746E+3	522.38107E-3	53.360531E+0
-177.71652E+0	60.944746E+3	542.40280E-3	49.978371E+0
-168.11023E+0	60.944746E+3	563.81458E-3	46.634304E+0
-158.50394E+0	60.944746E+3	583.31579E-3	43.111706E+0
-148.89764E+0	60.944746E+3	603.38181E-3	39.672676E+0
-139.29135E+0	60.944746E+3	624.85707E-3	35.910961E+0
-129.68506E+0	60.944746E+3	643.77266E-3	32.339108E+0
-120.07876E+0	60.944746E+3	667.07915E-3	28.533676E+0
-110.47246E+0	60.944746E+3	684.73202E-3	24.412754E+0
-100.86616E+0	60.944746E+3	705.39778E-3	19.899759E+0
-91.259857E+0	60.944746E+3	726.53967E-3	15.987910E+0
-81.653557E+0	60.944746E+3	745.89449E-3	11.228757E+0
-72.047256E+0	60.944746E+3	762.49552E-3	6.8807588E+0
-62.440956E+0	60.944746E+3	783.74410E-3	1.7990028E+0
-52.834656E+0	60.944746E+3	796.47046E-3	-3.1556606E+0
-43.228355E+0	60.944746E+3	807.25777E-3	-8.3196974E+0
-33.622055E+0	60.944746E+3	815.79220E-3	-13.733812E+0
-24.015755E+0	60.944746E+3	821.52522E-3	-19.747965E+0
-14.409455E+0	60.944746E+3	819.69434E-3	-25.569962E+0
-4.8031559E+0	60.944746E+3	809.49360E-3	-31.036354E+0
4.8031435E+0	60.944746E+3	791.53252E-3	-36.925728E+0
14.409443E+0	60.944746E+3	772.55392E-3	-42.101124E+0
24.015743E+0	60.944746E+3	749.61501E-3	-47.517609E+0
33.622044E+0	60.944746E+3	720.91341E-3	-52.340790E+0
43.228344E+0	60.944746E+3	697.83455E-3	-57.002125E+0
52.834644E+0	60.944746E+3	675.79293E-3	-61.420879E+0
62.440945E+0	60.944746E+3	655.46614E-3	-67.156937E+0
72.047241E+0	60.944746E+3	605.82572E-3	-71.451378E+0
81.653542E+0	60.944746E+3	573.60947E-3	-74.535477E+0
91.259842E+0	60.944746E+3	550.15266E-3	-77.657173E+0
100.86614E+0	60.944746E+3	526.95888E-3	-81.061417E+0
110.47244E+0	60.944746E+3	503.29661E-3	-84.489822E+0
120.07874E+0	60.944746E+3	478.35189E-3	-87.706566E+0
129.68504E+0	60.944746E+3	448.64997E-3	-90.725777E+0
139.29134E+0	60.944746E+3	427.14888E-3	-93.043846E+0
148.89763E+0	60.944746E+3	407.46668E-3	-95.529556E+0
158.50392E+0	60.944746E+3	388.02105E-3	-98.341675E+0
168.11021E+0	60.944746E+3	370.41229E-3	-100.85802E+0
177.71651E+0	60.944746E+3	350.31724E-3	-103.64688E+0
187.32280E+0	60.944746E+3	325.63147E-3	-106.62756E+0
196.92909E+0	60.944746E+3	297.72389E-3	-106.27345E+0
206.53539E+0	60.944746E+3	293.94925E-3	-105.88899E+0
216.14168E+0	60.944746E+3	285.11572E-3	-108.40236E+0
225.74797E+0	60.944746E+3	272.44934E-3	-110.41233E+0
