Experiment	Experiment	
Saved Date	06.05.2019 10:57:21	
User		
f_res (Hz)	60929.2073	
Q	239	
Phase (deg)	1.35	
Amp/Exc (nm/mV)	33883864.000	
Number of points	128	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-610.00000E+0	60.944746E+3	124.04756E-3	100.22379E+0
-600.39368E+0	60.944746E+3	122.56756E-3	99.380936E+0
-590.78735E+0	60.944746E+3	122.23805E-3	98.744102E+0
-581.18103E+0	60.944746E+3	121.45405E-3	98.910667E+0
-571.57471E+0	60.944746E+3	122.09564E-3	99.497643E+0
-561.96838E+0	60.944746E+3	122.50119E-3	100.08855E+0
-552.36206E+0	60.944746E+3	123.83983E-3	100.28624E+0
-542.75574E+0	60.944746E+3	126.43716E-3	101.38610E+0
-533.14941E+0	60.944746E+3	129.07028E-3	101.83208E+0
-523.54309E+0	60.944746E+3	132.09863E-3	102.36642E+0
-513.93677E+0	60.944746E+3	136.11057E-3	102.29811E+0
-504.33047E+0	60.944746E+3	140.69277E-3	102.65258E+0
-494.72418E+0	60.944746E+3	144.96641E-3	102.94082E+0
-485.11789E+0	60.944746E+3	149.96941E-3	103.06972E+0
-475.51160E+0	60.944746E+3	155.13872E-3	102.95393E+0
-465.90530E+0	60.944746E+3	161.20429E-3	102.41452E+0
-456.29901E+0	60.944746E+3	168.00982E-3	102.08483E+0
-446.69272E+0	60.944746E+3	174.44129E-3	101.73944E+0
-437.08643E+0	60.944746E+3	181.50182E-3	101.35160E+0
-427.48013E+0	60.944746E+3	188.08718E-3	100.71726E+0
-417.87384E+0	60.944746E+3	197.82129E-3	100.12799E+0
-408.26755E+0	60.944746E+3	205.91819E-3	99.192299E+0
-398.66125E+0	60.944746E+3	214.16964E-3	97.839096E+0
-389.05496E+0	60.944746E+3	224.62375E-3	96.821205E+0
-379.44867E+0	60.944746E+3	233.87730E-3	95.469734E+0
-369.84238E+0	60.944746E+3	243.77966E-3	94.361633E+0
-360.23608E+0	60.944746E+3	253.78343E-3	92.657516E+0
-350.62979E+0	60.944746E+3	266.28527E-3	91.072685E+0
-341.02350E+0	60.944746E+3	277.24543E-3	89.371269E+0
-331.41721E+0	60.944746E+3	288.15958E-3	87.621429E+0
-321.81091E+0	60.944746E+3	298.87030E-3	85.942398E+0
-312.20462E+0	60.944746E+3	310.63524E-3	84.101967E+0
-302.59833E+0	60.944746E+3	324.12484E-3	82.224937E+0
-292.99203E+0	60.944746E+3	336.45406E-3	80.732536E+0
-283.38574E+0	60.944746E+3	349.08077E-3	79.137604E+0
-273.77945E+0	60.944746E+3	364.05426E-3	77.007729E+0
-264.17316E+0	60.944746E+3	381.62869E-3	75.047363E+0
-254.56686E+0	60.944746E+3	399.18396E-3	72.726807E+0
-244.96057E+0	60.944746E+3	418.79910E-3	70.482582E+0
-235.35428E+0	60.944746E+3	438.36462E-3	67.836792E+0
-225.74799E+0	60.944746E+3	457.61502E-3	64.755127E+0
-216.14169E+0	60.944746E+3	476.86270E-3	62.281166E+0
-206.53540E+0	60.944746E+3	496.68097E-3	59.043823E+0
-196.92911E+0	60.944746E+3	514.85205E-3	56.289623E+0
-187.32281E+0	60.944746E+3	534.89745E-3	53.048412E+0
-177.71652E+0	60.944746E+3	554.69221E-3	49.991959E+0
-168.11023E+0	60.944746E+3	575.26529E-3	46.373814E+0
-158.50394E+0	60.944746E+3	597.10479E-3	43.236195E+0
-148.89764E+0	60.944746E+3	617.77896E-3	39.465508E+0
-139.29135E+0	60.944746E+3	638.24427E-3	36.054344E+0
-129.68506E+0	60.944746E+3	661.55905E-3	32.117832E+0
-120.07876E+0	60.944746E+3	682.61886E-3	28.425219E+0
-110.47246E+0	60.944746E+3	705.73336E-3	24.487188E+0
-100.86616E+0	60.944746E+3	725.42864E-3	20.186901E+0
-91.259857E+0	60.944746E+3	745.61059E-3	15.851870E+0
-81.653557E+0	60.944746E+3	767.55047E-3	11.445330E+0
-72.047256E+0	60.944746E+3	789.29842E-3	6.9895449E+0
-62.440956E+0	60.944746E+3	805.05830E-3	1.9352721E+0
-52.834656E+0	60.944746E+3	823.05300E-3	-3.3456156E+0
-43.228355E+0	60.944746E+3	835.62160E-3	-8.7639322E+0
-33.622055E+0	60.944746E+3	840.35027E-3	-14.236513E+0
-24.015755E+0	60.944746E+3	847.09668E-3	-19.879530E+0
-14.409455E+0	60.944746E+3	840.12431E-3	-25.953844E+0
-4.8031559E+0	60.944746E+3	830.18994E-3	-31.715254E+0
4.8031435E+0	60.944746E+3	814.60559E-3	-37.189747E+0
14.409443E+0	60.944746E+3	793.67584E-3	-42.747635E+0
24.015743E+0	60.944746E+3	771.74634E-3	-47.827721E+0
33.622044E+0	60.944746E+3	739.34740E-3	-53.037632E+0
43.228344E+0	60.944746E+3	716.22276E-3	-57.738674E+0
52.834644E+0	60.944746E+3	689.91482E-3	-62.150574E+0
62.440945E+0	60.944746E+3	666.11576E-3	-67.265724E+0
72.047241E+0	60.944746E+3	617.08331E-3	-72.117348E+0
81.653542E+0	60.944746E+3	584.70535E-3	-74.764488E+0
91.259842E+0	60.944746E+3	559.51643E-3	-78.130920E+0
100.86614E+0	60.944746E+3	533.89317E-3	-81.402687E+0
110.47244E+0	60.944746E+3	509.63014E-3	-84.611290E+0
120.07874E+0	60.944746E+3	483.68147E-3	-87.903481E+0
129.68504E+0	60.944746E+3	460.09079E-3	-90.754837E+0
139.29134E+0	60.944746E+3	434.67560E-3	-93.261223E+0
148.89763E+0	60.944746E+3	416.14351E-3	-95.812767E+0
158.50392E+0	60.944746E+3	397.69858E-3	-98.475380E+0
168.11021E+0	60.944746E+3	377.56595E-3	-101.07510E+0
177.71651E+0	60.944746E+3	357.49626E-3	-103.98143E+0
187.32280E+0	60.944746E+3	332.59934E-3	-106.80523E+0
196.92909E+0	60.944746E+3	303.13089E-3	-106.90635E+0
206.53539E+0	60.944746E+3	296.36675E-3	-106.29935E+0
216.14168E+0	60.944746E+3	288.95995E-3	-108.50873E+0
225.74797E+0	60.944746E+3	276.29799E-3	-110.68499E+0
235.35426E+0	60.944746E+3	261.68311E-3	-112.25840E+0
244.96056E+0	60.944746E+3	248.85413E-3	-113.41102E+0
254.56685E+0	60.944746E+3	237.41974E-3	-114.65186E+0
264.17316E+0	60.944746E+3	225.85511E-3	-115.46234E+0
273.77945E+0	60.944746E+3	215.10087E-3	-115.97278E+0
283.38574E+0	60.944746E+3	208.46306E-3	-116.82681E+0
292.99203E+0	60.944746E+3	199.01145E-3	-117.41163E+0
302.59833E+0	60.944746E+3	190.31169E-3	-118.18218E+0
312.20462E+0	60.944746E+3	183.00162E-3	-118.30727E+0
321.81091E+0	60.944746E+3	175.99453E-3	-119.01775E+0
331.41721E+0	60.944746E+3	169.38011E-3	-118.31952E+0
341.02350E+0	60.944746E+3	164.33801E-3	-117.73997E+0
350.62979E+0	60.944746E+3	161.31252E-3	-117.57426E+0
