Experiment	Experiment	
Saved Date	09.09.2019 12:07:36	
User		
f_res (Hz)	406226.386	
Q	523	
Phase (deg)	-365.08	
Amp/Exc (nm/mV)	266912560.000	
Number of points	128	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-2.0000000E+3	406.23147E+3	223.67199E-3	118.33849E+0
-1.9685039E+3	406.23147E+3	225.60897E-3	117.35694E+0
-1.9370078E+3	406.23147E+3	228.66118E-3	116.50063E+0
-1.9055117E+3	406.23147E+3	232.65971E-3	115.46262E+0
-1.8740156E+3	406.23147E+3	237.16147E-3	114.05875E+0
-1.8425195E+3	406.23147E+3	240.95832E-3	112.33391E+0
-1.8110234E+3	406.23147E+3	243.22672E-3	110.43513E+0
-1.7795273E+3	406.23147E+3	243.80633E-3	108.52096E+0
-1.7480312E+3	406.23147E+3	242.31483E-3	106.82837E+0
-1.7165352E+3	406.23147E+3	239.80245E-3	105.65356E+0
-1.6850391E+3	406.23147E+3	237.45421E-3	105.15134E+0
-1.6535430E+3	406.23147E+3	237.41335E-3	105.08647E+0
-1.6220469E+3	406.23147E+3	239.30927E-3	104.95614E+0
-1.5905508E+3	406.23147E+3	241.70931E-3	104.69146E+0
-1.5590547E+3	406.23147E+3	244.43297E-3	104.55085E+0
-1.5275586E+3	406.23147E+3	248.62470E-3	104.50365E+0
-1.4960625E+3	406.23147E+3	254.65253E-3	104.47339E+0
-1.4645664E+3	406.23147E+3	262.62766E-3	104.07100E+0
-1.4330703E+3	406.23147E+3	271.91874E-3	103.29838E+0
-1.4015742E+3	406.23147E+3	281.41245E-3	102.14458E+0
-1.3700781E+3	406.23147E+3	290.66351E-3	100.53130E+0
-1.3385820E+3	406.23147E+3	298.91175E-3	98.595634E+0
-1.3070859E+3	406.23147E+3	304.91751E-3	96.569496E+0
-1.2755898E+3	406.23147E+3	309.21593E-3	94.689293E+0
-1.2440937E+3	406.23147E+3	312.56616E-3	93.033852E+0
-1.2125977E+3	406.23147E+3	316.43793E-3	91.607483E+0
-1.1811016E+3	406.23147E+3	320.75408E-3	90.321548E+0
-1.1496055E+3	406.23147E+3	326.19843E-3	89.036140E+0
-1.1181094E+3	406.23147E+3	331.78526E-3	87.565971E+0
-1.0866133E+3	406.23147E+3	336.73647E-3	86.046257E+0
-1.0551172E+3	406.23147E+3	341.33250E-3	84.662750E+0
-1.0236211E+3	406.23147E+3	346.08692E-3	83.334694E+0
-992.12500E+0	406.23147E+3	351.54766E-3	82.105766E+0
-960.62891E+0	406.23147E+3	357.30508E-3	80.826202E+0
-929.13281E+0	406.23147E+3	364.02372E-3	79.557022E+0
-897.63672E+0	406.23147E+3	370.89977E-3	78.263794E+0
-866.14063E+0	406.23147E+3	377.40794E-3	76.933907E+0
-834.64453E+0	406.23147E+3	384.07525E-3	75.663544E+0
-803.14844E+0	406.23147E+3	391.82726E-3	74.543236E+0
-771.65234E+0	406.23147E+3	401.17148E-3	73.400185E+0
-740.15625E+0	406.23147E+3	411.73062E-3	72.123100E+0
-708.66016E+0	406.23147E+3	422.94249E-3	70.735985E+0
-677.16406E+0	406.23147E+3	434.91524E-3	69.296005E+0
-645.66797E+0	406.23147E+3	447.95644E-3	67.781738E+0
-614.17188E+0	406.23147E+3	461.77375E-3	66.209648E+0
-582.67578E+0	406.23147E+3	477.26685E-3	64.492340E+0
-551.17969E+0	406.23147E+3	493.36958E-3	62.508755E+0
-519.68359E+0	406.23147E+3	509.32139E-3	60.491726E+0
-488.18753E+0	406.23147E+3	526.98225E-3	58.403496E+0
-456.69147E+0	406.23147E+3	546.10342E-3	56.170189E+0
-425.19540E+0	406.23147E+3	566.28060E-3	53.630085E+0
-393.69934E+0	406.23147E+3	585.81823E-3	50.970486E+0
-362.20328E+0	406.23147E+3	605.40712E-3	48.152290E+0
-330.70721E+0	406.23147E+3	625.37020E-3	45.261795E+0
-299.21115E+0	406.23147E+3	646.90828E-3	42.193481E+0
-267.71509E+0	406.23147E+3	669.10315E-3	38.981686E+0
-236.21902E+0	406.23147E+3	691.97714E-3	35.489086E+0
-204.72296E+0	406.23147E+3	714.95086E-3	31.800520E+0
-173.22690E+0	406.23147E+3	737.67483E-3	27.713100E+0
-141.73083E+0	406.23147E+3	757.66271E-3	23.335159E+0
-110.23477E+0	406.23147E+3	775.06536E-3	18.702717E+0
-78.738708E+0	406.23147E+3	788.01292E-3	13.865916E+0
-47.242645E+0	406.23147E+3	796.85390E-3	8.8549061E+0
-15.746582E+0	406.23147E+3	800.73768E-3	3.7253003E+0
15.749481E+0	406.23147E+3	797.93519E-3	-1.4730029E+0
47.245544E+0	406.23147E+3	790.48789E-3	-6.6786952E+0
78.741608E+0	406.23147E+3	776.37696E-3	-11.738007E+0
110.23767E+0	406.23147E+3	757.87139E-3	-16.690777E+0
141.73373E+0	406.23147E+3	733.78325E-3	-21.413900E+0
173.22980E+0	406.23147E+3	706.54100E-3	-25.748556E+0
204.72586E+0	406.23147E+3	678.03508E-3	-29.659332E+0
236.22192E+0	406.23147E+3	649.24699E-3	-33.234165E+0
267.71799E+0	406.23147E+3	621.22315E-3	-36.353241E+0
299.21405E+0	406.23147E+3	596.15481E-3	-39.075043E+0
330.71011E+0	406.23147E+3	574.70298E-3	-41.503193E+0
362.20618E+0	406.23147E+3	556.25671E-3	-43.913441E+0
393.70224E+0	406.23147E+3	540.42011E-3	-46.421043E+0
425.19830E+0	406.23147E+3	524.86151E-3	-49.063747E+0
456.69437E+0	406.23147E+3	508.60810E-3	-51.731441E+0
488.19043E+0	406.23147E+3	492.01673E-3	-54.369781E+0
519.68652E+0	406.23147E+3	474.61399E-3	-56.918732E+0
551.18262E+0	406.23147E+3	457.52007E-3	-59.418182E+0
582.67871E+0	406.23147E+3	439.52772E-3	-61.747452E+0
614.17480E+0	406.23147E+3	422.20652E-3	-63.905754E+0
645.67090E+0	406.23147E+3	405.26071E-3	-65.805145E+0
677.16699E+0	406.23147E+3	389.47573E-3	-67.521324E+0
708.66309E+0	406.23147E+3	374.59329E-3	-69.107620E+0
740.15918E+0	406.23147E+3	360.82914E-3	-70.529243E+0
771.65527E+0	406.23147E+3	348.61416E-3	-71.788216E+0
803.15137E+0	406.23147E+3	337.92448E-3	-73.102646E+0
834.64746E+0	406.23147E+3	327.38218E-3	-74.473656E+0
866.14355E+0	406.23147E+3	317.54395E-3	-75.731461E+0
897.63965E+0	406.23147E+3	308.35542E-3	-77.035477E+0
929.13574E+0	406.23147E+3	299.24327E-3	-78.369087E+0
960.63184E+0	406.23147E+3	289.93797E-3	-79.607475E+0
992.12793E+0	406.23147E+3	281.08096E-3	-80.706703E+0
1.0236240E+3	406.23147E+3	273.35602E-3	-81.743752E+0
1.0551201E+3	406.23147E+3	265.94919E-3	-82.674622E+0
1.0866162E+3	406.23147E+3	259.60401E-3	-83.761597E+0
1.1181123E+3	406.23147E+3	253.50350E-3	-84.856407E+0
1.1496084E+3	406.23147E+3	247.31229E-3	-85.975929E+0
