Experiment	Experiment	
Saved Date	11.11.2019 11:34:54	
User		
f_res (Hz)	420918.362	
Q	20538	
Phase (deg)	107.13	
Amp/Exc (nm/mV)	4.592	
Number of points	258	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-305.00000E+0	420.91734E+3	1.5885704E-9	91.285774E+0
-302.62646E+0	420.91734E+3	1.5992577E-9	91.422134E+0
-300.25293E+0	420.91734E+3	1.6163728E-9	91.210258E+0
-297.87939E+0	420.91734E+3	1.6231170E-9	91.302628E+0
-295.50586E+0	420.91734E+3	1.6330665E-9	91.271599E+0
-293.13232E+0	420.91734E+3	1.6481236E-9	91.346039E+0
-290.75879E+0	420.91734E+3	1.6622486E-9	91.344597E+0
-288.38525E+0	420.91734E+3	1.6733803E-9	91.318375E+0
-286.01172E+0	420.91734E+3	1.6832481E-9	91.341881E+0
-283.63818E+0	420.91734E+3	1.6873505E-9	91.396637E+0
-281.26465E+0	420.91734E+3	1.7058478E-9	91.385101E+0
-278.89111E+0	420.91734E+3	1.7224511E-9	91.438339E+0
-276.51758E+0	420.91734E+3	1.7392381E-9	91.309364E+0
-274.14404E+0	420.91734E+3	1.7513958E-9	91.416695E+0
-271.77051E+0	420.91734E+3	1.7661184E-9	91.452690E+0
-269.39697E+0	420.91734E+3	1.7787778E-9	91.577415E+0
-267.02344E+0	420.91734E+3	1.7964648E-9	91.536331E+0
-264.64990E+0	420.91734E+3	1.8103576E-9	91.634911E+0
-262.27637E+0	420.91734E+3	1.8257582E-9	91.801659E+0
-259.90283E+0	420.91734E+3	1.8371876E-9	91.767273E+0
-257.52930E+0	420.91734E+3	1.8573821E-9	91.877983E+0
-255.15576E+0	420.91734E+3	1.8729878E-9	91.865486E+0
-252.78223E+0	420.91734E+3	1.8932280E-9	92.093163E+0
-250.40869E+0	420.91734E+3	1.9114583E-9	92.192619E+0
-248.03516E+0	420.91734E+3	1.9293243E-9	92.321388E+0
-245.66162E+0	420.91734E+3	1.9530957E-9	92.305183E+0
-243.28809E+0	420.91734E+3	1.9557203E-9	92.169273E+0
