Experiment	Experiment	
Saved Date	30.01.2019 15:16:14	
User		
f_res (Hz)	383807.065	
Q	780	
Phase (deg)	-479.96	
Amp/Exc (nm/mV)	2550212.750	
Number of points	256	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-4.0000000E+3	383.82275E+3	126.33860E-3	121.91651E+0
-3.9686274E+3	383.82275E+3	126.24490E-3	120.05129E+0
-3.9372549E+3	383.82275E+3	124.91213E-3	118.39641E+0
-3.9058823E+3	383.82275E+3	122.98604E-3	117.19120E+0
-3.8745098E+3	383.82275E+3	121.04646E-3	116.43333E+0
-3.8431372E+3	383.82275E+3	119.57995E-3	116.04951E+0
-3.8117646E+3	383.82275E+3	118.89058E-3	115.73229E+0
-3.7803921E+3	383.82275E+3	118.46808E-3	115.32446E+0
-3.7490195E+3	383.82275E+3	117.68121E-3	114.98190E+0
-3.7176470E+3	383.82275E+3	117.22900E-3	114.83880E+0
-3.6862744E+3	383.82275E+3	117.32645E-3	114.82313E+0
-3.6549019E+3	383.82275E+3	117.94365E-3	114.60375E+0
-3.6235293E+3	383.82275E+3	118.54921E-3	114.19270E+0
-3.5921567E+3	383.82275E+3	118.67956E-3	113.82355E+0
-3.5607842E+3	383.82275E+3	118.87682E-3	113.57448E+0
-3.5294116E+3	383.82275E+3	119.60252E-3	113.49636E+0
-3.4980391E+3	383.82275E+3	120.76329E-3	113.33653E+0
-3.4666665E+3	383.82275E+3	122.38756E-3	112.97496E+0
-3.4352939E+3	383.82275E+3	124.03212E-3	112.26743E+0
-3.4039214E+3	383.82275E+3	124.94397E-3	111.45023E+0
-3.3725488E+3	383.82275E+3	125.40528E-3	110.89095E+0
-3.3411763E+3	383.82275E+3	126.16795E-3	110.62070E+0
-3.3098037E+3	383.82275E+3	128.02608E-3	110.29305E+0
-3.2784312E+3	383.82275E+3	130.16599E-3	109.53777E+0
-3.2470586E+3	383.82275E+3	131.85383E-3	108.62640E+0
-3.2156860E+3	383.82275E+3	133.12364E-3	107.65694E+0
-3.1843135E+3	383.82275E+3	134.59258E-3	106.75166E+0
-3.1529409E+3	383.82275E+3	136.12282E-3	105.77347E+0
-3.1215684E+3	383.82275E+3	137.31511E-3	104.65421E+0
-3.0901958E+3	383.82275E+3	138.27270E-3	103.52444E+0
-3.0588232E+3	383.82275E+3	139.11152E-3	102.41994E+0
-3.0274507E+3	383.82275E+3	139.99636E-3	101.35078E+0
-2.9960781E+3	383.82275E+3	140.99491E-3	100.19775E+0
-2.9647056E+3	383.82275E+3	141.91890E-3	98.828934E+0
-2.9333330E+3	383.82275E+3	142.05228E-3	97.276741E+0
-2.9019604E+3	383.82275E+3	141.20869E-3	95.800682E+0
-2.8705879E+3	383.82275E+3	139.68246E-3	94.639801E+0
-2.8392153E+3	383.82275E+3	137.94552E-3	93.969215E+0
-2.8078428E+3	383.82275E+3	136.96739E-3	93.723457E+0
-2.7764702E+3	383.82275E+3	137.24294E-3	93.499565E+0
-2.7450977E+3	383.82275E+3	138.25598E-3	92.912422E+0
-2.7137251E+3	383.82275E+3	139.00501E-3	91.891624E+0
-2.6823525E+3	383.82275E+3	138.70896E-3	90.543289E+0
-2.6509800E+3	383.82275E+3	136.76116E-3	89.468712E+0
-2.6196074E+3	383.82275E+3	134.39795E-3	89.111397E+0
-2.5882349E+3	383.82275E+3	133.09455E-3	89.459290E+0
-2.5568623E+3	383.82275E+3	133.23361E-3	89.800598E+0
-2.5254897E+3	383.82275E+3	134.16514E-3	89.895241E+0
-2.4941172E+3	383.82275E+3	135.17095E-3	89.818092E+0
-2.4627446E+3	383.82275E+3	136.33448E-3	89.697990E+0
-2.4313721E+3	383.82275E+3	137.99806E-3	89.477776E+0
