Experiment	Experiment	
Saved Date	19.09.2019 15:13:01	
User		
f_res (Hz)	383230.763	
Q	18684	
Phase (deg)	-201.54	
Amp/Exc (nm/mV)	2.966	
Number of points	128	
Fit length	 	
Comment01	2nd resonance - dumped and standing free	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-153.00000E+0	383.23037E+3	2.9569922E-9	88.327156E+0
-150.59055E+0	383.23037E+3	2.9970810E-9	88.262444E+0
-148.18109E+0	383.23037E+3	3.0450169E-9	88.190094E+0
-145.77164E+0	383.23037E+3	3.0968377E-9	88.141052E+0
-143.36218E+0	383.23037E+3	3.1488259E-9	88.028862E+0
-140.95273E+0	383.23037E+3	3.2052450E-9	87.968727E+0
-138.54327E+0	383.23037E+3	3.2619354E-9	87.865990E+0
-136.13382E+0	383.23037E+3	3.3233851E-9	87.784332E+0
-133.72437E+0	383.23037E+3	3.3839620E-9	87.677208E+0
-131.31491E+0	383.23037E+3	3.4437240E-9	87.545868E+0
-128.90546E+0	383.23037E+3	3.5097651E-9	87.435036E+0
-126.49601E+0	383.23037E+3	3.5810837E-9	87.336082E+0
-124.08656E+0	383.23037E+3	3.6507775E-9	87.176186E+0
-121.67712E+0	383.23037E+3	3.7263304E-9	87.062187E+0
-119.26767E+0	383.23037E+3	3.8032342E-9	86.935760E+0
-116.85822E+0	383.23037E+3	3.8839816E-9	86.734550E+0
-114.44878E+0	383.23037E+3	3.9679167E-9	86.616302E+0
-112.03933E+0	383.23037E+3	4.0536965E-9	86.404724E+0
-109.62988E+0	383.23037E+3	4.1451234E-9	86.211655E+0
-107.22044E+0	383.23037E+3	4.2372164E-9	86.035118E+0
-104.81099E+0	383.23037E+3	4.3380060E-9	85.869080E+0
-102.40154E+0	383.23037E+3	4.4419113E-9	85.608215E+0
-99.992096E+0	383.23037E+3	4.5490833E-9	85.425903E+0
-97.582649E+0	383.23037E+3	4.6643014E-9	85.205498E+0
-95.173203E+0	383.23037E+3	4.7829767E-9	85.005600E+0
-92.763756E+0	383.23037E+3	4.9086148E-9	84.758224E+0
-90.354309E+0	383.23037E+3	5.0401185E-9	84.478226E+0
-87.944862E+0	383.23037E+3	5.1775380E-9	84.265701E+0
-85.535416E+0	383.23037E+3	5.3207891E-9	83.987144E+0
-83.125969E+0	383.23037E+3	5.4746061E-9	83.720993E+0
-80.716522E+0	383.23037E+3	5.6369274E-9	83.409836E+0
-78.307076E+0	383.23037E+3	5.8094431E-9	83.066628E+0
-75.897629E+0	383.23037E+3	5.9892349E-9	82.738373E+0
-73.488182E+0	383.23037E+3	6.1820442E-9	82.386665E+0
-71.078735E+0	383.23037E+3	6.3948451E-9	82.052849E+0
-68.669289E+0	383.23037E+3	6.6088841E-9	81.684761E+0
-66.259842E+0	383.23037E+3	6.8467334E-9	81.265144E+0
-63.850391E+0	383.23037E+3	7.0912645E-9	80.827080E+0
-61.440941E+0	383.23037E+3	7.3676540E-9	80.377045E+0
-59.031490E+0	383.23037E+3	7.6536919E-9	79.865204E+0
-56.622040E+0	383.23037E+3	7.9681017E-9	79.364960E+0
-54.212589E+0	383.23037E+3	8.3038714E-9	78.810959E+0
-51.803139E+0	383.23037E+3	8.6789784E-9	78.236244E+0
-49.393688E+0	383.23037E+3	9.0767962E-9	77.600800E+0
-46.984238E+0	383.23037E+3	9.5078958E-9	76.926674E+0
-44.574787E+0	383.23037E+3	9.9928492E-9	76.178070E+0
-42.165337E+0	383.23037E+3	10.524703E-9	75.391663E+0
-39.755886E+0	383.23037E+3	11.108959E-9	74.504982E+0
-37.346436E+0	383.23037E+3	11.774128E-9	73.499786E+0
-34.936985E+0	383.23037E+3	12.502074E-9	72.442909E+0
-32.527534E+0	383.23037E+3	13.334918E-9	71.216064E+0
-30.118086E+0	383.23037E+3	14.272278E-9	69.868927E+0
-27.708637E+0	383.23037E+3	15.351915E-9	68.273346E+0
-25.299189E+0	383.23037E+3	16.587668E-9	66.553665E+0
-22.889740E+0	383.23037E+3	18.025641E-9	64.410355E+0
-20.480291E+0	383.23037E+3	19.707690E-9	61.955124E+0
-18.070843E+0	383.23037E+3	21.694827E-9	59.001637E+0
-15.661394E+0	383.23037E+3	24.037329E-9	55.404469E+0
-13.251945E+0	383.23037E+3	26.828920E-9	50.970039E+0
-10.842497E+0	383.23037E+3	30.111369E-9	45.377789E+0
-8.4330482E+0	383.23037E+3	33.856949E-9	38.396763E+0
-6.0235996E+0	383.23037E+3	37.864087E-9	29.607697E+0
-3.6141508E+0	383.23037E+3	41.643229E-9	18.701824E+0
-1.2047019E+0	383.23037E+3	44.142649E-9	5.9997907E+0
1.2047470E+0	383.23037E+3	44.495000E-9	-7.6436629E+0
3.6141958E+0	383.23037E+3	42.546372E-9	-20.765505E+0
6.0236444E+0	383.23037E+3	39.022506E-9	-32.251789E+0
8.4330931E+0	383.23037E+3	34.959886E-9	-41.738747E+0
10.842542E+0	383.23037E+3	31.059209E-9	-49.253490E+0
13.251990E+0	383.23037E+3	27.630060E-9	-55.190964E+0
15.661439E+0	383.23037E+3	24.668868E-9	-59.896412E+0
18.070889E+0	383.23037E+3	22.176650E-9	-63.773514E+0
20.480337E+0	383.23037E+3	20.078506E-9	-66.875801E+0
22.889786E+0	383.23037E+3	18.286467E-9	-69.467545E+0
25.299234E+0	383.23037E+3	16.782405E-9	-71.666039E+0
27.708683E+0	383.23037E+3	15.478152E-9	-73.508873E+0
30.118132E+0	383.23037E+3	14.338702E-9	-75.132446E+0
32.527580E+0	383.23037E+3	13.369810E-9	-76.540947E+0
34.937031E+0	383.23037E+3	12.506521E-9	-77.770859E+0
37.346481E+0	383.23037E+3	11.735088E-9	-78.891235E+0
39.755932E+0	383.23037E+3	11.057709E-9	-79.882256E+0
42.165382E+0	383.23037E+3	10.450375E-9	-80.760803E+0
44.574833E+0	383.23037E+3	9.9023403E-9	-81.559776E+0
46.984283E+0	383.23037E+3	9.4102264E-9	-82.337708E+0
49.393734E+0	383.23037E+3	8.9527763E-9	-82.978271E+0
51.803185E+0	383.23037E+3	8.5487342E-9	-83.658386E+0
54.212635E+0	383.23037E+3	8.1667499E-9	-84.229034E+0
56.622086E+0	383.23037E+3	7.8240578E-9	-84.786980E+0
59.031536E+0	383.23037E+3	7.4996391E-9	-85.308891E+0
61.440987E+0	383.23037E+3	7.2033703E-9	-85.783539E+0
63.850437E+0	383.23037E+3	6.9281256E-9	-86.252342E+0
66.259888E+0	383.23037E+3	6.6739010E-9	-86.671669E+0
68.669334E+0	383.23037E+3	6.4348238E-9	-87.094604E+0
71.078781E+0	383.23037E+3	6.2105538E-9	-87.518021E+0
73.488228E+0	383.23037E+3	5.9983041E-9	-87.842278E+0
75.897675E+0	383.23037E+3	5.7979657E-9	-88.162102E+0
78.307121E+0	383.23037E+3	5.6111547E-9	-88.535667E+0
80.716568E+0	383.23037E+3	5.4377232E-9	-88.824417E+0
83.126015E+0	383.23037E+3	5.2721094E-9	-89.108002E+0
85.535461E+0	383.23037E+3	5.1151927E-9	-89.384018E+0
87.944908E+0	383.23037E+3	4.9650164E-9	-89.635941E+0
90.354355E+0	383.23037E+3	4.8245563E-9	-89.891617E+0
92.763802E+0	383.23037E+3	4.6883044E-9	-90.112572E+0
95.173248E+0	383.23037E+3	4.5625019E-9	-90.356087E+0
97.582695E+0	383.23037E+3	4.4447046E-9	-90.518036E+0
99.992142E+0	383.23037E+3	4.3267669E-9	-90.730331E+0
102.40159E+0	383.23037E+3	4.2174095E-9	-90.906540E+0
