Experiment	Experiment	
Saved Date	27.11.2019 11:58:35	
User		
f_res (Hz)	382732.426	
Q	6559	
Phase (deg)	1120.64	
Amp/Exc (nm/mV)	7.013	
Number of points	512	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-305.00000E+0	382.73362E+3	571.70563E-12	6.6185293E+0
-303.80627E+0	382.73362E+3	572.04080E-12	6.5429220E+0
-302.61255E+0	382.73362E+3	572.84788E-12	6.4326525E+0
-301.41882E+0	382.73362E+3	575.89267E-12	6.5779777E+0
-300.22510E+0	382.73362E+3	580.80379E-12	6.3636279E+0
-299.03137E+0	382.73362E+3	581.89215E-12	6.5596581E+0
-297.83765E+0	382.73362E+3	582.50926E-12	6.4941206E+0
-296.64392E+0	382.73362E+3	585.00049E-12	6.5455599E+0
-295.45020E+0	382.73362E+3	589.07296E-12	6.2145925E+0
-294.25647E+0	382.73362E+3	594.99500E-12	6.0673923E+0
-293.06274E+0	382.73362E+3	590.58219E-12	6.4424601E+0
-291.86902E+0	382.73362E+3	595.32312E-12	6.2021227E+0
-290.67529E+0	382.73362E+3	601.96914E-12	6.1023750E+0
-289.48157E+0	382.73362E+3	602.35900E-12	6.0112114E+0
-288.28784E+0	382.73362E+3	605.58958E-12	6.0361185E+0
-287.09412E+0	382.73362E+3	607.82540E-12	6.1566749E+0
-285.90039E+0	382.73362E+3	607.88008E-12	5.7483544E+0
-284.70667E+0	382.73362E+3	612.81480E-12	6.0247226E+0
-283.51294E+0	382.73362E+3	614.79560E-12	6.1328235E+0
-282.31921E+0	382.73362E+3	619.15340E-12	6.1821308E+0
-281.12549E+0	382.73362E+3	621.30767E-12	5.8030849E+0
-279.93176E+0	382.73362E+3	619.70973E-12	6.0045528E+0
-278.73804E+0	382.73362E+3	624.82863E-12	6.2604642E+0
-277.54431E+0	382.73362E+3	631.12598E-12	5.7297578E+0
-276.35059E+0	382.73362E+3	633.99036E-12	5.7620645E+0
-275.15686E+0	382.73362E+3	633.55232E-12	5.9087477E+0
-273.96313E+0	382.73362E+3	638.67234E-12	5.8762341E+0
-272.76941E+0	382.73362E+3	639.50550E-12	5.8538141E+0
-271.57568E+0	382.73362E+3	643.03368E-12	5.6435070E+0
-270.38196E+0	382.73362E+3	645.11163E-12	5.6137900E+0
-269.18823E+0	382.73362E+3	649.13119E-12	5.4934673E+0
-267.99451E+0	382.73362E+3	649.69841E-12	5.6937704E+0
-266.80078E+0	382.73362E+3	651.56164E-12	5.6902237E+0
-265.60706E+0	382.73362E+3	658.95828E-12	5.6692133E+0
-264.41333E+0	382.73362E+3	661.41354E-12	5.4721885E+0
-263.21960E+0	382.73362E+3	662.69867E-12	5.3082700E+0
-262.02588E+0	382.73362E+3	669.34541E-12	5.5617790E+0
-260.83215E+0	382.73362E+3	670.27189E-12	5.3826981E+0
