Experiment	Experiment	
Saved Date	06.05.2019 10:55:24	
User		
f_res (Hz)	60931.4333	
Q	239	
Phase (deg)	8.46	
Amp/Exc (nm/mV)	4358946.000	
Number of points	128	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-610.00000E+0	60.944746E+3	16.540231E-3	100.13216E+0
-600.39368E+0	60.944746E+3	16.468527E-3	98.940941E+0
-590.78735E+0	60.944746E+3	16.327759E-3	98.695778E+0
-581.18103E+0	60.944746E+3	16.262989E-3	97.643608E+0
-571.57471E+0	60.944746E+3	16.116630E-3	98.091278E+0
-561.96838E+0	60.944746E+3	16.017426E-3	97.844482E+0
-552.36206E+0	60.944746E+3	15.964637E-3	98.470940E+0
-542.75574E+0	60.944746E+3	16.088877E-3	98.712944E+0
-533.14941E+0	60.944746E+3	16.304532E-3	100.20676E+0
-523.54309E+0	60.944746E+3	16.446035E-3	100.31767E+0
-513.93677E+0	60.944746E+3	16.787997E-3	101.28260E+0
-504.33047E+0	60.944746E+3	17.176490E-3	102.21928E+0
-494.72418E+0	60.944746E+3	17.585365E-3	102.24194E+0
-485.11789E+0	60.944746E+3	18.167030E-3	102.84644E+0
-475.51160E+0	60.944746E+3	18.776968E-3	103.29059E+0
-465.90530E+0	60.944746E+3	19.458579E-3	103.33847E+0
-456.29901E+0	60.944746E+3	20.043500E-3	103.69321E+0
-446.69272E+0	60.944746E+3	20.816173E-3	103.80363E+0
-437.08643E+0	60.944746E+3	21.747109E-3	103.58073E+0
-427.48013E+0	60.944746E+3	22.588532E-3	103.20741E+0
-417.87384E+0	60.944746E+3	23.730379E-3	103.02750E+0
-408.26755E+0	60.944746E+3	24.734812E-3	102.11160E+0
-398.66125E+0	60.944746E+3	25.888797E-3	101.71973E+0
-389.05496E+0	60.944746E+3	27.094737E-3	100.91480E+0
-379.44867E+0	60.944746E+3	28.284324E-3	99.906090E+0
-369.84238E+0	60.944746E+3	29.839685E-3	98.618073E+0
-360.23608E+0	60.944746E+3	31.099496E-3	97.324448E+0
-350.62979E+0	60.944746E+3	32.531373E-3	95.984039E+0
-341.02350E+0	60.944746E+3	34.065604E-3	94.521431E+0
-331.41721E+0	60.944746E+3	35.463773E-3	92.617615E+0
-321.81091E+0	60.944746E+3	36.876872E-3	90.649849E+0
-312.20462E+0	60.944746E+3	38.255338E-3	89.211922E+0
-302.59833E+0	60.944746E+3	39.874509E-3	87.567978E+0
-292.99203E+0	60.944746E+3	41.350558E-3	85.860489E+0
-283.38574E+0	60.944746E+3	43.358672E-3	84.357834E+0
-273.77945E+0	60.944746E+3	45.337785E-3	82.651062E+0
-264.17316E+0	60.944746E+3	47.491878E-3	80.538422E+0
-254.56686E+0	60.944746E+3	49.816307E-3	78.864380E+0
-244.96057E+0	60.944746E+3	52.181661E-3	76.240707E+0
-235.35428E+0	60.944746E+3	54.885652E-3	73.566414E+0
-225.74799E+0	60.944746E+3	57.118513E-3	70.982132E+0
-216.14169E+0	60.944746E+3	59.873156E-3	68.148750E+0
-206.53540E+0	60.944746E+3	62.272217E-3	64.909019E+0
-196.92911E+0	60.944746E+3	65.125227E-3	61.984436E+0
-187.32281E+0	60.944746E+3	67.506649E-3	59.140919E+0
-177.71652E+0	60.944746E+3	70.350379E-3	55.779732E+0
-168.11023E+0	60.944746E+3	72.996445E-3	52.521393E+0
-158.50394E+0	60.944746E+3	75.996444E-3	49.117279E+0
-148.89764E+0	60.944746E+3	78.631863E-3	45.540764E+0
-139.29135E+0	60.944746E+3	81.502780E-3	41.959251E+0
-129.68506E+0	60.944746E+3	84.187835E-3	37.979343E+0
-120.07876E+0	60.944746E+3	86.976267E-3	34.106918E+0
-110.47246E+0	60.944746E+3	89.878552E-3	30.260963E+0
-100.86616E+0	60.944746E+3	92.609361E-3	26.173441E+0
-91.259857E+0	60.944746E+3	95.113993E-3	21.931690E+0
